job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$75,000 - $90,000 a year",Clarigent Health,"Mason, OH",Temporarily remote,,"Use data and artificial intelligence science with a focus on machine learning techniques to perform research, create new approaches and assist with the design,…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ByxrngLmSH6aMLzJviBuQDoxrEPIinXQEDs2zV20j5r5ILcmgyRfnRcwoNSbpC_6HXJP7gTJvlkugbF0maPZ9lO-AxGQP-0B7JzFHgzhuoK_YO6xHUNRB8zlxUWi5BD_RXOXWVlNHaqGWjH3EulcMcU7ht5CuMrq_AIvq2GLCzpeKekGjDWLh6_LBf0AU-ZnNuVlgom4kQYn0E_fIgkPsLf5CvmWiq659iNz763RESP5GQceG5-rD3lGqoDlCkTLf9RpreY_L43swftdAKaRLXpBNVK4Xewxy8Jauhmkf1erdOFRrVgyWav1Mi3ZntONasJyJRZAOYwMYV69hL_hg89m_fF8itwm0jQt1HEP1CBnfc-dFKrV1k1o0NOTI4_Fo8noKuQllzl7zLZouym4_2NuGwsHsgzAyTXR4g-51F0CI4cBm5Ummai_mqvl-GjwYgTHPSlaEfqg==&p=0&fvj=1&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Cincinnati, OH",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ea24f59be2357f82&fccid=9e215d88a6b33622&vjs=3
Personnel Psychologist - Data Scientist,"$67,214 - $104,735 a year",US Department of Veterans Affairs,"Cincinnati, OH",Remote,3.8,The Selective Placement Factor for this position is: experience applying scientific methods of health science and organizational development to design and serve…,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=268c567163e291a2&fccid=02c3642d72b15da7&vjs=3
GIS Data Scientist,,Claritas,"Cincinnati, OH",Remote,3.7,"Experience with data visualization tools.
Familiarity with basic demographic data.
Excellent ability to manage multiple projects and meet deadlines.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9409c98ddcaa8b17&fccid=2450c9e804da34e8&vjs=3
Sr. Data Scientist / Process Engineer,"$134,659 a year",Evonik,"Lockland, OH",,3.9,"Chemical process design, first-principles modeling and optimization; large-scale optimization; high performance distributed computing for big data applications;…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c79f39a8c7d8d292&fccid=b9d8ab1041976ac7&vjs=3
GIS Data Scientist,,Claritas Llc,"Cincinnati, OH",Remote,3.7,"Experience with data visualization tools.
Familiarity with basic demographic data.
Excellent ability to manage multiple projects and meet deadlines.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=722688c819ef9167&fccid=2450c9e804da34e8&vjs=3
"Data Scientist, Machine Learning",,"Directions Research, Inc.","Cincinnati, OH",,,"Familiarity with data analytics & statistics.
Master's degree or PhD in computer science, applied mathematics, or related technical/scientific field preferred.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b3fd2d73c57d1946&fccid=8cc47e3dcc5f8197&vjs=3
Data Scientist (eControl),,"Vorys, Sater, Seymour and Pease","Cincinnati, OH",,3.6,Our data scientists need to be hands on with respect to all aspects of the analysis of our client’s marketplace and brand data and use the a full suite of data…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5c75d883af488169&fccid=1278a7bab1639d00&vjs=3
"VP, Chief Data Scientist",,The E.W. Scripps Company,"Cincinnati, OH",,3.4,"As a highly experienced and skilled technical resources in the division, the Chief Data Scientist can play the critical role of ensuring that the organization’s…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=65123f77e4fe0afc&fccid=a5ec4012c28f5d94&vjs=3
Advanced Data Engineer (KTD),,Kroger General Office,"Cincinnati, OH",,3.5,"Any experience with operational data science, machine learning or artificial intelligence solutions.
Knowledge in a minimum of two of the following technical…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=31d418cc70bf6ca9&fccid=50996180ba6219c2&vjs=3
