job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Mid-Level Data Scientist,,BTS Software Solutions,"Colorado Springs, CO",,4.1,"Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4d7a2d1f8b8317fd&fccid=c946a8d6abe04208&vjs=3
Data Scientist TS/SCI with Polygraph Required,,BAE Systems,"Colorado Springs, CO",,3.8,"They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=abd9c753d07e15a7&fccid=200a825acadb9338&vjs=3
Senior Data Scientist,,Prescient Edge Federal,"Colorado Springs, CO",,,"A competitive salary with performance bonus opportunities.
Prescient Edge is seeking a Senior Data Scientist to support a Federal government client.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f663bd672e907ddb&fccid=bfb11e13c321848d&vjs=3
Space ML/AI Pipeline Architect and Data Scientist,"From $114,213 a year",Perspecta,"Colorado Springs, CO",,3.3,"In addition, Perspecta provides a variety of benefits to employees, including health insurance coverage, an employee wellness program, life and disability…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXELgAtUQhYXJPuOCgdO1_GLSHWM59IvmfGFTB-XV5Eaok2F7KN95E8dQxuJZjif8Lp4Qf-0aeEX0cpfpU2PRGbfGieuePFPGXtGjm96kNUoZYoM9dGK5teBXVwY45TeQPSQnVkMfKX3IUeJ9ahmFb94Jr5c3wbd5tx9VLB_ylnBRFWRjq-yKi7nYHOsaTsM8sFAQQfLWPSMydTKNEX8KmJN3V2HEa2b-YTlsqqWceGDwhMgaRj6sbOR77TlODnYxiTQYn6MjfcSedi5MwqAf_Q-4V4CExuxV_KuqBQinx_sHi09qSW8be7lryQPkfzux1Ou-6fRme3tjRooB-IDsFAVXq2VfRSG4vcQRqMCPtXPfxsGddh-DKhIX2g76V2z3hBH8kyZAlJUJfgZxiUyCdbRGPjPQo7GyMyUhqPwkpa3GrzBDbkJIe8bMKUT0TsoKEXo8zEuqgjVMhfTk9a6ITw2fauSRMNRFeexmV514VRhFhsq9EuiWMzG5nMV9UFNTwkRlAeJen4DcrBv3XFXiV98ZHM9m0VjPPpyB_FJdwKLUbzSeT_8jkPEwSlN9HSB7MFPYTktOi7bNmTrJ7AJBIuAnJUvXUlCfz8N9e5hDNCNRgr6zMmVPETH99X46Lsq_FC3nrhdATKplNwH83WHg0s-NKXUiDciD8bMdMjqXUHiJO-6kVoVRk&p=3&fvj=0&vjs=3
Data Scientist,,PAE,"Colorado Springs, CO",,3.4,"Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=51b77f71fea1331a&fccid=faec53d26b1f565c&vjs=3
Data Scientist (HBQ) - Active Top Secret Clearance Required*,,Odyssey Systems,"Colorado Springs, CO",,4.0,"Researches and implements cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence.
Valid DOD Top Secret clearance.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ae97cdf7898c3b92&fccid=710bf1a5e2a42987&vjs=3
Data Scientist IV,"From $93,496 a year",Perspecta,"Colorado Springs, CO",,3.3,"Experience with machine learning, algorithm analysis, and data clustering.
Exercises creativity in applying non-traditional approaches to large-scale analysis…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5f5697d129e82ee6&fccid=8a813d7674dea751&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDriGPPYXMGGFp8tpexABrcV1WmU-35ailHt9Txk_50Ls11tdCSkGQSAaA6994Xdsk31ft7z6euY_76dm-SrmgcK9qh3uG1otoMuq8A1mXSasRkoR4WJlOgoPqKerJ7hQ0imiFNb9Ot73Ogc5x5knqqw1VLuUJUywGzoI0W9muJbPPfLqWkg_5hmj8HJszmOg7VABrL_aqhDyWjr1kqs0P_pC2NK36fi600HqVI3502WH8UiNW6AsKCYaDWLS42fLqLNI-QjcPPKWD_2Zl6qicPsnzwDZoCYTjKp8vN9cJSzpM=&p=7&fvj=1&vjs=3
"Data Scientist 2-(TS/SCI) Colorado Springs, CO",,iSenpai,"Colorado Springs, CO",,4.7,"New data sources and data gathering techniques.
Data to drive business solutions.
Performs data analysis interpretation and management duties.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f7f47e7ee57253d8&fccid=e0e2c0896058b362&vjs=3
Data Scientist - Expert,,METIS Solutions,"Peterson AFB, CO",,3.2,"Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=469c9ae36d9cb133&fccid=d0e95560aa8c383f&vjs=3
