job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Ohio State University Medical Center,"Columbus, OH",,4.1,"Experience solving real-world problems by applying statistical modeling and machine learning methods on complex data sets.
Prior experience in higher education.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=dbf8bec62b490ec8&fccid=08b5d24807a3a7fd&vjs=3
Data Scientist Intern,,American Electric Power,"Columbus, OH",,4.0,"Apply visualization methods to share insights from analytics.
Pursuing an undergraduate degree in mathematics, operations research, statistics, data mining,…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=7588cc2a2226b22e&fccid=5c6de67c27319810&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrD_L16-KyuVfZHtpC-cYyZUZ0M6KuTrNvFL0g5AgkMRyYSe9mZhAPJI-g8I-AMlYi9amArHONZkR0wcaDFYYa3QcL4mKZi_jxE-dOXQFeg2i8LxLJYwz5KrrFwiouQfs8NA9qQj3HcWV3Ac7c8niDOVyIYDYtAxTOXdo3tblIN0QPEIfHQ1ypPz2JFvOI_Zjp5-WWIEpkNC9r0moXGbiADNufYf2PPQvuqQSntQcSTsXAwhomX7vnnlQVIAyQDNjL4_NM6paWBNrB0PoBluqXDBf8QurNpbpJ&p=2&fvj=1&vjs=3
CCB - Quantitative Modeling/Data Science - Associate,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,"Performing advanced quantitative and statistical analysis of large datasets to identify trends, patterns, and correlations that can be used to improve business…",5 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3de2d1b670ef6e47&fccid=aaf3b433897ea465&vjs=3
Data Scientist,,OhioHealth,"Dublin, OH",,3.8,"Knowledge of a variety of machine learning techniques (clustering, decision tree learning, support vector machine, artificial neural networks, etc.) and their…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=974d9a9454dcfd34&fccid=55044c5a3ad55766&vjs=3
Data Scientist,,Root Insurance Company,"Columbus, OH",,3.7,"Demonstrated experience building, validating, and applying statistical machine learning methods to real world problems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d639e32ea6a2425d&fccid=b53218579f8cf88c&vjs=3
Data Scientist,,auticon,"Columbus, OH",,,"Prior data science experience preferred, but willing to consider new data scientists depending on background.
Communicate results with stakeholders, executives,…",21 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=24348cf99c12a985&fccid=a5551b6a900b917f&vjs=3
Senior Data Scientist,,Root Insurance Company,"Columbus, OH",,3.7,"Strong individual contributor with interest in growing a team of data scientists.
Demonstrated experience building, validating, and applying statistical machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d530287d5a27c6ba&fccid=b53218579f8cf88c&vjs=3
CCB - ED Data Annotation Lead,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,"Work closely with external vendors, data scientists and engineers.
You will lead a team of specialists responsible for preprocessing data (text, audio and…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=eaf50e314d9349b0&fccid=aaf3b433897ea465&vjs=3
Data Scientist,,"Upstart Network, Inc.","Columbus, OH",,,"1+ years' in data science, data analytics or related experience in a business setting.
Experience with consumer (especially consumer finance) data a plus.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d881fb017e1a4c31&fccid=f98377d49d210910&vjs=3
Data Scientist,,Alliance Data,"Columbus, OH",,3.6,"Create and Design - Create machine-learning based tools or processes for data mining and data analytics .
Five or more years directly related work experience to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=073a208775f208b9&fccid=9edcedb2997876d2&vjs=3
MP&A Data Science Intern - Summer 2021,,"Designer Brands (DSW, Camuto Group)","Columbus, OH",,3.6,"Self-starter who is passionate about data science and machine learning.
The intern will support data mining, statistical analysis, and performing predictive…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=31af9f37ba81a62b&fccid=1cb78e87dd1f053e&vjs=3
"Principal Data Scientist, Pricing",,Root Insurance Company,"Columbus, OH",,3.7,"Strong, demonstrated experience building, validating, and applying statistical machine learning methods.
Experience with large-scale analytics on AWS platforms.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=af9ae17c0b7e7f1e&fccid=b53218579f8cf88c&vjs=3
Data Scientist,,ComResource,"Columbus, OH",,4.2,Data scientists are passionate about data and applying analytical methods while simultaneously understanding the business context in order to arrive at a…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=293a0a7ae04d3cc6&fccid=92415fb2199c670e&vjs=3
