job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$82,700 - $117,566 a year",Xcel Energy,"Denver, CO",,3.6,Champion the acquisition of new data sources to enhance value and fill gaps; automate collection processes; effectively process structured and semi-structured…,3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-1D-e_ZYujhNkNlYyaLjJ6FcVQ233icvY0YU3o2Vnpr4F7vk6LU0trxoGwP-bkimlOG1-LcZHHkCx2-Y4A9ikV5Hv7_SyCMQY2wVDQUS_-L_jtwd38BCqu3ty2lHm9MxVdOlgl8d58u-f-D23vwHgEDBgogjNNg6l1QKuLf7BrXil2R91p4qhkmGHkCZP0DfCah1IzYgmqdqoBC9eJCRYT-8K6VQsWYGKNLg2p8pjEBIghCzt-J3iE3AyASGz4UDSuxjOWFsW4Ll1CvXLP1_ErkVwoRx0Z1jJwDoGUnC3E9qf6JJ2KeVbXfi0835fX9LBE07xyaIVB_tdNLEKcnaVFGoVuIlzgH4syKVz-gx2KAq5Fl_7vIMp6f4-ozF7z3qEPiSmpDOIaC2eC3KZ9X-U5UJzJapMVzYVAnfwYtGaXiNKAlPkFtsDnz3sPbnnXryRb5OPGEkK7aXWEiJWbSwpTA-2VY2cPKeTiqDS7_c8bfaApc0Pd29ovbunkejboIb38r9X9vpU1QQl-bSL1uVaLLnrO8hFh-LNtKK3fAc8VQBzAnbKwMjuL0HbpNuRlaG1O7IaGK5rga7BiQjPoB8Kk_WPxaBfQq0=&p=0&fvj=0&vjs=3
"Data Scientist, Web Experience Management",,Square,"Denver, CO",,3.6,"Data Scientists on the Lifecycle Analytics team at Square embed within product teams and leverage engineering, analytics, and machine learning to empower data…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=232d753adf407d07&fccid=09abad886b83c501&vjs=3
Data Scientist Intern,,LOCKHEED MARTIN CORPORATION,"Littleton, CO",,4.0,Lockheed Martin builds the satellites and spacecraft that do amazing things in space for government and commercial customers.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=05443a10a0c2f9f2&fccid=aeb15e43a6800b9d&vjs=3
Data Scientist,,Cipher Skin,"Denver, CO",,,"Strong writing and data visualization skills.
Experience working on machine learning projects.
Demonstration of commitment to open scientific principles.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ccaf07442beac3cd&fccid=b3ece14f0e7a7b67&vjs=3
Data Science Intern,"$62,400 a year",Galvanize Inc.,"Denver, CO",,4.1,"With that mentor, you will go through a set period of training where you will learn new skills in data analytics and data science.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fe26af4ea021d460&fccid=dfbec8d2b41211d0&vjs=3
Data Scientist,"$78,692 - $104,923 a year",ModivCare,"Denver, CO",,4.0,"Good data visualization and communication skills.
You'll work with the Director of Anti-FWA data science and a broader team throughout the company, including…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ea92d01dc4b67407&fccid=901a7fe7e6607d4f&vjs=3
Data Scientist,,"VIZIO, Inc.","Denver, CO",,,"The Data Engineer will support our software developers, data analysts and data scientists on data initiatives and will ensure optimal data delivery…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b90f160fa0e7a111&fccid=2ac0dbed95f0e3bf&vjs=3
Machine Learning Intern,$16 - $20 an hour,AIR Communities,"Denver, CO",,,"Synthesize data and present data findings to business partners.
This Internship will give you hands-on experience completing various projects focused on…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0c92e30878c909fa&fccid=f0884b3b26b71c2e&vjs=3
Data Scientist / Biomechanist,,Cipher Skin Inc,"Denver, CO",,,"Strong writing and data visualization skills.
Experience working on machine learning projects.
Demonstration of commitment to open scientific principles.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=00275ae177f2702a&fccid=d057b8d7b5a354a7&vjs=3
Data Scientist,"$85,000 - $120,000 a year",Well Data Labs,"Denver, CO",,,"3-5 years of working experience with applied knowledge of probability, advanced statistics, data mining, and machine learning.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e12cad98b1c54528&fccid=b3b4b048b0e1c34b&vjs=3
Data Scientist (Contract),,Pinnacol Assurance,"Denver, CO",Remote,4.1,"You will work with medical, claims, and policy related data that comes in a variety of formats – structured and unstructured - to generate insights and embed…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c674617e13c668b7&fccid=66209e67d8000673&vjs=3
"Decision Scientist, Data & Media","$80,000 - $100,000 a year",Ibotta,"Denver, CO",,3.4,"Using analytics to drive sales of three key products: external data feeds, targeted audiences, and advertisements on Ibotta's mobile app.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d00b09d7afc093f9&fccid=2e1276ca32b1a903&vjs=3
Sr. Data Scientist,"$120,000 - $150,000 a year",Well Data Labs,"Denver, CO",,,"Extensive experience with applied knowledge of probability, advanced statistics, data mining, and machine learning.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=500659bb180d108b&fccid=b3b4b048b0e1c34b&vjs=3
Senior Data Scientist,,Pearson,"Centennial, CO",,3.7,"Ideate, plan, and execute research and development, drawing upon advances in cognitive/learning sciences and machine learning, while leveraging cutting-edge…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=e0c917894f17c9f4&fccid=915b1c0ee87e5e8a&vjs=3
Data Scientist,,E Source Companies Llc,"Boulder, CO",,,"E Source is looking for data scientists to collaborate on data science projects with utility experts.
As with any successful analytics project, it all starts…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a818ee74a49bd065&fccid=2a5d204d1a2df598&vjs=3
Senior Data Scientist,,Pearson,"Centennial, CO",,3.7,"Ideate, plan, and execute research and development, drawing upon advances in cognitive/learning sciences and machine learning, while leveraging cutting-edge…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=e0c917894f17c9f4&fccid=915b1c0ee87e5e8a&vjs=3
Data Scientist,,E Source Companies Llc,"Boulder, CO",,,"E Source is looking for data scientists to collaborate on data science projects with utility experts.
As with any successful analytics project, it all starts…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a818ee74a49bd065&fccid=2a5d204d1a2df598&vjs=3
Associate Decision Scientist,"$60,000 - $75,000 a year",Ibotta,"Denver, CO",,3.4,"We leverage the latest developments and best practices in data analysis, testing methodologies, statistics, and machine learning to drive value for Ibotta.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7107d6dcb74f6a4a&fccid=2e1276ca32b1a903&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Denver, CO",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ed0141892352b050&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,,Colorado School of Mines,"Golden, CO",,4.2,"Create data mining and analytics architectures, data standards/definitions, statistical reporting, and data analysis methodologies.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1b5f59b55bba39f4&fccid=921638bcf0516b11&vjs=3
DATA SCIENTIST,,Decentrix,"Denver, CO",,,"Collaborate with a team of software architects, data scientists, data engineers, and project managers to build and maintain our portfolio of products.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b0b0329ef6b427ef&fccid=965f05c91b70b412&vjs=3
"Associate Data Science Instructor, Data Scientist",,Galvanize,"Denver, CO",,4.1,"Strong understanding of the topics we teach: scientific Python, software engineering, probability, statistics, SQL, machine learning, data engineering, data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fc606bc1d4700c62&fccid=dfbec8d2b41211d0&vjs=3
Data Scientist: Zoom for Government,,Zoom,"Denver, CO",,3.6,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5bae8ffe297301c6&fccid=34a307d555f04368&vjs=3
Sr Data Scientist (Big Data),,Deloitte,"Denver, CO",,4.0,Maintain technical knowledge within industry and service line and leverage deep subject matter knowledge on engagements.,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=60eeced1f2562402&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Viola AI,"Boulder, CO",,,"Expert level knowledge of statistics, linear algebra, modern statistical learning with an understanding of when/how to invoke deep learning techniques vs.…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9f30dd5b6bcb4ff7&fccid=b1b72af5cf602cb5&vjs=3
Data Scientist II,,"DAT Solutions, LLC","Denver, CO",,3.0,"Conduct relevant research, data analysis, and create reports for internal clients.
Capable of independently developing statistical and machine learning models…",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2b4a0130e850a8f1&fccid=b0a5d52e8cf43ca8&vjs=3
Data Scientist,,"Aegis Corps, Inc.","Aurora, CO",,,"Design, develop and advance new methods to extract information from diverse data sources using flexible querying methods, innovative visualization, and data…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=52b7b941428a25f4&fccid=f1f5754db3fca4e0&vjs=3
Data Scientist V,,DCP Midstream,"Denver, CO",,3.5,"Conduct research on cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence.
What you will be responsible for.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e272a937c629e020&fccid=b997e101c7856780&vjs=3
Associate Data Review Scientist,,Eurofins USA BioPharma Services,"Denver, CO",,,"Strong computer, scientific, and organizational skills.
Ensure that the client receives quality data by reviewing laboratory data for accuracy, clarity, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=75529d05e05e110e&fccid=544c08d5449ce28b&vjs=3
Data Scientist,,Sentinel,"Denver, CO",,3.5,"We are looking for experienced data scientists to join our team.
Proficiency with machine learning, predictive analytics modeling and artificial intelligence…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d2f63aa9bcc2117f&fccid=c2ac3734cc3a01c6&vjs=3
Data Scientist,,Sentinel,"Denver, CO",,3.5,"We are looking for experienced data scientists to join our team.
Proficiency with machine learning, predictive analytics modeling and artificial intelligence…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d2f63aa9bcc2117f&fccid=c2ac3734cc3a01c6&vjs=3
Atmospheric Data Scientist - Air Quality,,ClimaCell,"Boulder, CO",,,"Extensive background in statistical and/or machine learning applications on data assimilation, forecasting and data analysis.",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c40bc742d7086ebd&fccid=a01aa832f36be4d6&vjs=3
Data Science Resident,$35 an hour,Galvanize Inc.,"Denver, CO",,4.1,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=75de6779548fd38a&fccid=dfbec8d2b41211d0&vjs=3
Product Data Scientist,,KPA,"Lafayette, CO",,3.7,"This will be things like establishing baseline trend data and comparisons, correlation and optimization of preventative actions decreasing accidents (items like…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6c72272d1ce54e88&fccid=b0ed559cd7958fce&vjs=3
"Data Scientist, Remote Position Nationwide",,Empiric Health,"Denver, CO",Remote,,"The data scientist will have the ability to conceptualize AI/ML solutions, extract and engineer relevant features, manage AI/ML systems using Python and work…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b1da258757190fbb&fccid=03dedf5403c8c28b&vjs=3
Data Scientist (Virtual Opportunity),,Sealaska Corporation,"Denver, CO",Remote,4.0,"The Data Scientist will perform data analysis, develop and validate machine learning models, research relevant statistical methods, and provide recommendations…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f01a7398fa731952&fccid=d17e4b0f1c894d3d&vjs=3
Machine Learning Associate,"$63,000 - $70,000 a year",AIR Communities,"Denver, CO",,,"Synthesize data and present data findings to business partners.
This position will work with various emerging technologies and machine learning tools (i.e.,…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=98ad85066101c3b4&fccid=f0884b3b26b71c2e&vjs=3
Natural Language Processing Specialist,,Ometrics,"Evergreen, CO",,,"You see patterns when looking at data of user behavior and can see the user’s intention.
Compensation: Hourly, part time or full time.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cff15dc02cb9ac2f&fccid=e2783b239002c106&vjs=3
"Data Scientist, Ecosystem Discovery",,Square,"Denver, CO",,3.6,"Data Scientists on the Lifecycle Analytics team at Square embed within product teams and leverage engineering, analytics, and machine learning to empower data…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=478f910bf980ae31&fccid=09abad886b83c501&vjs=3
Data Science Analyst,,xentity corporation,"Denver, CO",,4.2,1 year of consulting experience – higher compensation for additional 3 more years in related analytical work products and additional 2 more years in subject…,15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e311068df0bf915&fccid=83a0c16a0b5f5a93&vjs=3
Data Scientist,,JumpCloud,"Denver, CO",Remote,2.3,Produce and deliver presentations on project findings and results suitable for various technical audiences from peer data scientists to business executives with…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ababc6526fddb2bc&fccid=3781128e175fad79&vjs=3
Data Scientist II,,The Trade Desk,"Boulder, CO",,4.0,"Our data scientists have deep knowledge and exercise a high degree of leadership in their daily work.
You have a sustained track record of making significant,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2928cde0705d4c4c&fccid=4899a85209d20142&vjs=3
Environmental Scientist/Engineer – Data Analytics,,Integral Consulting Inc.,"Denver, CO",,,"Collaborate with multidisciplinary teams (data managers, engineers, environmental scientists, toxicologists) to develop and implement data analysis plans to…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e1d0273d409990f1&fccid=a753b73c99080ae9&vjs=3
