job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Orangetheory Fitness,"Boca Raton, FL",,3.4,"Experience in machine learning, analytics and/or data science.
A core focus will be on drawing insights from large and complex data sets and using these…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8701367e710fbbae&fccid=6dd2b85b361af592&vjs=3
Sr. Data Scientist,,CentralReach,"Fort Lauderdale, FL",,,"CentralReach is a leading provider of end-to-end EMR, practice management and clinical solutions that enable applied behavior analysis (ABA) clinicians and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BndQBu3Bgy-kSRvgcxVuiX_AW2MYaz84UEPimx0LjoahVFVSPUbkECY-B46IL8pz9nb0rkq1EJe2weIRugEa86N8vLaYPTtpnvbKRAV_uE3pu_stcuhidJ0zCrrpuvjyOQ0xa8YPu1JEmDpiN8DpzksAWub6ihnEeFZh7EPivXuGRXZw1bmTDzdtW3sEQScF-BLx5Fo6nYlKzsNmLENuzdUd416Sb97WJWDcFEgTnxEdaIzXd2vBsoSKBMyQSXgg0QWR7mR_OfRm8fHBb8eiRFNVs1isPdncFxQR9GXoTGeiJrsfQXcsx51LWk6EaqfwAYBDVwZTS7gSo7hFOflu0rs_SuPdKKXE0FVn1y9pDJb4QREz9PHfSu8EQl0ki4tNGAPLxCDocEM2KFChsT9UkY8ts6n_vOEBje4hHOH6XZe6INil1HaZJsqPEyxQ5RGUYVaor1jrAEYz4c74dBkhxvPh7dNw9wWyaSi-AJ1AWcWRmTukN69_P9coe1KS9flu7tKwmJ8-TkjFKTOA2_ytjjGCOpNvARCRXpmrywKbK71JjDGpCtkb7D2pNJAXBZp7pSsb7KEb7CSvWiJPhT-Fqx4weidyweu-k=&p=1&fvj=0&vjs=3
Data Scientist,,Excel Impact,"North Miami, FL",,,"Minimum of 3 year of data analytics experience.
Minimum of 6 years of data science / machine learning experience is required.",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c9a5ca3f64fdfc0a&fccid=33729ea3607d755a&vjs=3
Data Scientist,,Sabal Tech,"Fort Lauderdale, FL",,,"Ability to structure data for business use case visualizations.
5+ years hands-on experience with relevant technology.
AWS, GCP, Azure ecosystems or similar.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40ecefa8f8e01972&fccid=c33fdc15cbce939d&vjs=3
Data Science Position [various levels],,Royal Caribbean Cruises Ltd.,"Miami, FL",,4.2,"Apply several forms of statistical (hypothesis testing, sampling, modeling, probability, time-series) and machine learning (neural networks / deep networks,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c1e25c2a62ad064f&fccid=fa65a3fcc2b211c1&vjs=3
Delivery Data Scientist,,Microsoft,"Fort Lauderdale, FL",,4.2,This role will have a pre-sales focus and candidate will be expected to help design solution strategy with non-data scientists in the organization and…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6780d36083480a21&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrtSZEZ_6YIdfXjMpM9prEH7qV6-PxEBJQ5ayRPHeChtP2n99JHvYJAPRmhbemedol85W6l-tGsms1MC7e6CfJ7OHxvr6zKABAx6fovSDmmdjLKLrj4YzUQVCuX6BQXBXG2vGOvX5nafsbzdw6ESlFxeZrrWDOBfsvZyEAUSonsSSY3UL7NOmObF8ZpLAIHAKvlv319pKHsxQ6NGgZicHCVjsnqx95XP9UIWMr7ikShaDehtXVPTUBQq4dVMCiyyUHB-v51xo56pCGSvrl2JxtTGSbZuNK4TaF3pcKqyZ7upI=&p=6&fvj=1&vjs=3
Sr. Data Analyst,$60 - $75 an hour,CTI Consulting,"Deerfield Beach, FL",,2.3,"Act in an advisory capacity in data model reviews, architecture approach and solution design to ensure high quality deliverables.",3 days ago,2021-01-15,https://www.indeed.com/company/CTI-Consulting/jobs/Senior-Data-Analyst-6383caa01e6d4ea5?fccid=379434ad9862816d&vjs=3
Data Scientist,,Guardian Eagle,"Boca Raton, FL",,,"Experience in Healthcare, claims data, internal data.
Ability to work with unstructured data.
Experience with in depth analysis, working with business analytics…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a3d12c3071ee46d&fccid=0a189b6ab45fd050&vjs=3
DATA SCIENTIST,,CIITS,"Boca Raton, FL",,,"Experience in retail and eComm; data mining; data reporting.
Experience working with behavioral and online media data sources; Required 3 years.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ffc2f1b256989cc6&fccid=2dab8b7094b20f60&vjs=3
