job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Schlumberger,"Houston, TX",,4.0,"The Data Scientist will be responsible for designing and executing undirected research and tackling open-ended data problems related to AI, ML, predictive /…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=69b10b5e348eefcd&fccid=1a6c05c38b3b5549&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Houston, TX",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dc292d195e42d954&fccid=9e215d88a6b33622&vjs=3
Data Scientist,"$76,075 - $175,319 a year",Ursi Technologies Inc,"Houston, TX",,,"Your challenge will be to translate a business question into a data science solution, using your experience in customer analytics to help us understand customer…",8 days ago,2021-01-15,https://www.indeed.com/company/Ursi-Technologies-Inc/jobs/Data-Scientist-b6061ced34660340?fccid=4080d24e411d5a46&vjs=3
Data Scientist I,,AIG,"Houston, TX",,3.7,"Work with subject matter experts to identify potential data sources and extract data across structured (financial, operational data) and unstructured (emails,…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dca2d2910906861f&fccid=9a92a4bf81326e1e&vjs=3
Research Intern - Energy Industry Data Scientist,,Microsoft,"Houston, TX",,4.2,"Publications in related fields (deep learning, forecasting, optimization, machine intelligence, data mining, etc.).",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=6e3d1586f6ece4b6&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,,Infosys Limited,"Houston, TX",,3.9,"You will create detailed design artifacts like program specifications, test plans; and independently develop and review code and contribute to the go-live plan.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4c0adc2374defe5f&fccid=c67533a523c83a4c&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Houston, TX",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cdd0f3d04580cf76&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,,Lubrizol Corporation,"Deer Park, TX",,3.9,"Stay current on new technologies and methods across data science, data engineering, and data visualization, share best practices to improve technical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e660fa2bf0016880&fccid=a6ecb44bea23e5cd&vjs=3
Machine Learning & Artificial Intelligence Data Scientist (600824),,Aramco Services Company,"Houston, TX",,3.8,"Strong fundamental understanding of various modern machine-learning methods, or computational physics/geosciences/petroleumengineering/chemistry background,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=86d76c63dc5ef6d6&fccid=ef89562afd5f2b4e&vjs=3
Associate Data Scientist,"From $75,123 a year",BroadVail Capital Partners,"Houston, TX",,,> > Ability to source & clean data across numerous files & data types (e.g. extracting from PDFs or images for text or parsing data files with specific machine…,30+ days ago,2021-01-15,https://www.indeed.com/company/BroadVail-Capital-Partners/jobs/Associate-Data-Scientist-fcea610b4661748d?fccid=61003e3a80dd4fde&vjs=3
Machine Learning & Artificial Intelligence Data Scientist,,aramcoservices,"Houston, TX",,,"Strong fundamental understanding of various modern machine-learning methods, or computational physics/geosciences/petroleumengineering/chemistry background,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=df1b17938c669264&fccid=6d390bc3a47cd8a7&vjs=3
Data Scientist,,Lubrizol,"Deer Park, TX",,3.9,"Stay current on new technologies and methods across data science, data engineering, and data visualization, share best practices to improve technical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ef8c4c1bb00da2e6&fccid=a6ecb44bea23e5cd&vjs=3
Data Scientist,,"Group 1 Automotive, Inc.","Houston, TX",,2.7,"Aggregate data from a variety of datasets, automate data collection and processing.
Experience developing and maintaining data science algorithms in a business…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e438228a1724eb0e&fccid=4a79a37797faccc8&vjs=3
Data Scientist,,"Avetta, LLC","Houston, TX",,,"Mine company data to drive customer facing analytics solutions, internal process optimization and marketing analytics.
Experience working in AWS a plus.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=295934a637db9d4b&fccid=b1588b29770d2107&vjs=3
Data Scientist- Preventive Cardiology,,Houston Methodist,"Houston, TX",,4.2,"Identify data elements within the clinical/health databases for analytics and decision supports.
Manages the continuous improvement of clinical and operational…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c22d8fef8d54461f&fccid=1fc7fdf0baeeb13b&vjs=3
Lead Data Scientist,,Cognizant Technology Solutions,"Houston, TX",,3.9,"Data architecture that quickly turns data resources into informative,.
Cognizant’s AIA practice takes insights that are buried in data, and provides.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DgWDOTjUSjdL6pT3lQiEekmXvOVF8lPs3hFYban3v5DUmNj459u2k9KScRgDjchFMLj02N5ZTsdiWpXKESvEWsp3LjcrgiqTAY2tlqykTg_bfUlStLlCMUUDUq3hsFpHIn1LoQsnzeyIKVTwP2trXbkBxT2H1wvznR6zcPbqi881OcIOTe_CloNrtTTbbhdpycsqZhYpuabp-hgyCZL_jl-DhbxhqKtUbsUb3-G8lDpqzwevI3TiFydxWqXvbWYJ_caahPNEhfMbvfKUjm6MlLEpff9IT5SbPu53JqxDBBzvxTprDIjq7MxkkUIefzB_HFgVpGhWL84JQOHqBlqaG_cK6e2ZRwyyTod-81JH3cJCB1o1uHrAFmwhWvb1autVqwNSA91Yj431r0FuTFRqKiarX9xyG37R1ipoR-K5RLanVe2zPpHEGFj9Og2G7RsQOj439y00YAuz8vrCRY6aa-4Lk2EP2ArNNsoBa-SwU0j9Pt_e7dt14LRP89-g4M9ZT5QWK1aHC7_qAvaMgw99l6nbjpR0HnEJlbYXpyF2WpvJdqM-zMj08f&p=0&fvj=0&vjs=3
Senior Statistical Programmer,"$89,000 - $100,000 a year",Translational Drug Development (TD2),Texas,Remote,,"Estimate programming scope of work, manage resource assignments, communicate project status and negotiate project timelines for deliverables.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVsnpbmbPWUZNiYhtAWYz_xeqmG4awNNH52XW5baI6saz2OvDw8IcAKXuAw_PFWbZoVpg0yxDBLyKTKNh2xaImnrEXeG2jt7hted70_zz_sVS2YwJa1akOILc1pSMTOYs1XYsZFdH310ROoiAc2hOG9syf8KQLju6LUCT2Z9JkmJeh-vTyr4hVQdoFyP7TyEA6RvIQFzvFdmqkOGiYwF0R24lguQTcpjKYE4YVEMKJixEmRDO7VYcPkzAjq49c5XdVykuzkSN1GSVd0nUzJgqVDiXc-v_Z0Mfwxx1ftniSVFJLScBfOm5b1Fobntknm1F354dqTThS3dHuntXUzKEeHX4snG20KYXt3BucEsmGPy2K4RKup1Ecyl4lN3YOuzyJIukoZroOC4zh0lkollSW_Yvi5ZF93eXLWUlTPqt-Qvgsltt_honyEML2AVwWC3kEEa1GhMqiP2nS93mGY_FM&p=1&fvj=1&vjs=3
Machine Learning & Artificial Intelligence Data Scientist,,aramcoservices,"Houston, TX",,,"Strong fundamental understanding of various modern machine-learning methods, or computational physics/geosciences/petroleumengineering/chemistry background,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=df1b17938c669264&fccid=6d390bc3a47cd8a7&vjs=3
Data Scientist,,Lubrizol,"Deer Park, TX",,3.9,"Stay current on new technologies and methods across data science, data engineering, and data visualization, share best practices to improve technical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ef8c4c1bb00da2e6&fccid=a6ecb44bea23e5cd&vjs=3
Data Scientist,,"Group 1 Automotive, Inc.","Houston, TX",,2.7,"Aggregate data from a variety of datasets, automate data collection and processing.
Experience developing and maintaining data science algorithms in a business…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e438228a1724eb0e&fccid=4a79a37797faccc8&vjs=3
Data Scientist,,"Avetta, LLC","Houston, TX",,,"Mine company data to drive customer facing analytics solutions, internal process optimization and marketing analytics.
Experience working in AWS a plus.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=295934a637db9d4b&fccid=b1588b29770d2107&vjs=3
Data Scientist- Preventive Cardiology,,Houston Methodist,"Houston, TX",,4.2,"Identify data elements within the clinical/health databases for analytics and decision supports.
Manages the continuous improvement of clinical and operational…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c22d8fef8d54461f&fccid=1fc7fdf0baeeb13b&vjs=3
Business Analytics (Data Science) Intern,,Hewlett Packard Enterprise,"Houston, TX",,3.8,"Experience working with large data sets, deep-dive data analysis.
The ideal candidate will have experience working with large data sets, deep-dive data analysis…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=663258a03501b6ee&fccid=216eb700022de6f6&vjs=3
Data Scientist,,Precision Drilling Corporation,"Houston, TX",,3.8,"Develop and manage POC’s of new technologies relating to data science.
Engineering big data platforms and large-scale data initiatives.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=27570b060bde4e4b&fccid=25a7a525da090457&vjs=3
Data Scientist (Contract),,Arundo Analytics,"Houston, TX",,2.0,The preferred candidate will have proven experience in applying machine learning and statistical data analytics in a business setting using time series data…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ce1a335056e0b9c4&fccid=337a29eb4341b4b8&vjs=3
Excel Expert Software Engineer/Data Scientist,,Ed Mehlman and Associates,"Houston, TX",Remote,,"Expertise with large dataset and database analytics required.
Candidates can have any education background but a degree in computer science, data science, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=49bd94b747a337d7&fccid=3af7f76841d08814&vjs=3
DATA SCIENCE CONSULTANT HOUSTON,,managementsolutions,"Houston, TX",,3.8,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4df0e78895c0575c&fccid=f3eca80b6759548b&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrDzzVkqItvKZ7gFHx4acX9H98myQcNSDUo_X0klClsukQXRejiE5mRv0C_UP-4N_Y0s-gpq8c3DkedB_tZrDu-DECi6r9pbFw6jC3EYpyNN3AKIgMr9HNJd0_SH1c82w7hNZ3QRZHnOj_QDT8OTlOt8-VdcHhpWNTN15zmdtVyshafpSJTroqvgeF9ovTBiMEDLT_IIYLUhckDF7eJMODhqYuaxOXJjBdLhsXzhnECSKgnoGqR8utR3Jfodcfi_s32DrRHiw7KpCphMh55o9hGs5ldxmCx8nE&p=12&fvj=1&vjs=3
Data Scientist,,CGG,"Houston, TX",,3.8,"Passion for solving complex data engineering and modeling tasks.
Knowledge of relational databases, data modeling, and schema normalization techniques.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ff1dfe0cc309e136&fccid=2fe5bdb74ccda2ee&vjs=3
Excel Expert Recovery Analyst/Data Scientist,,Ed Mehlman and Associates,"Houston, TX",,,"Execute proprietary Excel-based software suite on large data sets and analyze and submit results to clients.
Candidates can have any education background but a…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f9a678794fab150d&fccid=3af7f76841d08814&vjs=3
Associate Data Scientist - Corporate - US,,Sysco,"Houston, TX",,3.4,"1+ years of experience with scientific scripting languages (e.g., Python, R, SAS) and/or object-oriented programming (e.g., C++, Java).",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=138a38263fdc7c07&fccid=053befe8409ab9e4&vjs=3
Statistician - ELSI Research,,Baylor College of Medicine,"Houston, TX",,3.9,Collaborate with project team to define relevant research questions and recommend and employ appropriate quantitative methodologies to answer those questions.,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=29bfb1b4def6b2ad&fccid=5f589639ccd58869&vjs=3
Data Scientist - Corporate - US,,Sysco,"Houston, TX",,3.4,"Work with data scientists and associate data scientists to ensure the correct data sets, calculations and analytic method being employed to solve a given…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=96df33a3a09e2ebe&fccid=053befe8409ab9e4&vjs=3
Sr Data Scientist,,Aspen Technology,"Houston, TX",,3.0,"Experience with time series analysis, predictive analytics, machine learning algorithms, data mining, cognitive computing.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=23767d70b5a80fec&fccid=b3fc015a7c99e39b&vjs=3
"Data Science Lead, Americas",,Argus Media,"Houston, TX",,3.5,"6+ years or more of experience working in the machine learning field, building AI/ML-based products/platforms/solutions with a focus on supervised machine…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0f62503d2600b77&fccid=d1bdb1e0aad69657&vjs=3
