job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrJMCI2DHu6IWMPQuR9tsixzvubpEkVp8qPdphV0VPz83ir5zFv9i1pcYWjUCSIqsrFZfuQbhmfsqK2XyvY0ImnwAOZoB6gUq_PaFuaYN1l6ImvD-zXc0gOIizvjfA2ed2UioEh1_jq1I-P7P7sv3JbPCFeXUlBOEjDQn1Fi1OZXfsFj4eXGZYz-k42cFEzDbOYLWjTqnx_GFGndvk-9pNuqUHlX4gRZTHym8gc73jYCe8mPQ4O0K-Fhy0Vi3mJiqjkfZn1rM4e4JxsB-HRfTnGsSYaWfduU39&p=0&fvj=1&vjs=3
Sr. Data Scientist,,KSM Consulting,"Indianapolis, IN",,4.0,Additional experience must include: application development using mathematical and statistical algorithms; Python and R; designing statistical modeling tests…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3022ca0a16221955&fccid=54c6eb6b01f04617&vjs=3
Statistician- Computation,,Eli Lilly,"Indianapolis, IN",,4.2,The Statistician- Computation is responsible for establishing a reporting database and for analyzing clinical trial data by working with clinical research…,Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=8035cbc00b8d70c4&fccid=ac8d156b339793e6&vjs=3
Data Scientist,,"Backhaul Direct, LLC","Indianapolis, IN",,3.0,"3 years of data science experience.
Develop and manage BI and software solutions utilizing GV TMS data and utilizing reporting technologies such as Tableau.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=000eeb1c5f4d0e69&fccid=6df5c0dc4f697178&vjs=3
Senior Data Scientist – Advanced Analytics Commercial,,Eli Lilly,"Indianapolis, IN",,4.2,"Deep and broad knowledge of statistical modeling and data mining methods and tools.
Stay current with respect to statistical/mathematical/informatics modeling…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=9de8aa8f04cd7b7b&fccid=ac8d156b339793e6&vjs=3
Analyst Data Science,,North Hospital,"Carmel, IN",,3.8,Leverages strong communication and people skills to work closely with subject matter experts in various departments to support internal and external reporting…,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9f750adfe77f7958&fccid=6cdebd3a6977c60b&vjs=3
Software Engineer/Machine Learning Engineer,"Up to $130,000 a year",Pinnacle Partners,"Indianapolis, IN",,4.0,Design and implement efficient and scalable machine learning systems from data collection and training to deployment and real-time serving using Python.,1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhdO0Ncs0_rZX45kaA1IghdSc64QuX_nVTEEikuxIZEzhyV8eyvLUCBawuXiqpuXbToM0SyVXwR37Vd__cDVob_M83wRfKVOx5O9Z6S8UgwadlH4ApKwGVMTbw-WzXSjMwZ2P-oTQx7RXKJumPlFfdBVMZIXlmN276F7wJPeFNVgphwLUiuhncRJETz_hdWt-Q5ayxR7e38DITL0PoCdOSHK8Miz-_I-mWd2pSnqW2ZXQvlW9qasbvwPOZbWKiqjsz7U33ojwC7OHUzMHBtIznWjPPNiWcJvArhda0VXueUn1odedC_q1dNbnjEnSx7OPb8jjwLwClFA-DVRMjXN_Jx0FLG-4vRAukT0mXpfRSSFbExOp-h4SghBl_2HsIRBkocRZF8vIbFEurWx7ryvAzFKQmTV6ZoWNwJS9_3sBgQ_SYtNULW2jdVhm8GR4pdBNQPxJZDNiljZpZ8OpkcD9vKy0-pk4pLKfF57SGUXoJs9tCiEFu_CVrKgciJqPSQx6a7-Ifbjea2NNLQqdjFJJSqbt9bGAtpZZzPuBOh8Hz7g==&p=6&fvj=0&vjs=3
Senior Data Scientist,,Johnson Controls,"Indianapolis, IN",,3.7,"He/she will lead and provide technical guidance, and also serve as a mentor to other team members on statistical analysis, predictive analytics and machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=db723df909f32a2c&fccid=dacddaa4d49537d8&vjs=3
"Sr. Data Scientist, Institutional Intelligence",,Pearson,"Indianapolis, IN",Remote,3.7,"Extensive knowledge and experience with database development, statistical techniques, data collection, data warehousing, data mining, data modeling, statistical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=62797a1fd4796f22&fccid=915b1c0ee87e5e8a&vjs=3
Principal Research Scientist - Artificial Intelligence and Machine Learning for AADS,,Eli Lilly,"Indianapolis, IN",,4.2,"Have research experience in reinforcement learning, deep learning, and knowledgeable in general machine learning algorithms.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9c8418e73fd794ff&fccid=ac8d156b339793e6&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Indianapolis, IN",,VMware,"Indianapolis, IN",Remote,4.0,"The team pursues research & development in the areas of machine learning (ML) with particular focus on deep learning (DL), computer vision (CV), Natural…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=534a464471aeb633&fccid=c762a27145bd166e&vjs=3
Machine Learning Engineer,,Crowe,"Indianapolis, IN",,3.5,"You are given the time and resources you need to shepherd software best practices in your project, and you will guide fellow machine learning engineers, data…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d9cd029a6205ef64&fccid=994b5c764776123e&vjs=3
Data Scientist,,Community Health Network,"Indianapolis, IN",,3.9,"Five (5) + years’ practical experience with ETL, data processing, database programming and data analytics.
Experience with 3 or more of the following languages:…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4cd48c2afda2635d&fccid=cf1638060e7d2583&vjs=3
Senior Data Scientist – Payer Advanced Analytics,,Eli Lilly,"Indianapolis, IN",,4.2,"Collaborate with other analytics team members to review and provide feedback on the analytics work being done, and be willing to seek feedback from other team…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=4d42cd353ba6d1f7&fccid=ac8d156b339793e6&vjs=3
