job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Citi,"Jacksonville, FL",,3.9,"Integrates subject matter and industry expertise within a defined area.
Contributes to data analytics standards around which others will operate.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9f689514473bfd71&fccid=5bcd1ef0a7f4fb99&vjs=3
"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",,Citi,"Jacksonville, FL",,3.9,"In this role, you will build/manage our Big Data pipelines and manage data migrations.
Our Data & Analytics team makes all of that possible, whether it’s…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d2e8a5eaac52a039&fccid=5bcd1ef0a7f4fb99&vjs=3
Data Scientist Sr Associate,,"JPMorgan Chase Bank, N.A.","Jacksonville, FL",,3.9,"Utilizes data visualization tools to tell an effective story.
Strong ability to understand data relationships and takes ownership of data-driven tasks.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=eb244559cfb28354&fccid=aaf3b433897ea465&vjs=3
Data Scientist I,,Crowley,"Jacksonville, FL",,3.6,Summarize analysis using a wide range of data visualization techniques to determine the types of insights derived from the product and data limitations.,7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d32e78fe3b2560b3&fccid=45d702db6157fc79&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrbMomRVCcl7TnO3EG6ZYk_vMr7VH50POuG64u54JccF0Nyvreu1UFk2RGSYDKFFJF2fbukXzpNTgyRlhgdLPFPg0QpDgX3hGPPq7YnaAx-3m-ZkvECygGJIFqn0XjenOvYojlXg99SgL35RUfMoeDAh-FVEbMT3YVojn_1EPnFG6YJbNyy2Pzum3N-TSJNcILRUL9AImaG6c4d_nryIR4h2zo6Za9H0ehgCzFsDDm7NH4PoP3LlP3IPrEk3T29pXemai2y56oDb4RhaZH4AUo_olGYzd8wAR8&p=4&fvj=1&vjs=3
Director Data Architecture,,Kemper,"Jacksonville, FL",,3.2,"Lead data architects and partner with data analytics & engineering teams.
Experience guiding teams to provide insights and actions through machine learning…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04d4a315ece1adad&fccid=595c8277c5fe1718&vjs=3
Data Scientist,,Florida Blue,"Jacksonville, FL",,4.0,"Applied experience with advanced analytics e.g. predictive analytics models.
Acquire and bring structure to data so that it can be used in existing and new data…",18 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B0bzw0Mod1HNV92jnRtQZrwaOzYX_tHXle7mz9O4M1OdKjlpUQDjHE57N9e0-ocGr02Kq2o2L6THsBnRi6YYDkoH2RMtDFZH9qE2COUwSbji3ZQ_jvo4LvuL00cL2wLXct_Fx-v5-dG4xtLcKjRNY6cwjo4_MMoaPJ_5Eqzz3KH9Ige0Y0kcYuplRCESoFmvlj5BPIR1dF22LMoO3stZFmiv845IuVUhT2vFfFi5Qn156lJvS-M1AncnKMSY5zgIgm2B8XxBeUtq92_dxfbr3CsbHCkmdmusTU2hOE8uc4YpsjCAr9vsijNm0cxp6kwY66yKP6VdkQGhzq-MyxQVhTS5zLJKbh3W85mwdtSPA3mQSGAl7_rZMDV3nPhf3exhYM8QkRqL37P0wPrI7J9U2kCQA8_k83d87jgDOGzjFZY83HMrakT49CUc2rR_2icIhZIaJosBrGqA==&p=6&fvj=0&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Jacksonville, FL",,VMware,"Jacksonville, FL",Remote,4.0,"The team pursues research & development in the areas of machine learning (ML) with particular focus on deep learning (DL), computer vision (CV), Natural…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ce8be2b14df943df&fccid=c762a27145bd166e&vjs=3
Data Science Engineer,,Forcura,"Jacksonville, FL",,,Expert at mining and curating health information and transforming the information to make it valuable to healthcare practitioners/providers – including clinical…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c4f8774d597232f5&fccid=d88993f0c01012c3&vjs=3
Sr. Data Analyst,,Nivel Parts and Manufacturing,"Jacksonville, FL",,3.0,"3-6 years’ experience in a data intensive role, preferably in a retail or distribution environment; comfortable with data and large data sets.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c75db6c28452b644&fccid=f6ff9254d860af4c&vjs=3
Lead Financial Analyst - Artificial Intelligence Strategic Growth Offering (AI SGO) Finance & Investment,,Deloitte,"Jacksonville, FL",Temporarily remote,4.0,"Strong project management and organization skills, ability to manage/ execute multiple strategic initiatives.
Business Case & Overall Results Management.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d588ee67e9afdc8c&fccid=9e215d88a6b33622&vjs=3
Sr. Data Analyst,,Nivel Parts and Manufacturing Co,"Jacksonville, FL",,3.0,"3-6 years’ experience in a data intensive role, preferably in a retail or distribution environment; comfortable with data and large data sets.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=21ca0093b642cdd4&fccid=f6ff9254d860af4c&vjs=3
Principal Statistical Programmer (Ref: PY),,PHASTAR,"Jacksonville, FL",,,"Responsibility for overall project delivery, including clinical trial reports and other regulatory submission deliverables.
CDISC (SDTM and ADaM) experience.",25 days ago,2021-01-15,https://www.indeed.com/company/Phastar/jobs/Principal-Statistical-Programmer-460ef210bf3b91a4?fccid=6c4c1b43a0cb41ab&vjs=3
"Senior Data Analyst - Data Sciences and Advanced Analytics - Opportunity for Working Remotely Jacksonville, FL",,VMware,"Jacksonville, FL",Remote,4.0,"Develop deep knowledge of CloudHealth’s data assets, extract and prepare data for modeling from enterprise databases, using SQL and other tools, deriving and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e09bf395612366b9&fccid=c762a27145bd166e&vjs=3
Senior Statistical Programmer (Ref: PY),,PHASTAR,"Jacksonville, FL",Remote,,"Feeding back data errors to client data management teams.
Experience working within a clinical trials environment (CRO or pharma).",25 days ago,2021-01-15,https://www.indeed.com/company/Phastar/jobs/Senior-Statistical-Programmer-1a47eb46b1ec6bd7?fccid=6c4c1b43a0cb41ab&vjs=3
Big Data Solution Architect Consultant,,"ACTS, Inc.","Jacksonville, FL",,,Ability to design appropriate solutions in conjunction with data scientists and knowledge of data needs specific to machine learning and data science.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=000bb45aaf01fc4a&fccid=d937074bdff3affc&vjs=3
