job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist II - Remote,,CUNA Mutual Group,"Madison, WI",Remote,3.9,"Support internal customers by providing actionable insights via data modeling and visualization.
Manage large amounts of data within hardware, software, and…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c6ab162874536647&fccid=e2b0f357f26efe90&vjs=3
DATA SCIENTIST- PROGRAMMER ANALYST,,University of Wisconsin–Madison,"Madison, WI",Remote,4.4,"Matthew Churpek and Majid Afshar, whose research focuses on using electronic health record data combined with epidemiology, biostatistics and machine learning…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b7a296cb8e0ff5fa&fccid=22b1d1aaa50a1a45&vjs=3
Statistician,"$76,721 - $99,741 a year",US Department of the Interior,"Madison, WI",Remote,4.1,"Examples of such experience may include: a full range of professional data science work such as statistical experience represented by sampling, collecting,…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e10295dd338dd066&fccid=a49370fbe395bbd8&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Madison, WI",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=16343f55c7b2c748&fccid=fe2d21eef233e94a&vjs=3
Data Science Manager - Machine Learning Research Team,,American Family Insurance,"Madison, WI",,3.7,"Demonstrated experience in machine learning, predictive modeling, or statistics / data mining using large amounts of structured, semi structured, and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAwnJVK1qnj8MuuC38C6cdqgu_ur-H_2jiEBnvYQ5SGuq8eKREIdHBx2tP4vLFhujZt94qr6bY10ZZKhoGWhbL8bDp0Gzi5KuFqWMI5cs_OaXfcLy2rvCYuVOfYFCc64G1JZUPmE10hem5k34VQ2-jnJ93pSht34IMOuT4DzWrwdZkgsXpvebyEV9CzrZrn2cAVjPzvt2qzhOb24KYGac5jDJRcYyUOVaL4yqt125yd9u9xlzbHhZd04XkMNrkGHlhftmR1LJaUIg3AvJ7ls4DxzboPcq84qI31JShgzQ2K26A-uKxPREzIuMpZYnTLFnh4mBT47mjDlmbBIHaaa2RMV9ib0T_fw_Q7Ui1wsjgdT87UIg1VhT_v0xXdl-AGFSof2ZQt3QFQVmF70yU25l22TWXZy7Yg1LP8RqKhxCgp2ORM9_xWRRTjEWYuXYNkrSR3GWsaXBaK6XZMu6U-e_5_GazoMcjT-Od0w0hc9K3kuRCy-wyYvD2YTz-yvZIzms-SyrkX2MqfjEvE785jpQAaU_GaotSihG0_UoXkEYoWGiVgrcDMt3YOmSdDrVxTKrGYCVtfuBUzJkfwulkuSAgAOjiT7-6o40=&p=4&fvj=0&vjs=3
"Sr. Data Scientist, Institutional Intelligence",,Pearson,"Madison, WI",Remote,3.7,"Extensive knowledge and experience with database development, statistical techniques, data collection, data warehousing, data mining, data modeling, statistical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ca53aa6453727582&fccid=915b1c0ee87e5e8a&vjs=3
Data Science Marketing Specialist,,SmartUQ,"Madison, WI",Temporarily remote,,"SmartUQ (SmartUQ.com) develops advanced predictive analytics, machine learning, and.
You will also have opportunities to work on data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3c8455090d786086&fccid=ea76c75716af82e7&vjs=3
Data Science Program Manager,,ABS GLOBAL,"DeForest, WI",,3.3,"The primary responsibilities will be to lead the continued development of data management solutions, seamless data integration and analytic capabilities for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88bb75400f8c72e3&fccid=4b394719728cfa2d&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrNwPL2QfHlmUZDHjg2ObWCC1iU2drmaqK1DKK34f8Y9dIODyXW2xEcea-LzKXDJV4gaHUMa-O7RH0CeI7GKhJzXRE9_Pn61E0anS9JCCbPd4bpA1gNI1EXWY2Lg_DdJUbf7z6RiFScsgIaSQc9prxSJOd0RpGRgbreKRoHalDGYB7O5RdvobTrfgIdvHHDWpNTCfDCSR5TrfkjDQRCMPHBvkstHh9ogdDlvVpN3zmYQ5TN2icE01-z3tEsjgkbnPM9LJ6FOSVfjT5nzqE2Zhoh78JWIfmyJl9&p=8&fvj=1&vjs=3
Data Scientist 2,,Promega,"Madison, WI",,3.9,"Experience with data mining and/or text analytics.
Responsible for internal infrastructure development, processes and methodologies that are foundational for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8742e6c6570b2293&fccid=c5699f7e653e0cf5&vjs=3
Summer 2021 Machine Learning and Data Science Student Internship,,American Family Insurance,"Madison, WI",,3.7,We are a group of machine learning and data scientists who are dedicated to build state-of-the-art ML models (including but not limited to natural language…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e6ffc40f2f2120b&fccid=e5c4515812210aed&vjs=3
HEDIS Data Analyst Senior,,SSM Health,"Madison, WI",,3.7,"Three years’ analytical experience with business or scientific computer data applications and query language, to include descriptive and inferential statistics,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6d51fe10999f0a04&fccid=b00c5e088999b49c&vjs=3
SCIENTIST- HOMEBASED DATA REVIEW - CELL,,PPD,"Middleton, WI",,3.5,"Communicates project status to project leader.
Enters data into databases and reports.
Proven ability to interpret data by performing trend analysis.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5838469dbfead1e4&fccid=5e93bbb0f296b0b5&vjs=3
"Scientist I, Quality Control-Data Reviewer",,Catalent Pharma Solutions,"Madison, WI",,3.2,"Review chromatographic data and related notebooks as specified by Standard Operating Procedures.
Competitive salary with yearly bonus potential.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5f2c2807176d888e&fccid=fe0933928b3bb3ad&vjs=3
