job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
DATA SCIENTIST,,XSOLIS,"Nashville, TN",,,"A successful Data Scientist at XSOLIS will have a solid background in data analytics, statistics, and practical experience with machine learning methods, and…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e24dbcd10f3da74c&fccid=fff3f08471f04131&vjs=3
Data Scientist,"$78,354 - $155,000 a year",Ennsee Technologies,"Nashville, TN",Temporarily remote,,"Interface with clinical and business experts to understand, engineer solutions against, and solve our immediate data science challenges.",3 days ago,2021-01-15,https://www.indeed.com/company/Ennsee-Technologies/jobs/Data-Scientist-127298a0d477d296?fccid=c5b8870750c7f62f&vjs=3
Data Scientist,,GEODIS,"Brentwood, TN",,3.5,"The Data Scientist is responsible for developing predictive and prescriptive analytics models, creating efficient algorithms, and innovating use of data.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COfhFmRtsgKWZoiHBXTX4Tc02smXb_khHTnKOEBKpgjITi237fq6rYDJf1dMaw1pC4v9a_t-8H-rJpM-aL7k-slbgCL_DnrUo2vHuPmDIzQcw4YeWY0Jz2ZY70k_xpwrggzH9obS8_koU9txD-yKw10C4EHbVOYAEBwfNqkFF9nRW3IRuu0l0_pMTM7pjmV25b3AHz4X5H9aJXqWXyVM2RWrw7tFrvviTu8fJ_lbW0t9bbJG9RDS65wbSNw_vj5mQ0YDOgvqTW-U9fKGkVSO4N9DMSPjasQU5N4Tyx3XOSPrNfloOD3Kvh4JnsAeYnh649L3Rew1cQWGfHCSwAgVZ5xUTjWdEOxZvemZeRSD9_fm_BqOYcY1Q9fVM6HaTuapzMKIWLUyfuc3sgGpA-txJWfwU5z25xUNgoUaKvGZr0J-l-r3fvJHJiUaHUdthtRgVVY5N8vEVieqBSwF-Y-lh1nxKcUBGrtc5hloi0zgVGLP5Hsj3hW-yBAnpFATJI2Nph6ByCUUA6WHqKOFBkrCNcuwsY1IggbhqFPW1K2St1MKb-SaVDHsEFVcceFLSvxyB5TR8EnkcjyAmX7VLom-1o4v3f8zdcCKvOAKeXg0wME3CgxUmMq3d19N3OT0bfeO0NWdcXdK6A7y1l0HB78AGW&p=2&fvj=0&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Nashville, TN",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3838bea88060927e&fccid=9e215d88a6b33622&vjs=3
Clinical Services Data Scientist,,"QHCCS, LLC","Brentwood, TN",,,"This role partners with key clinical and quality leaders/staff to support enterprise-wide improvements in the areas of safety, high reliability, quality,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=84dbb8ab06776627&fccid=587870402e6d2bdd&vjs=3
Business Data Analyst - Medical Economics,,"Monogram Health, Inc","Brentwood, TN",,4.6,"Work with Vice President, Medical Economics and Risk to identify data trends in medical claims data.
The Data Analyst will also support data quality processes…",1 day ago,2021-01-15,"https://www.indeed.com/company/Monogram-Health,-Inc/jobs/Business-Data-Analyst-c0da6b5cd718221e?fccid=d0c49c9c16980aaf&vjs=3"
"VP, Data Science",,"naviHealth, Inc.","Brentwood, TN",,3.2,"Advanced degree in statistics, applied mathematics, computer science, machine learning, physics or similar scientific or computational discipline.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a7c4646e88c70a0f&fccid=faf03ebefb594139&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Nashville, TN",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4fb1b75bdd3733a9&fccid=fe2d21eef233e94a&vjs=3
Statistician,,Centerstone,"Nashville, TN",,3.2,"Disseminates outcomes via scientific (e.g., conference presentations, publications) and non-scientific (e.g., media, print) mechanisms.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=57ba437de2c1e94c&fccid=ea3ef632ccf34190&vjs=3
Artificial Intelligence Intern,,Tractor Supply Company,"Brentwood, TN",,3.5,"Research or work experience applying machine learning to large data sets.
Analytics Project utilizing data from stores and website.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ea9f7434d65cc2be&fccid=11196309d222f1c1&vjs=3
