job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Data Scientist, Business Analytics",,Oscar Health,"New York, NY",,3.4,"Insurance companies sit on a trove of data that is both broad and deep, spanning financial claims, clinical medical records, and rich product interaction data…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHmpUCSxDYjXqLwMq9sXRhzZbRYXAhXF7CEKQIH7J0VsP5f0r3OHkiIN8KWVpZ3oK8W4Qn54FvORK-a2uIzq4u4_xS6agvPTtYM7cEMC5fcnYImX7s6X0cLdAZ9RXVLAI-MyZMUakDhUpauAfd-jY_dXyLR2NqXqjCr02PCgXz8WrlvXlpkVCuIKgECxe0wL3kZ9ceX_P9i57x8BgpYnPy6ueZaB5tO25he2SZh_1oxetSOB6cGxPaCz0SXvpLYyod9Nx4z9gcAfWLu1uQsif9qpUZ4uRmNwo16A5Zqadfqd8AcAU39KpKqaGLrLz0kgzuPO2aamUm_tVLYcAXc_xcm20aSYbctlbVxgSOATLYH9PmYq9Txv74yX3jMaAqvJhygnzVJWb6yGHVmGZETENb&p=0&fvj=0&vjs=3
Data Scientist,,"Yoh, A Day & Zimmermann Company","New York, NY",,3.8,"Experience with feature engineering for machine learning models.
Visualize time series data in intuitive ways for a non-technical audience.",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHFXRG3kkdUdmmlVrgd8iCe035pugiL0RqZ4rwDlkiq_HaUFfJht6hyhHSRV-E1o-57v0V8hU_92IhOxwWQ5rpfhMCQF21Agb1RC9y4eV7iG3wHLPot3u6qNsISy2Dp_5GLGpFm7jzb8_ZRWSME0mS4kCnn2JKszOKDeCEkYAMEMHw23ZsFeSyeHuDyF7mwwownj8lT5fqa1QwDqaB12UhrpB66JYJnlfK_sQ0HysYSoMwG3c0MW0hgyWrrOkoemU76DLTayc6N4pVQzw15jV90aNx-Qnr63vWd5VRkA4L3K-mLPresF16s8Ywg8G8vLZdk0ORFm7wXyOombZaXyJnbHSjB32D8cMGNh2DuxzGMsfvxM2aer-V3J29uRBDzmktyoDEZvnO0_hbPScUfxyxCKuy4jYHAORBBYn-vCFl0mjh-iTJ-8S2vE2MgyCgXzhyd7l31aT0qdOIuib-w5ies0BkZuiPLX__4wMSLjJ5RHfkliGFompGgJ1aEqy6U6k-RKE7SRrwdeKr8qP48zU4bLUh_wsPgjFlMVi4pu7xLN0XtUeYUlEhKGQztAiZi6Z6gZFqKoracY6jsaT6_g8OT1BkITsEB0S_ySScDTQnebi1M5OPh_isJMmxJS-YHB_Sutf3zVq09iGYgldfXyruHQdWwR4y8FkP3bgcaHKnR503pLAfhvKVyVCEH6RArnxTDuf45bViRw==&p=1&fvj=0&vjs=3
Data Scientist,,Memorial Sloan-Kettering Cancer Center,"New York, NY",,4.2,"The integration of clinical, genomic, operational, and financial data will lead to countless insights, through the integration of high quality, authoritative,…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfhXZLdKKEaSrE-A3kTViGcJyfCs_ENjKb6b0iXAiczDOOiYKMS_6J07x6-wXioXOFz-2nYF2Ln3CvFeq6RnnvZf5D_q5PWMm2OqQncxLgS9S0M0GwivnXtybZhp41Bc0qvZzxFbSZN5qFbha0Kpv1gi6GmZGT4RQFt0sijGB-BlcwaT8PUZTeLce-qf4zJlDYITQPUmhbNP6KB8FhU0vvNPJhJONchjGNTJZ9fOZyrFSJ76ddUTzD1RMxSjfFMzAPVhEHUX_yyOiHDR6_ptuOqLGCFnquDNN3N4dzcnlY_cA1ypukab8Fu85ck6KpHNj9o-K-PkhJyXYti5E_UW6NCl2PbpjKdo2ZzDHW_JgGrX5OiUJXQoGQ4Gxo3pKc43FbVTo61NWFTE5bU_wCFQvChIr1mpjIUpaeuSPEkXbRsPx4zcgnxOwOlH8k1SWlFmekTfK2e-kn_76AVV1m5ydIiZkXgqE2XtqwiTWA5g-6We7r2OfRJwOTPo_apVD9lbIz0zncmZl7TlTaiZN6NjpbeVXVE-DSaDfeXyIqeBbU1_q2fvZ7zgkzKUNfXAJJRtLIeQtu6EX6Zvb6FN1ty8MTPpaBRst1Rj7-TG8B_rS9VzvSRYmXWzX_cdzsTYO4o0cIEUv9Yx7gsgqUR0mgPPvSINKPfc9L-dJA1ZOgF6yXQ_slXao3xdsjgIsvLWVlIy4VNT94qyMqCXh9df9kXI3EWAJdqHNmG-wL0bsdcMWI5HCmiTFqaT2W1rZvOKE8crM5VXWaxBHH1xl75BhvZli793S_FPITNarBxQbc_adcz5Qq2twqVPzFvAs-lZndig6L7tV3LMh5t5qFFs_HKp9U_tH0MfZEEy1gtAXQwbUnMnR7Kcy0hwoLFIlhmXToRFI=&p=2&fvj=0&vjs=3
"Data Scientist, SBG",,Facebook,"New York, NY",,4.2,"Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers).",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqaCHCddbS5gJ0zcAoo5CDpxVtzTYGxof-fAQh9QAElxafABVweP3gRBlTMI4EQtjbtWDb0xHia7KfxqKYFC93ze6OQfslg8X46_lmSmEt4qh5dDDQmPP4XepoNsV3Nqx5L7R2ihA_x4OZomMaS7g-Ms0VXD_FcNyd8i8daB_1E5Bnkn3wWpFy6-nZFTFZrdmyrTujGgWK85c4_FR4jkWBUNxDMTjPMCkCi7A5mcL3v0SV9ne6v2bheuWtn4NyQjtYDAJFfbi0d1TwePoW4r6cYZbCXPbeC2-Rm206VNJREbqe8euP8iAWLki5CqZ1oPWI-ySp086JQyBDhIqMXlrESUe29m6XkuIIPh-fDT8me_ZT_3OmJawcFexPlFyUVXR8aPlmHqmioiVOFBQkWT_y1qdH275H7olaatI1WcTMCpSLHqsOTZniKT9hetdCnF9vxp-QIf5u9Yz2DalWMvHx2HqgXCyLRJ99FI89spImaW-2jOcIK0B8iISCb8LU9u3hcxV92BODvl6dEKcmaAhc02YvNInpWZS-3-Ezb1Z-7ImjZIF3lkRoMN61Vyz6d_Cb_qs2jpaTjtz1BxcdM3gnHKmEYkFUvtO-9-czEvjUKHnbHpOZigq1ro-CwyNbiZYIh3Alr4vWMLUmPci6kP2DrdN5IqtBsKCFiOFFM-EIxv69PxI0OFXRMnyvJqwKikz44UmuD6PNINdPxzQNVdyojfArCwsio-Gn36fGwhu-mfZ2BgmHUkayc4go0MPGGqbsPne4yqKCduzqNK_eOoEOUUiQzgiEKvM9mN7BcWJubwzFp28ZoffTcEMd7A8dQnHUQm5-njhwI-JgiKHf971PhfvFk82b20QP7VsMhAwzgwmmdKcWDquFXoHPXk0b6FiZ2oZS4neVn9rF89DxsO9j_gcdHcRs4Y15f5QRIE8QsYKJMd3lYenza63oCW9lurNWiKP_MnCiAJlDS9MLAdbtEjMWoY6pLKf-w7Eh2QUVkzBgZiRf4XxUhacXWvVZfLWkJd7744yR-7omvVjfGOYgwg==&p=3&fvj=0&vjs=3
Data Scientist,,Publicis Media,"New York, NY",,3.3,As well as their ability to manage research projects resulting in real world project and data pipelines that support data products.,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=f5cc0763f11ef17c&fccid=18d58239dbfc6097&vjs=3
Data Scientist Intern,$18 an hour,Hach,"New York, NY",,3.2,"Parameters like pH, alkalinity, disinfectant concentrations will be used to determine an aggregate index to ensure the quality of water.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6a1c9dc5d54cab70&fccid=7211d6a9510d11db&vjs=3
Junior Data Scientist (Portland or NY based),,Mars,"New York, NY",,3.9,"Experience in working with data and delivering business-changing analytics, data science and/or marketing personalization (consumer- centric data).",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=568acbc8cec72a11&fccid=6f49e88f14c18b75&vjs=3
"Data Scientist, Square for Restaurants",,Square,"New York, NY",,3.6,"Data Scientists on the Lifecycle Analytics team at Square embed within product teams and leverage engineering, analytics, and machine learning to empower data…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=9b3f4ef7f4c89f8a&fccid=09abad886b83c501&vjs=3
Data Scientist,,AdTheorent,"New York, NY",,3.8,"Familiarity with relational databases and SQL, data transformation (ETL), data mining, ad-hoc analysis.
We are looking to hire a results-oriented data scientist…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40b4fe6499314552&fccid=647578535675f915&vjs=3
Healthcare Data Scientist,,pulseData,"New York, NY",Remote,,"Combines clinical domain knowledge and data skills to generate useful insights from data.
As a healthcare data scientist, you will be part of the clinical…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6720cf1c03a1c426&fccid=2c23f29fcd5c78da&vjs=3
