job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDr0tfMo4_j3u3q_dgAOoxA0xTlE95g3jQI4g56gcsTwQgHdetBcDla-tyObeYOvqsazXZVucIlzwJa96lCpc2Xytt5gTUBfy1n_C7N2PjBCtfOjUgXJUyapDMpvKf-0FbBsnDW71Qpx0X5AW3DN_pXHqHaskirjfb2wBDQy1Xb6irIwABVNzp3IJakhdnD4G7n4_2WVIkZomTixK6a-yDHHPD2ET5o9zZ8iBVpvY2ktihrMsf4I_fPYQ88iLLiMP17dctPZvf5p5dnxlWxA8m5Pjg15oImgaep&p=0&fvj=1&vjs=3
Data Scientist II,,Comcast,"Philadelphia, PA",,3.7,"Develop data mining, machine learning, statistical and graph-based algorithms designed to analyze massive data sets for business insights and partner with the…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZj-DGTHI1KLtRXrU9mG9a7Gj-0yq5tfKLjWph9X2kbWjMA2QKs3UGHMPWJAb2B57S41v1jjp24jlyLNrCpi_C9r2TD_hKCxSNzOlO0dMaMp9fgRoqroV-8vPv_SYvIjiZemI9HWihwpfUc3sLK4Yyt-99yW6WtftnpEB1xnRA0-wGmNzsqCiXQIUZd3jLTIqS9yrWsE_V9xUrRmCxbLyt46js8f1AAcZ7io511RY7Q93y080lLs-tf00JCCI8OLGZD7SphfPtm-TedKl-CfpGkNHeB-M4bcSHCFyTK2q4-hZk_bXMRybhxzpPW3g1E6wB-HiFMzCWc4r_XBr116rc2CT9b6luFtlyqa9WqHcvJHnxIBgYjB-OQi74KwVoEcgArLi-2v8LPE1uO58UuKmwc2Khm9NMxMyJ_JqpLWqXSHKStTF_1fxCBxEk-bT5QT0fKX-vx3DGlqKdLp5z3sDI7NswoYDuVoJINjKY5YErbgIqmUpAc8Fr0Zkb8ZhQNC3Dr5PQT5LChkNYzH-KlrOvr5w7cNy2tkjPQgn_3UTKhYHmEufRs6ilFBVxp53I04qjQXCJPcQ6PzLp-z6AuwBPaKhBRAntyRKJfNsl-Gh62vWR1U6iyyjWd2UBIj31Pos49DVdS3ic_LbDGODFlH-o5VHth7f2yHtEvN-px15eBIDb0PBNDAxXk2FanoB6VGBjOaXzdsiHeAiksp_3lzgP4qkCmYB0JZQ1FWcTXMc6XQwlXcf_NstlMG5FKnukHIkNl62z9GNcWFk3Q7p-Lmp2uHym3fU7_qVZLS2Bioj-RcZugscItvjRTCJSDK5B4JVL_-hE6zP96D6b6d-9ueG_1A4SuqXLWhf4q0rFy9U7doBnOZZyNeJS6BjMVjPVVPbY6_zuxJj5EGd8r7DRheN5-Ta7nxCsUbYjLnyl1OuU77xLD_KM9Ep258mH27dsJaqwrqvILNDn45i1EPhKksuppIW4TUV6I1VUMUMxDlcSIQ8&p=1&fvj=0&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Philadelphia, PA",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c61f0dce899821e7&fccid=9e215d88a6b33622&vjs=3
Data Scientist II - 64037,,Children's Hospital of Philadelphia,"Philadelphia, PA",,4.0,"We translate research to practice by applying our models to domains of clinical informatics, population informatics and precision medicine through comprehensive…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0e1821012ac28c72&fccid=af97857db3a698b1&vjs=3
Statistician,,Childrens Dental Health,"Philadelphia, PA",,2.6,"Prepare detailed reports by analyzing and interpreting data.
Instruct residents on how to properly organize findings and read data collected.",14 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a73465ae1530d367&fccid=bff6bd9bc87a65ff&vjs=3
Data Scientist,,goPuff,"Philadelphia, PA",,2.9,"Hands-on experience applying descriptive statistics, machine learning, predictive modeling, and visualization techniques to solve challenging business problems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f09762729880533b&fccid=8a2222c2ef6a251d&vjs=3
Sr Data Scientist (Big Data),,Deloitte,"Philadelphia, PA",,4.0,Maintain technical knowledge within industry and service line and leverage deep subject matter knowledge on engagements.,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88e2d47542284cc5&fccid=9e215d88a6b33622&vjs=3
Senior Data Scientist,,Vanguard,"Malvern, PA",,3.8,"Mentors and develops junior data scientists and analysts.
Identifies and diagnoses data inconsistencies and errors, documents data assumptions, and forages to…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=e771ee50a0e06d54&fccid=510aa29fcf8f87d9&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Philadelphia, PA",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=83b75a29e032a46a&fccid=fe2d21eef233e94a&vjs=3
Senior Data Scientist - CXD,,Vanguard,"Malvern, PA",,3.8,"Mentors and develops junior data scientists and analysts.
In this role we test data quality and optimize data availability.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a8711468616b3242&fccid=510aa29fcf8f87d9&vjs=3
Data Science Summer Intern,,The Chemours Company,"Wilmington, DE",,3.7,"Participating in data set design and statistical modeling discussions.
Writing data preparation and analysis routines in Python using the pandas and scikit…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=a4ed6b6f68887415&fccid=437fb825bf2dab94&vjs=3
Data Scientist,,Fingerpaint Marketing Inc,"Conshohocken, PA",Remote,,"5+ years of experience in data analysis and machine learning.
Understand all aspects of the data ecosystem, spanning from data ingestion, data engineering, data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4edb236bd9d4c064&fccid=f4ab9e6f23b8cd4a&vjs=3
Junior Data Scientist,,Invent Analytics,"Philadelphia, PA",,,"Engineers and data scientists to develop advanced forecasting and optimization solutions.
Performing assigned tasks as part of the project team, working…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d985dd16336e0d9c&fccid=d6bec4f229fffc9a&vjs=3
Data Scientist,,Invent Analytics,"Philadelphia, PA",,,"BSc / MSc in deep learning, machine learning or equivalent work experience.
You will code new machine learning paradigms, sometimes from first principles, for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a05af45b967d9641&fccid=d6bec4f229fffc9a&vjs=3
Data Scientist 5,,Oracle,"West Conshohocken, PA",,3.8,"Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product,…",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4ae583c0ed730245&fccid=cd22d01053af7669&vjs=3
Data Scientist,,Invent Analytics,"Philadelphia, PA",,,"BSc / MSc in deep learning, machine learning or equivalent work experience.
You will code new machine learning paradigms, sometimes from first principles, for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a05af45b967d9641&fccid=d6bec4f229fffc9a&vjs=3
Data Scientist 5,,Oracle,"West Conshohocken, PA",,3.8,"Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product,…",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4ae583c0ed730245&fccid=cd22d01053af7669&vjs=3
Director Global Data Science,,Johnson & Johnson Family of Companies,"Fort Washington, PA",,4.2,"8+ years of relevant analytics, data mining and modeling experience.
Lead and develop a global virtual team of data scientists.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=f2558cae8e434884&fccid=0bed8e17bc113980&vjs=3
Senior Data Scientist,,Clarivate Analytics,"Philadelphia, PA",,3.5,"Explores existing data for insights and recommends additional sources of data for improvements.
Implements these methods and devises appropriate test plans to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=220e72162badb2d5&fccid=39cdc80b98113925&vjs=3
"R&D Data Science Graduate Program, US, 2021",,GSK,"Collegeville, PA",,4.2,"Exceptional skills in scientific communication and data visualization will allow you to work effectively with leaders and team members by, for example,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=be2349f2af5da1ed&fccid=4e42ec53f4b93e02&vjs=3
2021 Consumer & Community Banking Data Science Full-Time Associate Program - Focused Analytics Solutions Team (FAST),,"JPMorgan Chase Bank, N.A.","Wilmington, DE",,3.9,"Unifying data and analytics talent across Chase, the team encompasses a variety of Data & Analytics disciplines, from data governance and data strategy…",14 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ff1b387d5cf8330c&fccid=aaf3b433897ea465&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Philadelphia, PA",,4.0,"4+ years of relevant work experience in consulting or data analytics.
As the AI/ML developer you will help build a cutting edge, comprehensive solution for data…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=7204285704e7046f&fccid=9e215d88a6b33622&vjs=3
Data Scientist Lead,,Jazz Pharmaceuticals,"Philadelphia, PA",,3.5,Develop deep knowledge around the data and data dependencies in the Jazz AWS cloud clinical data factory and R&D analytics data warehouse.,7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c44f51a79b406425&fccid=d3611f5bb96ad711&vjs=3
Data Scientist,,Black Knight,"Philadelphia, PA",,3.4,"Responsible for using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d802ab9ba0aad8a&fccid=87a96713f062f207&vjs=3
Data Scientist,,Cadent,"Philadelphia, PA",,3.1,Right now we are looking for a highly motivated Data Scientist who will be responsible for applying scientific methods to identify business optimization…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=af7e91c62aa885e7&fccid=760d03f6c6eab030&vjs=3
"Business Intelligence, Data Scientist (Full-Time)",,Integress,"Conshohocken, PA",,,Integress provides unique offerings that combine business consulting and deep data experience to seamlessly drive data initiatives from strategy to execution.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b2db81bc6360d9c&fccid=b8cd09f0d8e3f9a8&vjs=3
Insights Data Scientist,,Tandigm Health LLC,"West Conshohocken, PA",,,"Guides interdisciplinary teams (clinical and non-clinical) on large scope projects to gather requirements, develop analytic approaches, create measurement plans…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a59dfb17ce356793&fccid=ac62953852441dcb&vjs=3
Principal SAS Programmer/Data Scientist,,Adaptimmune,"Philadelphia, PA",,4.0,Works with Biometrics team members to develop data visualization tools and techniques in translating clinical analytics needs into data visualization and…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ea6005dee9051c18&fccid=030c775c37bdfab3&vjs=3
Data Scientist/BI Developer,,Brixmor Property Group,"Conshohocken, PA",,3.7,"To manipulate data and draw insights from large data sets is a plus.
Assessing the effectiveness and accuracy of new data sources and data gathering techniques.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7dac6f3f6c6788cf&fccid=46c5da9435606865&vjs=3
