job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Microfluidics Data Scientist,,HP,"Vancouver, WA",,4.0,"Collaborates with peers, junior engineers, data scientists and project team including marketing and finace.
Effectively and creatively tell stories and create…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOWsVIs1722nibqFgKy5M3uQ8ooKbOgaEhyKMF1JdC7stgLF-oJKaw8Ns1l5ypVSva6iTCyS8iWIOFCuy2srprXLh5IrKym5lbHaY90Th6EljzupvFJ2lMO8wOjiJJ1Yc3h_3raZtMMyKyeVp0lK_j3ZQcO-XZf8K8lxSbkxCXUgmPxfAXlaL5IdaOI7j1vrTIyeBXNiYIfUX4CY_y6wELIGTGOYbR6Obzdd-dDY94NTnNHWwO1Si3QDLnGnpkr-PLlVb6LgKS7FW8-VGFij0930I__Lm5KgyoEegZqAucyrQx6SISeZOhM1mayz72YcP7uDK3xrwTnweBDCLl9Bw9IQ9z6bwmvXuO438XL80VqtNKuM8ppETVz5-DQRPUbUPSl7CVOqJ2pkdv8RIz-LPb_nYJW8YJEA5rqAf7rTPYdKLuM2C6gk_klvw09s-mOXkmSUc7KCXFjGF2Fx0ptA02IzzZr8vavFjux27adkD6mXLCoEC1hSFKIes5c9y8MxEEtikmDCOo2HTgQbDokh7548URmlqlxrzmgyEb20_aBLumnF_aRRTNl_ySqFLkqyPzVG67sV4vX9wRAcXLIlWDzL1PLUmU7LFcUuT5lZMJLYOaa2ot9P850Qh_scm-byNt5LkoGUxFBG33qRt5ueMCJNsLNVqsV8tj5JDPO9NwcNfizeL187efJQWF4ioA6oyLstqdGudrksU2v_IyRAfAD6O4r-aN03WkGA49-9JjGi0o5gPQzJxtq3WtxmjFjeUUqRYSoRoEEM5vFPOhR4VoadDgF-OWgyjCfD6K-fRD1E4yIssc9K263GtHE7n0c7WevaDbxyasHzh3PUzktHQFzWOtmRmK03TPKeosGKfYca0mgwriezx-ccfiSVsCS7XWk_WC8p7mC7MMCbPiF0jQ14=&p=0&fvj=0&vjs=3
Data Scientist -Deep Reinforcement Learning (DRL) Researcher,"$70,000 - $120,000 a year",Moneza Inc,United States,Remote,,"3+ years working as a data scientist (preferably for a startup).
Experience working with deep learning frameworks like TensorFlow, Caffe2, Theano, CNTK and…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3SG9hFfofNF1-BIr4dY2wElhkB5YAQiFObJSLep6lsUmVo2Rh2aolk4OT3cjiXHE-e_6NyTE6sa-5S0KHr3a03rsQdNPr259-Q9R4jGKiWnYueAm2h_5W1lcwsAvScOeWFSeTD5z0fkJXdrR3SeLDaNXBiAB8f6x-kFBpSyPPKBYvVYy0pQf7ef3RvL7TpPi1_2_IMb9bT7iLoS5YOiAW9WU0x3kR9FraFeKZCYQGC0T3bu3vv_anBsYUHY6k5zX87Rzt8JEPaFj9Rpa_CWDmFa7biDgG5DE0H-8QM-jUEMFwDFYu912MhxDLKH_MSWYv_Jm78AwqOndomtVYWHegvnNUfOq4IwGuNTxXK6LqEamrFeTDcp9oMTMc6YF0XLDmDQBAmO24C0Ukok2cKn9lExmlb0gkj7qybxEt0Zzdpxqbz2vOuTHo9nftuA_FjsdYWpn5Ni0PfVhs5KjYZbWCN9T0gXJVph4wBC2nmwm4tSMZxFBjwo08j4jiTGcHyMI=&p=1&fvj=1&vjs=3
Data Scientist (all levels),"$65,000 - $160,000 a year",Cascade Data Labs,"Portland, OR",Temporarily remote,,Analyze a collection of raw data sets to create meaningful impact to large enterprise clients while maintaining a high degree of scientific rigor and discipline…,7 days ago,2021-01-15,https://www.indeed.com/company/Cascade-Data-Labs/jobs/Data-Scientist-8a0f22de0e203dea?fccid=d9a2e6caf751bd78&vjs=3
Junior Data Scientist (Portland or NY based),,Mars,"Portland, OR",,3.9,"Experience in working with data and delivering business-changing analytics, data science and/or marketing personalization (consumer- centric data).",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=417f604f88751f76&fccid=6f49e88f14c18b75&vjs=3
Data Scientist - Telecommute,"$71,740 - $84,400 a year",U.S. Bank,"Portland, OR",Remote,3.6,"Ability to data mine, analyze data, and present insights in a meaningful way.
Acquires data from multiple data sources in order to perform analysis and…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=87d3e9b7acfa6f08&fccid=ae5bfc395c530fbc&vjs=3
Associate Data Scientist,,Schrödinger,"Portland, OR",,,"Search scientific journals, patents, and databases for potential data sources.
Our drug discovery group of around 60 scientists includes designers, modelers,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=85c3d4fc88c9e7c3&fccid=997247686a12385e&vjs=3
Data Analyst/Scientist/Engineer,"$65,000 - $120,000 a year",Cascade Data Labs,"Portland, OR",Temporarily remote,,Analyze a collection of raw data sets to create meaningful impact to large enterprise clients while maintaining a high degree of scientific rigor and discipline…,30+ days ago,2021-01-15,https://www.indeed.com/company/Cascade-Data-Labs/jobs/Data-Analyst-Scientist-Engineer-32812ae6e0c7078d?fccid=d9a2e6caf751bd78&vjs=3
"Data Scientist, Marketing",,eBay Inc.,"Portland, OR",,3.9,"You will be expected to research state-of-the-art machine learning, optimization, natural language processing, text mining, and other techniques, and apply them…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=262a8719d20f9eb7&fccid=0da3ed18c20a248d&vjs=3
Data Scientist II,,SurveyMonkey,"Portland, OR",,4.1,"Industrial data-mining / analytics experience including applied techniques in data mining, machine learning, natural language processing (NLP) or graph mining…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=eae989294efa8917&fccid=14932909b46ac703&vjs=3
Data Scientist,,Portland General Electric,"Portland, OR",,3.6,"This role will work with the principal data scientists and collaborate with other data scientists in the team/company.
Ability to follow accuracy standards.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a61078525fd2d18a&fccid=9754a3d997f611ce&vjs=3
Lead Data Scientist,,Vacasa,"Portland, OR",,2.8,"As a machine learning lead at Vacasa, you will provide day-to-day technical leadership and direction to a small team of hard-charging data scientists, machine…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=055dcac3ddc2ffe7&fccid=22f7ba07f9b31a96&vjs=3
Data Engineer L2,,Capgemini,"Beaverton, OR",,3.8,Deep experience in developing data processing tasks using pySpark such as reading data from external sources merge data perform data enrichment and load in to…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e5a28f5d449cabb&fccid=105ecfd0283f415f&vjs=3
Marketing Data Scientist,,Moda Health,"Portland, OR",,3.1,"Gather business requirements, design data structures, and develop code if needed to manage and report data using a diverse set of tools.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=35d4c26223fa7590&fccid=8afef215a6093116&vjs=3
"Strategic Student Program: Data Analytics and Machine Learning Intern (SISW, PLM)",,Siemens,"Wilsonville, OR",,4.0,"Use data visualization and statistical analysis tools to profile and derive insights from the data.
Acquire data from both cloud and on-premise data stores and…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=fe42ce2f7a498522&fccid=3b89b9ec324f96c8&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Portland, OR",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4f87a0f987dce121&fccid=fe2d21eef233e94a&vjs=3
