job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,McGuireWoods LLP,"Raleigh, NC",,3.6,"Analyze client and firm data, using statistical techniques including machine learning and natural language processing to develop/validate/improve/implement…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BNhoZCjKv7MSwno7wZ_3B9j2L6L5TbHo-qm7tyNPzGJQeqBZcY8BuVOMo6rQimJngDW0adpoev0a_qqlQ93YJsIjkYyww2SVxk1VrTFOrzOEm0dclGJovh0-rgQ-fXr-SsGcuU4vtkld1gH7qxrBu0QozRpC45geYfsp8c2OlirBnbYt90ityYF7gM0t7drXgy9gRuw5N31nXYGz2vfzFcAnCjKd95v1Iw1VjkNmGOkhCSRxpd-dr50-RyXTzJRm4gZlvZkRO5BDMK4mfLUmnOB_eEEv1FgsazW5BUN7BsFtzqZkjF_IPHKoNZWL1gPYKfvOcEXoQ0mXgqSfPQGoOWOkJ80etxuAXkdhg-vNhTkFDlwXkL6EAFQF_d2uPpmTWiP4rtjb_NzCpxxsKiSBdvSdQEYvaCTmPy0P0do-_RYb4aZiXs-cuunPBImt90ferYclWwx0GoumUnyx9B3JAxd45NOf4rJmQ_1Ioa0w2qvwQKl4lFmOB9L29ntsjVv7ItODk7bUuS3xjKZzaZkX-hyrLEz8YoJ2dedjM8uVX_Lfnj83UpaVXwyvgyOmowMXs8P3Co0WIWz3bF-u8TM__epUcWablHcrrqyLmKMxqNFzdHsnIAEReomY-b3-8Vy8R1M5MeDOrlJKO6tEWi75dDWHle-hZnAhfNsm6_LV5LF8yft099QoLlCse8MLTvmJmeJNWJCAGaNyr1g4KxOuWcudeO3KR26SYIGe01_LcGZb8DV9QOTsAHg-tBNMw8NiX9GpP0xUWf9YQiOCZPwRZpsXgmilLohm1eCK7OmEFX51FB4ez41jb_&p=0&fvj=0&vjs=3
Data Scientist,,Q2ebanking,"Cary, NC",,2.8,"We combine data from a variety of sources to build solutions ranging from simple workflow improvements to full-featured, revenue generating data products that…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9b9b2dec6003fa5f&fccid=5cf515b6d3e65482&vjs=3
Data Scientist,$65 - $68 an hour,Piper Companies,"Cary, NC",,4.5,"Keywords: data science, data scientist, predictive models, predictive analysis, machine learning, algorithm, python, R, SAS, statistics, mathematical, math,…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fb7668703d25a3c5&fccid=fc68da685e8aa986&vjs=3
"Data Scientist / Raleigh, NC OR Remote",,LexisNexis Legal & Professional,"Raleigh, NC",Remote,4.1,"Minimum of 1 year of experience in tuning the relevance of search results, particularly using machine learning or deep learning techniques, such as query / text…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=20548502e43f5ad5&fccid=06206ab329e0eb22&vjs=3
Data Scientist,,ASRC Federal Holding Company,"Morrisville, NC",,3.6,Summary: The successful candidate will be responsible for working with scientific curators and software engineering staff in the facilitation of scientific data…,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b95a9003a319a2fb&fccid=adbb342bd2008a4b&vjs=3
Data Scientist,,Red Hat Software,"Raleigh, NC",,4.0,"Experience with statistics, machine learning models and unsupervised and supervised algorithms including logistic regression, XGBoost, support vector machines,…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4d7e7cff1d3f21da&fccid=e24a60f01d1882d1&vjs=3
"Data Scientist - Raleigh, NC",,Imperva,"Raleigh, NC",,3.5,"Collaborate with product managers, data scientists and software engineers to understand business objectives and customer pain points.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=29a1b1eefaf56f36&fccid=a83aa9033316475b&vjs=3
Artificial Intelligence Scientist Internship (Summer 2021),,IQVIA,"Durham, NC",,3.8,"Help the research and development of a local AI team, deliver practical AI components to be used within clinical processes.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cfacee2c21d022d1&fccid=6b7a1dfe07e7f037&vjs=3
"Assistant Scientist, Data Curation",,Metabolon,"Morrisville, NC",,3.5,"Identify potential issues in data acquisition from the LC-MS instruments.
This position will utilize Metabolon’s proprietary software to interpret mass…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76eb81a931ec5608&fccid=a617a32874c81e05&vjs=3
Artificial Intelligence Engineering Internship,,RTI International,"Durham, NC",,3.7,"The selected candidate must have familiarity with machine learning/artificial intelligence, ability to work with Python, and ability to collaborate across teams…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=488b6874c8da5e8f&fccid=66c0d03b0a0ef2a6&vjs=3
