job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$90,476 - $141,502 a year",Virginia Dept of Transportation,"Richmond, VA",,3.8,"Works with a variety of different types of datasets, and includes data processing, cleaning and validation, data reconciliation and expansion, classical…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=e9523d517bfdaa57&fccid=b03eba62d4adedf2&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrKC58KMWlKWGcQVJMneLLX9ro_ufqw57goc2rxEGwiwMcz1xPaQ21pIKseNIBcxWOGMAms_B67wMpO04RITc0zRVj-WwyXqL92__sh-xwXRypKiOKPyKRIcYp22RwdH1ljpMmNQonSPnaS4CpKF_b3YS3WFZbd_pXeFizRTgmnPuuLcFchwvYvaZ1qJ4XTkARxA9Q06dKEr4ahxm_KCy_c1Y7U6LeFVih-yOYjgGza6JAOJiKnLxjDn-tmucT1Q-TDx_tuz763UWItDBYMQ9kcpUkDXDnHRmd&p=1&fvj=1&vjs=3
Clinical Data Scientist,,Nucleus,"Glen Allen, VA",,,"This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5fSv13b95FIXkCrLqsEe6MFTh4Lf5BGJWKn-2Rlnyi6tL2TWvfKJ4nYcq707zg1kjVUzzqAwZSfcTpBXImmUxLFqwI7wSwAK_LPbLuXAMYA2yMHZNIUYsm2F2KMgJXg-0tVjBg48sjUJPQi8zVLAcq-I6BXWsLu2ocvJhR1yfvvmjV70tFTcL1tfk6rn91ra3tfyARFnI1AfvOML6q1wCPeC44trccSN1iTCkMzD-u8J0eBtzJNc0jwIMZr5PUtqTWtUWSvP6c3glWkxG-xk3M_TuAuTOJXPLtgsLeyrSR_2&p=2&fvj=1&vjs=3
Data Scientist,,Veracity Consulting Group,"Glen Allen, VA",,,"You will be working with health data from multiple patient health applications.
Experience working with health or other sensitive data and detailed knowledge of…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=807edcec09d5deeb&fccid=7da3a2d0a9523ae2&vjs=3
Data Scientist,,Technamo LLC,"Richmond, VA",,,"Knowledge/experience in statistical modeling, data mining and ML using tools/techniques, Python, R, deep learning, text mining, graphic analysis – Required 3…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2c17f394ae73099f&fccid=127ad7b1674e038f&vjs=3
Data Scientist,,CBL SOLUTIONS INC,"Glen Allen, VA",,,"Skills - Power BI, SQL, Python, R, Hadoop, Spark, Data bricks.
Core Function - Explore Data, Find Patterns & Relationships, Back-test & Filter Strategies, Time…",25 days ago,2021-01-15,https://www.indeed.com/company/CBL-Solutions-Inc/jobs/Data-Scientist-90ff18a8c945f1e8?fccid=5585efa68eed99b1&vjs=3
Data Scientist,,Equinox Consulting Partners LLC,"Richmond, VA",,,"The newly hired data scientist will be a key interface between the Office of Strategic Innovations and analytics teams and leadership in the business units, and…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=42be2b30c2cfbe28&fccid=5b974bd22fc9dfb9&vjs=3
Data Scientist,,2nd Order Solutions,"Glen Allen, VA",,,Ideal data scientists have a Bachelors or Masters in a quantitative field and several years of work experience in a relevant field.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dc2067fec2c01393&fccid=5896ce278d6485b2&vjs=3
Data Scientist,,MATRIX Resources,"Richmond, VA",,4.0,"3+ years of Knowledge/experience in statistical modeling, data mining and ML using tools/techniques, Python, R, deep learning, text mining, and graphic analysis…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De5ppvndiyxA0pMSLQzOe_j9Mra0KF_8EhxTxOKXtZIfGIjgcBR63u5XhSmlxmqn0umsGXJaAM4-tqgy_XtHJOrgq_uaegzEEfI5DBA9Xjz2uJPbM5MZOHHdzUpvDmbMLcDsTMKyR6bpptwu5Rn9_8EVIA-Eda1t6UUUYFi17GMe0Qu9QJBFRoLeFbIs2O3fQ-I4Z1q15t8z0FY3guC1eRzmTEqpuQiO0721qWN0f_g2_a65QZ00MqQH31iPVVuLmlq0hWQDH1XDdNtP1OKGWlMIB7F59mUqBLnfHtFG934zKjiHRZKuue4LRyr4c_PzoIqmNt8K3GwNfI20lYBFespZvO4rImcfsR37EVPrJ839v6rHuDZhd28s2oor5LQsaeZYrxpt2MwS-Vs1Qd8vZMWBpySWCDtnVJYoWWlw-PEeiLfbZZECLbbUTNah_bw_ufo5eTysESVd8cmFjIDFdV56mjQxqMPm0QqWUiuIjOwEUQi5ND27UucxB5hdQtEMGhqSnFRK2e6aEgROShMRRKA3Ba0NfqxHMi65cl0YbNpmFm8ML1PR6wSPTmlL-zQdSZ5_1ZDlieX4XFDYlIIUh-OGcbekcHVWg04XbB2p4ARpZYdkqx7lPa0tcc_T36XlPQgHqiE-6i9w==&p=8&fvj=0&vjs=3
ML/AI Data Scientist,,"Professional Technology Integration, Inc.","Richmond, VA",,,"Knowledge/experience in statistical modeling, data mining and ML using tools/techniques, Python, R, deep learning, text mining, graphic analysis (Required 3…",14 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxP5eqahSjqXr0D5ytgzapk24O0aoHOFXOFipKNsq5vdODBmzByVVxgqoPStOx5p1aSFNWeFn-d_C1ROIhAnuA-kOfOHVXD1yWurUK5VepmKVCpReR-GWY4lmXhEUdgbPLUn7IEcxc43PR0nVBRZqtXbK4EdhEnrnSRsnBehOARIXPSa9re6T6PeMilB3Hz6IXDtYW915D9NpD9RWf5n4xaESvojJ_VgRgwwcXZY2fLTzZ0ThClI7HL8RNHLO-33JOeLhOv6BtN7TL-l3YMREgt-In2mS1_2k6BJbsCJ6cdbT5eDrxqZhDwKhsjXQRRYcrxcU1WA93BmFBNdvUrAZSj-pOuRcnOEhO7lbfgPPHv9nCI_mqUPCiga3dJr7-Y-D6LSSphxv_pB9WJ7pLCfh4CA8bu1uVbgJhgKpo8v7Z4kj4jBAAIr5QsISi2cuKzJNUNYZufjp5iqHJfqK6xrDV_Pu7XeQKYF-KRVuAZtq2MQjUdHKm3ATGHzWQ7N6HQfnVxSoNBxJZqcri-Eu9UFVE&p=9&fvj=0&vjs=3
