job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Cloud Data Services Associate,,PwC,"San Antonio, TX",,4.0,"Hardware: sensors, robotics ,Raspberry Pis, GPU enabled machine learning, FPGAs, etc;
Creating end-to-end technology prototypes and/or machine learning models…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dr_hnQ-Jfvx8x1kl6LZGw5tBy_C31iSfGQgc5_4VANfqJsY2O7nCkwqrz5PM_BXeCb5dVD99J43GYKDhsqqdFbpHIU9f2ukusLl6Fdrvy6BmfwVKk2pJ3uMQ9CNYLDjD9tmfmV41Mh4oLyiphfbnInKX2wXQ-D5M-yJW_I4pTGJGFtSfcaYhTOQllmY9q_F118nGAC6oBmOwbV3E_03kxqX3pavxlCYuIRerzUNHGnII4kuRkECEXggposuiBhqFZPgGsCQiYZtidY0xM0t5Rj_lbvidVXql6dVzYaJm_odL3AGKs5D81MwfxVshC-0fS1ecEeDEFfAvskxjNXg-ocD0izp4xXyt_CqWgvXt5ZQaDetCuYSh6dbjXdQJIJL32e49Kse8f0vw==&p=0&fvj=0&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrs5Enl1rPvHH6Sf6I1UBquHRhQJghNE8Cvfsye40kU1rkjOa7DB5zNLnvoG-3ddYTy1epXw8pjTSM3H1BL2Rb6sTW7Q6VS0T-wxrNaCuvtGSxAj4MrtWXqzec1E9ZPhj3iDjPo6t4cjRoh6PD5Qg2c6lS1FMrzT8eIi98e7KQNviGS5Ttl8-pWWrys5MXJ9rHLcCDhpPy2zMmayKyclwn0VLsYSal29wcxI8dZenjG2xxf8sXwiBnzifG_ukGqvWBD-poNFRtkXQkclg6sC39l6v5cpes4Dce&p=1&fvj=1&vjs=3
Senior Data Analyst,$55 - $65 an hour,Insight Global,"San Antonio, TX",Temporarily remote,4.0,"Will troubleshoot data integrity issues, analyze data for completeness to meet business needs, and propose documented solution recommendations.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt3sA5tBU3J37r-GkJxI2D93U_UURN1-RwveoU6zjGGbJaKVAswgJWaFZbFD15DrBptbwHLKunTFR2FrV3oc-AR3OMXhaPMYIRyTE4_VHIHbixri5nvszlW3-5__Gb61XBOBQ-hIgll7qd8Pnfk77hFhgGKZqGeobh9ekXVuVAH6HejXsuu1AOgZnFIMSzpv3FZNtym8unlacSprxmeMAqrC4Z6_pyF1yoBySw9ynDlf38cB2whKar6EqjxAjWo7TsmyfUpSPe6KtS8TkLC6wRICb2O8KJBwaL6h5INH4w0BqImmgQglWeCl6paVQgLXPJtAjEd_4CI9f6QfdDBGvYQmJL911GFyiKMCBs1rm5PGLhRndcKdTFJfY3-nd8pno9h9vCe94x6ew-lvE18FhAAtA==&p=2&fvj=1&vjs=3
Data Scientist,,Pinnacle Inc,"San Antonio, TX",Temporarily remote,4.0,"Experience creating and using advanced machine learning algorithms and statistics along with NLP: regression, simulation, scenario analysis, modeling,…",1 day ago,2021-01-15,https://www.indeed.com/company/Pinnacle-Inc/jobs/Data-Scientist-bebdc92b14d2a19a?fccid=8619c9c3e5c7c61f&vjs=3
Sports Statistician,,Life Time,"San Antonio, TX",,3.5,"Experience tracking full statistical data for basketball games.
Tracks all relevant statistics during games.
High School Diploma or GED.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3a224d3d3228b96b&fccid=60eb11476904a56f&vjs=3
Data Scientist,,Teledyne Brown Engineering,"San Antonio, TX",,3.6,"Analytic efforts may include modeling, statistical inference, machine learning, data visualization and dashboard development.",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=343ae61243772c0e&fccid=56fc1ffc1942e614&vjs=3
Data Scientist - 100% Remote Available,,USAA,"San Antonio, TX",Remote,3.9,"Uses advanced techniques that integrate traditional and non-traditional datasets and method to enable analytical solutions; Applies predictive analytics,…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=48c1334e45d90aa6&fccid=3a1edc2d763c4288&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Schertz, TX",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=80461afcbb190ed3&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,,"iHeartMedia, Inc.","San Antonio, TX",,3.6,"A demonstrable scientific foundation and understanding of concepts in area of expertise: for predictive analytics this includes theoretical statistics,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=01fe0b6d933f3c5f&fccid=5b2f9eaa91cb3370&vjs=3
Sr Data Scientist (Big Data),,Deloitte,"San Antonio, TX",,4.0,Maintain technical knowledge within industry and service line and leverage deep subject matter knowledge on engagements.,4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c0242b7eb4e12b4d&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Alaka`ina Foundation Family of Companies,"San Antonio, TX",,,"Perform clinical and business analytical studies using accepted data science techniques to provide insight into areas of trending/improvement for prevention,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?cmp=Alaka%60ina-Foundation-Family-of-Companies&ti=Data+Scientist&jk=5eb35257af7febc1&fccid=b5b2d8faf5006559&vjs=3
Data Scientist,,Huntington Ingalls Industries Inc.,"San Antonio, TX",,3.8,"Knowledge of current developments and trends in statistics, machine learning, and big data.
Use supervised and unsupervised machine learning approaches to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=93efc3d26f4f9a0a&fccid=9f2bb83bd9bfe2fc&vjs=3
Decision Science Analyst I,,USAA,"San Antonio, TX",Remote,3.9,"Bachelor's degree in Economics, Finance, Statistics, Mathematics, Actuarial Sciences or other quantitative discipline or 4 additional years (8 Total) of work…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f5777dc3d48996c3&fccid=3a1edc2d763c4288&vjs=3
Data Scientist,,Alaka`ina Foundation Family of Companies,"San Antonio, TX",,,"Perform clinical and business analytical studies using accepted data science techniques to provide insight into areas of trending/improvement for prevention,…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChVmeEeaXfnw-D8ZhSBdgPTvIDVQB7yRHpNgp4If4E6BPeUXihMwd6UnesnvFhRawTBE6lMAHmma4yWjnBU0_rsltaaHuLFeKWQ_Pt3WebnFJnjdnPIvTKvYOZRuHGkGRcT9n4y2Vywlao5_EUq4WuPRcpiP881XlBl2gEZX2clDjXDqeB-sa-rNaf6G8Ex3OQKkGU--vBf2elN976ftIkooH86RX-otZGdEU8tSp6y31Scsh-E2lrBvM--60mKsSVyhxqtHYyZXrXN5cgi5Py68GjvJkjjRjm-JVsRnCvRQIRtlu6BeaR22t6TqrDKHx_fwjAdWkrruud0SsKd0jmctcdlZ-jDXYvvzSLYWdjoi8AtdUhK-rE5yYoJPOA9CJi_tzDU1IaFXAOlh9cVOq0Rqk8nsaAQY6_5aeFeZ1bcbyfuEfVVcAKynt0xRtGjNlMqIXTv1H2kg==&p=13&fvj=1&vjs=3
Data Architect/Scientist,,Wind River,"San Antonio, TX",,3.7,"Wind River Systems is seeking an experienced high-performing senior software engineer for a position developing a hybrid cloud-based data analytics, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=54fb038e9370314a&fccid=30c6be3855bc8a7c&vjs=3
Data Science Engineer,,Sekon,"San Antonio, TX",Temporarily remote,4.3,"Ability developing data set processes for data discovery, modeling, mining, and production.
Knowledge of statistical modeling techniques and advanced data…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5e90433be0109cec&fccid=feea025c8fa35a2e&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"San Antonio, TX",,4.0,"4+ years of relevant work experience in consulting or data analytics.
As the AI/ML developer you will help build a cutting edge, comprehensive solution for data…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=de18c1f025cc4be0&fccid=9e215d88a6b33622&vjs=3
Data Scientist - Top Secret w/ SCI Eligibility - Multiple Locations,,Logistics Management Institute,"San Antonio, TX",,3.9,"Apply machine learning techniques to identify and transform data features, find hidden patterns and trends, build and optimize classifiers, create automated…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cb9dd6075ddb371f&fccid=12626f295bf6a003&vjs=3
Senior Data Scientist,,gTANGIBLE Corporation,"San Antonio, TX",,,Complete agile project activities as scheduled and proactively identify and communicate issues that may jeopardize milestones or project budget to the AETC/A3G…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fec215d1fbd32dd2&fccid=2036e65bfbe5ecc3&vjs=3
"Technical Manager, Data Science",,"iHeartMedia, Inc.","San Antonio, TX",,3.6,"A demonstrable scientific foundation and understanding of concepts of predictive analytics and data science such as theoretical statistics, estimation theory,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e28ca1673c39c5d0&fccid=5b2f9eaa91cb3370&vjs=3
Statistician,,General Dynamics Information Technology,"San Antonio, TX",,3.8,"In order to support the required research, ST offices conduct translational research in the areas of emergency medical care, combat casualty care, force health…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=514e4939c5e2726c&fccid=11caadcdc98800d4&vjs=3
Senior Data Analyst,,Convene Technologies,"San Antonio, TX",,,"Person must be an expert at pulling data.
Need a person who insists on understanding the business objective and can be a creative problem solver to figure out…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40ecca3bc73c6cfe&fccid=0af0a78b2d1694be&vjs=3
Decision Science Analyst Senior (Remote Work Location Available),,USAA,"San Antonio, TX",Remote,3.9,"Experience with data visualization software such as Tableau.
Identifies and gathers the relevant and quality data sources required to fully answer and address…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=63636e1b2833111b&fccid=3a1edc2d763c4288&vjs=3
Machine Learning Engineer,,Pinnacle Inc,"San Antonio, TX",Temporarily remote,4.0,"Experience creating and using advanced machine learning algorithms and statistics along with NLP: regression, simulation, scenario analysis, modeling,…",1 day ago,2021-01-15,https://www.indeed.com/company/PINNACLE-INC/jobs/Machine-Learning-Engineer-5c583ca946d28ab1?fccid=8619c9c3e5c7c61f&vjs=3
Decision Science Analyst I - AML (Remote Work Location Available),,USAA,"San Antonio, TX",Remote,3.9,Positioned in the first line of defense to ensure the overall effectiveness on first line of defense risk analytics and operations in the business.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=33e9ed5a627ffb70&fccid=3a1edc2d763c4288&vjs=3
Senior Machine Learning Engineer (US Remote),,Plum Lending,"San Antonio, TX",Remote,3.0,"Experience with data visualization tools like Tableau.
Develop, refine and scale data management and analytics procedures, systems, workflows, best practices…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1eb12cdb1afafa68&fccid=8a2cab955e2c8fd5&vjs=3
Decision Science Analyst I - MSR Tools (Remote Work Location Available),,USAA,"San Antonio, TX",Remote,3.9,Identifies and gathers the relevant and quality data sources required to fully answer and address the problem for the recommended strategy through testing or…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88067577f8b27d2c&fccid=3a1edc2d763c4288&vjs=3
Senior Data Analyst,,Insight Global,"San Antonio, TX",Temporarily remote,4.0,"Will troubleshoot data integrity issues, analyze data for completeness to meet business needs, and propose documented solution recommendations.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt3sA5tBU3J37r-GkJxI2D93U_UURN1-RwveoU6zjGGbJaKVAswgJWaFZbFD15DrBptbwHLKunTFR2FrV3oc-AR3OMXhaPMYIRyTE4_VHIHbixri5nvszlW3-5__Gb61XBOBcIA00J9AKcrY68NputqwzBv57Hpv_7Grpv5qIIrjghxGV42OLdnIIugzwlZi3dd1Cg5oHYbcfmX4jcRNTpOHelMREgouUYvSNqQpf4KK_dOJtr4YgyBsr59iSplbiYKQx-MUGOx1cCS1ryOCK8ck8_L_bZd4OxtGNN07GgDycI9DlYfflBWpMaUIZgueAZ77EY2bhP7c71GIEOjSaOUdOxFs67oAgExmyEl26WbuQRFvuiyAE74SiP4Br-9GUXMCNCS9tuZHjdvfEBIt2YMgz-ZHH_aRLNN&p=13&fvj=1&vjs=3
