job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Full Time Sr. Data Scientist - Irvine, Ca","$100,000 - $130,000 a year",11Health and Technologies Inc,"San Diego, CA",Temporarily remote,,"The candidate would also develop reports, dashboards, and presentations to communicate insights to the company leadership, and contribute to scientific…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOnIuMyiGYhvBYNXg_sIChdZciTQQ_BJ3O4ZgSerV_so-dOBWAiz0AP0g_5K288y1z5Y0p0HvrCRhF2RxFyKLi5WcR86b3PHoTHQydUnoR7A3hLI3G0kPj8hHtwhS6RQN35VsgVlgBPyHdp45sT8KJxFkYVFmiMTpdVkOcleGPCIwVzfYfKZhVl6zSrCNZZdCOVp_asG1FatCOb-euQE_qn6f-ZQDGSDQgYfo_7E7qXWqilmasVbcPTfHbjBXIv1sHIXNC5nJjuHauMUpkSQ1P3cFOgdnfB5TffNjF0j1FKa0ZfVqEmy0bGn71bvbugT2_8YnfLiVX51yh6ZANRSmBD1547TDvdbbDz01qNSy3eObhsj2A1f5NnUW94ZyyGF9Vx3RlJjviXsCLE_emZC8sZRhynWq7Z8RmKR1fgQunBBuKDvVmvN067CVnkvelagr3OLuw0JinvhkOQBrTEddGROHH1a6vzVpVvNMKLkd49w==&p=0&fvj=1&vjs=3
Image Data Scientist - Computational Pathology,,Reveal Biosciences,"San Diego, CA",Remote,,"5 years of hands-on development experience of complex machine learning and deep learning systems for image analysis, segmentation, classification and object…",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3vRPzZFEDaJj6KmIvSKbOhK_MCgTT66nJOOLNmHla07r9GHafbRE8axN6DhtwS29ttqM60EtDOSCEaFNyhGxEPAs_o-wNBPG5R9swiQm5ebJDmH59VuucLeD8KeVdv094ewQTmdlzCawyXieSRu-jS1Ucda0nSgeRVjovq6tuZlrgUzMlFBeE6x4UUOVmgFOat7yDYTm8Fpb4sKEvOTN0C2oFeYrEtEny7pHv7kHUGCpKTja0VmFyyRo9kNb6Y6-YJzuJKaCGgqM4UxvOPUiuDc2xXD7c_Ic4lwYcJ2uDzlnHNAl7xO_3QTpFDsVzqCqCcdtz5N1cb0Vx9rbcS7aVJn7g2c2TFi5EXOKC6wRXnXKjdWApxiCoR9PwHvnmsuxF-FqzCvprfZoob2-WvL1eMDzvjnFb5vnt-8M_wIskwKUFuV-ONGklbCLxMogHMfz-Oz9VtgB9W47tf519Av9wjJTiTsqU284Fw1MY4ySsa1oJOgTn3cSx&p=1&fvj=1&vjs=3
Data Scientist II (Computational),,Decision Sciences,"Poway, CA",Temporarily remote,4.0,"Develop research and implementation plans, successfully execute and update those plans, and provide bi-weekly updates to management.
Up to 10% of the time.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4OUdoV8W7JEDkEfahINjW_awICmpKOw9tMZiXtgqRz85CjRw2kpd18__je38GTgGYEKHZEJqM0ud5MpxxKwkM8BGIAWgTH38ga3qkWmfEgZ_1qAzWEg8BBu_qE6v9_rvJ1dtsKpywvm6slZBeVKBbKOrr6Dqnqz-CK9j_cqd-5HlE9zD2UzHwscQrDZ7-HPvWZwOFT6pSIBdFXLyBsJ_6zsu-l3PhWdgXG3VWh2TJZ_WL9aflFqy7fbv2r5FuGh1gnxvsoM-jACX-G8sKLm0HYJPf9PERPdxEs6Zm0EG7BsrPH7VL1krFGU9gH8GBA82pvTqkk7C8XTGf1UXElN5WA4PsPsc47Xt8SwiuYpGHt3_YYFhYxfc8orZLt-Xw7huazJ5j-06r4KujEDrUggotA4Lt90vOOxxuDRYWF8SPSDBG0AjEGd0vdcf8zu8a-GooGY5sIi-BdwlkE-XjNkBlIGYvAWPe2zY=&p=2&fvj=1&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrGY5m3Bpuzhc8FiK9MhuiuBuiH_7GfsdoutkRenCM3A29h5teyG9hTZeZ1pfiUuvdwaojULJ70hAo6nQbJzTuu0E2GMYKbXdfNNxD_slntz0_JsKZ0B3wMJtd42YvOKyfa-iQEWuS25W-BEoKeF9N19VZKVfdYj4mbdLBJfkl2Xm-kLg674noipn7cK1SM5fFpL46C4x4o_c26EJd3hcLlczEh0Qlhm59_VTS8MoFppYu4WJc_1DGoYJnu4EM4nNb8kT_m2u-NnjIcEF3SdNZcSWJFTTdMcBo&p=3&fvj=1&vjs=3
Data Scientist/Economist/Researcher – Future Pricing Strategy,,HP,"San Diego, CA",,4.0,"Exciting experience with data science’s and analytics’ hottest topics: HP’s Analytics team is covering a wide range of exciting, fast-growing and business…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOW5S2l207R6Jas86v_4Qd3SizVlWJeZ0_Td7bJoWRYj6TZOrrE5BtxtYVAritUu5fIQ8c_xeMcJ9bmnuzo3SR3-kM_lYf0QU-xdsq8cd6LOY6u7lWwO6Sa_-0aSru9KBsJ2MKrK1W2C41_vCggDJ-ZDRBNarZnDo3_uZ4CgyaVWc9uq2339o0z4gVQfZAxjeancbPXVHVV9T4kGFIAmD1rdmHk65-mYQWDe33EOatKF4UE0RNhqblOmvDeu5c8RfEFGyC9GyUKz9VRzIi-0KIMXm1GheamXYmlrftCcd9B4dcja1LY6ye6H2pDwUCryNcDYraPBCztLTH_8K_x6IYScMDKXE3FuatA7LtKA4Z8kRSPezIB0HDya9B2QZAS9CgRhqLlXoqpsJACNGKTnWyouf1ZTJZK82gXn5vSQ2HsWYCCpFTqYj25KVeB4LNyRc6z_uQx9ebnjMO9_kBHJhEOmeULBANUCTw2SAQ-cuG7IzGAMAcOdNX5V3J1lllA012lICEIYqI2tWeayTFsqXutI8pNxhTw-ZANate7R4sh-dlmKjQDGfUpnN9Cdqxw2T2IN98Si39AGHLS7xzhM6igh3zpX5qlnoGQ8fQb4BI5NVb7W9oT7-3foafpmjrVpleTH8bYPFwhGmD1KsyUByUWS7fn5a5s5bEO7Fx4CBiN6wXJ3j266ghgxmyb0D7mrD3s5QuqUflcTVezraeFsCS40ipy2ALuVO73cb3XxFXiLlYW_MW9NU03jeXF6OEOE954R9mj-kQq8pjvX44ItDRp5h7UdKz8lp8PqhvLD0Z3laRfPpyE-MpyHE3FA59X2clg7XOJ4Neb8Cii0gKcbgDL9yadnYSQQIkQM1Sj7ZBJdd5atJxaQtlPKwfBM9wYWi7XlaLuld4bN4_8Eq5483M3Q=&p=4&fvj=0&vjs=3
Data Scientist,,BD,"San Diego, CA",,3.8,"Design and develop Deep Learning, Machine Learning, Data Mining, R, Python, Statistical Models, and other data analysis techniques to collect, explore, and…",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f2b36195f5d427cd&fccid=f33adcecbae03a00&vjs=3
Machine Learning Engineer / Data Scientist,,Apple,"San Diego, CA",,4.2,We are looking for a Machine learning (ML) engineer with a broad experience and knowledge in machine/deep learning and computer vision.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1c6ad914226ff63e&fccid=c1099851e9794854&vjs=3
Statistician,$25.67 - $39.56 an hour,UC San Diego,"San Diego, CA",,4.2,The Division of Dysmorphology and Teratology is involved in four major areas: 1) providing clinical services to patients with birth defects and developmental…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ba0e53704b649831&fccid=10b5a4abcc6bf067&vjs=3
"Manager, Data Science",,ServiceNow,"San Diego, CA",,3.6,"Successful project experience in Data Science in an Enterprise setting, and extensive use of methods like: regression, decision trees / random forests, GBMs,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e292cd3703df7a5d&fccid=7442885bc0fa7c14&vjs=3
ML Applied Scientist,,Amazon.com Services LLC,"San Diego, CA",,3.6,"A MS in CS machine learning, Statistics or in a highly quantitative field.
Communication and data presentation skills.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=c4d97b38672d1558&fccid=fe2d21eef233e94a&vjs=3
