job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Data Scientist, Augmented Data Analytics","$103,000 - $123,000 a year",Promethium,"Menlo Park, CA",Remote,,"Have a portfolio of data science applications / data visualization.
Have mastered sql and can navigate wide variety of data sets and tools.",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B34fPbr9pyEWldMJ4927ZRLNQDvSh27wtX46x5nHVrl3RMRv84ZTnu_OHzjAXHiI9YhmDpNwha0GjF_YkvIfbL0TylYPaJZquILxBdxaBcoEkubRRxOXaNe4_HBgj7OuOQvu8Xkp26bT0R0wJF-UZg44NFzCs-ZYTdkhy4z-R2kaOkbRUpUAwyw2cu1AvbenMALdrhocweZhL_hP6IlyYW4CNGDshlkvQpNE8_5cY8hc_uwUCDq8kiT_JoLFz_4Qw7LkDFpbrv2scUQBIbBW53Y0W5oUHmVJZklDwUIOC0MyMzti2ykJ2qohYnlXf5WADMEqIrigprCGefaDqeq-6_I02HhtT7F2ynQtVSIrDo52nUvOhKAuqaH2908MkiM7APXYUkzSdrNJwd9XW7_bxTI_Z1C0p9bSFncYmv2715C1y5LDUOZxRByqedspjJ-j-DInlYFhNSlKwImWeUzYvIKRUfNxtaqzVUkkUdMHNWZw==&p=0&fvj=1&vjs=3
Data Scientist,,PayPal,"San Jose, CA",,3.9,"In your role you will Collaborate with other data scientists, product managers and engineers to formulate innovative ideas, and test / implement through…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dn2BJrTT_MS3KLsmM1n0D6dEWYv-qvNCIwtrt37CnWGCJohfXzqRmpk81DgCdmSHEDBc9-VxFyH3UElep49OZIbulqDACvOSBaXhYQAn236oriZPNEXYYB5W6I7piyo1rtWB9BsMjeZIt3fAgcNC3dDcNEG1ce579_j5RIf0k9sGE2-s0oVy2vxT1kxhSRyTuE9mMcVrZGPgZPI3wB0pCnKuqzSlLkKbLzbaPpsxzUwogVKyqf139L6WjNoJAWaMV8-GSeb7H2-SvJ4dKlORG92UlzjtHpP1HAGNc2YTGpkoxYjBd590sURnaJhFLgzivrWxFD-XQIMlDUDbWyG0ig5efJn0a6k10wflAJ_Y2zlTCnecsd_zIjBIB0h7-bCdo-wxYgtIg_ZcaJk8Yr5e_rrlfClZKjhH02FKIM0qAbZT5dNzUSXk9h3ryh9wMC6ZeqXfodqWWAmTy76qiiZExIpPvmcLJsFdYdNwtNWPMv9hQC8FTcKaIX&p=1&fvj=0&vjs=3
Data Scientist,,eBay Inc.,"San Jose, CA",,3.9,The candidate will have ample exposure to product analytics/data science senior leadership through weekly insights forum and to search engineering/product…,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=f457fc001e851a82&fccid=0da3ed18c20a248d&vjs=3
Data Scientist,,Eurofins USA,"Sunnyvale, CA",,3.0,"The candidate will leverage computer science techniques (computer vision, machine learning, etc) to automate the scientific data collection, processing and…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d1667cfb3b9d4905&fccid=da33f48dbeb2e889&vjs=3
Data Scientist | Remote (US),,Tara AI,"San Jose, CA",Remote,,"Monitor, maintain, and enhance existing data structures and model architecture to ensure reliability and data integrity.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6cb003069636d3b5&fccid=84b54f52123213ce&vjs=3
"AI/ML - Data Scientist, Siri Data",,Apple,"Santa Clara Valley, CA",,4.2,Strong communication skills and the ability to naturally explain difficult technical topics (especially causal topics) to everyone from data scientists to…,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=831a68970153662a&fccid=c1099851e9794854&vjs=3
Data Scientist,,Centrify,"Santa Clara, CA",,3.6,"Experience in data mining and data conditioning.
Present information using data visualization techniques.
Centrify is seeking a Data Scientist to analyze large…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e52fecc33d1899e5&fccid=f5a575e091baf2ca&vjs=3
Data Scientist,"$97,289 - $244,229 a year",Data wave technologies.com,"Santa Clara, CA",,,"Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.",18 days ago,2021-01-15,https://www.indeed.com/company/Ezen/jobs/Data-Scientist-90cfcbbdfad9adcf?fccid=ace430b6ef0c95d3&vjs=3
Staff Engineer - Machine Learning/Data Scientist,,Cohesity,"San Jose, CA",,3.9,"In this role, you will be responsible for proposing new hypotheses, designing experiments, building machine learning models, productionizing models at scale and…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=e18e51cc23945a5e&fccid=eb85c1dbf1eb3922&vjs=3
"Intern, Data Science",,STAR Labs,"Los Gatos, CA",,,"Deep understanding of statistical modeling and machine learning concepts, and a track record of solving problems with these methods.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b447e87878db5f1b&fccid=51abd31c2d53bc1b&vjs=3
