job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrhN6VVV6udleegzEzp-HR6CkIobwcJtkYlZMK19FRlW3TmuFCNxu3nxj0mzQa-6-Qgs8BEWDlxi4FPlbSEZB7MsIA4FdrsajZSSMTDloOMNKkWlp1zgIews0zzVjp_ublfiC-sxhccGVl2V1gfkKGf5MKwzzEDBQbtHgziZEo1HW850BRhFi8jtcs8BAWuRW9SOGSCnqY1zypPuW0lp-4zgmDrj98iS71_lGOUzWUb1Cx8rI-13y2-YE0fRRJ82ZVhpDJRvmgYo6cne0xjzjEUAxNRz1ZswnM&p=0&fvj=1&vjs=3
Remote - Senior Data Scientist,"$103,000 - $108,000 a year",Vyne Group,Washington State,Remote,,"Support data mapping and program development to support the loading of clinical, claims, registry data, and other healthcare data into our data environments.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AluUAHHZw7nkRca9xdEE1jP3JJy_Ya18R29coZEg9TEN4BBt5jDkEaTNJafkelWQCkFTnOOHTwOVAnyYQoI3aQXVbUdq-QwPZCDiBdEtF2nitVHZeCN4nvJC1N6EOaLg2f_dAvrbW7eCBkMKO2sNcgDlIeZ3lwVDL9NlJR2Uaq6lF32tZQTS3FtF6uc5CypWWrtnId2TVIMYAZIZxC7DHkr7TEBRecR49GPnHo9pbu_dlDMf89pd64A88Wrz23SPATKvufWWVHcgLs55_bGfrmaZdibq2u8afx_ODddkt43rZaRh5ppbMcPCBqAkwVRH_vDqpk2EnvLwGEuoREYfVXNePEbY7EcrwfuuYkEppaGNIKcVDjztvHaKQXDKwsCJ-hI-cYSuK8imeCtBdV6--3Ubvmh_3nXE_e14qj1tok1FfDYdnj0g-sBRDS3DSyrCID-83vVInKtKalumHfr3j3&p=1&fvj=1&vjs=3
Data Scientist - 3D graphics,,Ursus,"Redmond, WA",,4.9,Work with database engineer to understand how to pull data from existing database Work with their superiors to demonstrate what they have learned from their…,Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CT8vBT9H5mqECx2dfLV_FONLPDKpIRssxVwtj05Tmm4qxTAI2czriaY4YcQXrGzkGvizJx0gcU9hKotsed9mOLC_x1xZA_gac9l2adcHbXOTvcNldAx2f0eozWDcLXYQ_pH8YsDqnR2AV-UxqipfER--DV1lEBJxPvw1qdAF4vWsLcUxfdIi7u__s1dNkIAH9CNnAbZQKP2nDqEX_wDyXre4GhcdYtxir6qc-e64rE7e6LSELQHqLD61enV5JVuKaqiyjzNXFY-uHd5BNmDMIVGvo9cCnSfppXXyFtoUsQC_SK92aZFIDfR-DghpS3tu79FTjUma-BbR79xzvNye_AZvBc4EQH8agxZeUazn6tLiQ83v9enwCaNDQyvxoxV7y-HXo23cXa5EjyuZkTUz6eIdZDUCwREU59ZNZPJyfR1dSVpYmyvPJHpMmVeFcTq-TzuL3MPRHRRFL9ldkFWs29AlfFbhu5zM7JiJyRg_7IE-PkXjhM67hVDfSDZO5cwJjT8DZA7zge6unz5nbSX9FfIgsGbni8mWt-EY6pJ5qbjjJG1JV80ehrddl2uUqD2ohBx0XEglROKZOlQj8DszaOPnPqVjS4sEkuTM2QUpamT3Ud7W0Ji9Pwkb2I085gMBevUzLAU6xkSyMXA4TygJBrY1m7Be8zthIrv1qlQ_Tp4xgS45g9BSxdPndKy4DKTi_9zex2u8_Faw8Zg6KUSSM6ih7DtMM1FQgu0kN1tzTHN8VsUWgTtEQUmfvy5M0jhlxCaOWRAGvAQAEpgqqGgp-cAgKzq55PDPSVjPuRdBWxNSTUrYh0Jo6nNNoReNA0N2mt4BUEJp5bnDLFwsFtivf4w-RB6ITKmNEo0MRTYnf30JVDcMBBwYJ7u4TscqRZ1IQJ_RBwdMu4gGz5PPd2m17s0XzRUI9jtmrEBQ1V3rGTUhruJ8SDQjlulDabEKDzc2lbwZgeO-AYTA==&p=2&fvj=0&vjs=3
Data Scientist,,Amazon.com Services LLC,"Seattle, WA",,3.6,Proficient with using scripting language such as Python and data manipulation/analysis libraries such as Scikit-learn and Pandas for analyzing and modeling data…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2b4e0845f85b7a47&fccid=fe2d21eef233e94a&vjs=3
Data Scientist - Data Analytics,,Costco Wholesale,"Seattle, WA",,4.1,"This role is focused on advanced analytics, machine learning and data science delivery to support multiple business areas.
Exposure to the retail industry.",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=479ab76cc8d627da&fccid=9b77e2b0ccfb3838&vjs=3
Data Scientist,,Karat,"Seattle, WA",,3.0,"Strong data analysis and scientific thinking skills.
Our Data Scientists will work directly with engineers and leadership to extract key insights from our data…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c0f4d71d5060f484&fccid=2cbb6eb59d67005f&vjs=3
Senior Data Scientist,"$120,355 - $180,690 a year",iHerb,"Seattle, WA",Remote,3.4,"The Senior Data Scientist will join a team of data scientists, machine learning engineers, and software developers who work closely with business partners to…",1 day ago,2021-01-15,https://www.indeed.com/company/iHerb/jobs/Senior-Data-Scientist-e67272543ddbceef?fccid=fecfb28b9c693c96&vjs=3
"Data Scientist, Analytics-Remote Presence",,Facebook,"Bellevue, WA",Remote,4.2,There is a good balance between diving deep on technical side as well as influencing engineering leaders on this role - data scientists are the key partner to…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fe2305d701edbbe7&fccid=1639254ea84748b5&vjs=3
Data Scientist in Artificial Intelligence - Early Career,,Pacific Northwest National Laboratory,"Seattle, WA",,4.1,"Experience applying machine learning and artificial intelligence to domain specific applications, such as geospatial intelligence, natural language processing,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6d28a4f4adf7ad48&fccid=5ac3fadc1f823e63&vjs=3
Data & Applied Scientist,,Microsoft,"Redmond, WA",,4.2,"The AI team within Customer Insights builds advanced machine learning models on transactional, behavioral and market data that powers these insights.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=1f04c3e8647df3e4&fccid=734cb5a01ee60f80&vjs=3
