job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Remote - Senior Data Scientist,"$103,000 - $108,000 a year",Vyne Group,"Tampa, FL",Remote,,"Support data mapping and program development to support the loading of clinical, claims, registry data, and other healthcare data into our data environments.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AluUAHHZw7nkRca9xdEE1jP3JJy_Ya18R29coZEg9TEN4BBt5jDkEaTNJafkelWQCsMFVKRejgDHeNbw8c6b2D8XvYSZyoX3UB006zK9ZHjRH8-XM_T8ioS7v7emQbdDHQtXqCD2z6sHDMVTKcQTeHkr7haTzIqvZRe40X_qLD8bhdh4IafCSAmOOWRs4_qNqh8uZ0lTqAQXI6sQ4pjC7LG5TG6JL6pix30ugV0B7gvDq7FcTUlAyMsNKisnIc7psZgPKRZppM0bKzGnPJ7H3q_XZlZWt6Hk1lRf6H7qsbkGrvBJWCxk6jSDTBH6GSu5gs5bw2-oG3MiSyKJBVtZf2aUZLePMMrNZzCQTaHMaJ_g4i709gTCGisSegJtJDwY8m-5WY0qdvEy8Yk_iPSsHRbgExOzh7_KHMJ_RPsmZPTJZraN0PEbgfseJ4rLf7xmOsEp9BOwOS-LSfLxrfYs-p&p=0&fvj=1&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDruDYpTLx4UatIA6xbndxkCJ9Ifdnz6NBfv9xJCxCnV_5YFfs7M9Oc-fqg6gRICE-c9vdYEUWkuFQEoxz_0GUnhSLzpy1KpBD2MdSwkvbOgZZAjfMkKzC-ph0Zn6apUQ-I2zeHDZOVdAPKDYCCHxlJyRggV4XV__wXja3jjSib9SqSPiVVqDkRLIrna2E3LbgkSTIQp9z5pDEJwK-rr0Sh6C0hKoJLBE378KWRpYkhf8xiErhWjEIlE-4pgh-S0ivx15Y4M2DTX1mMZwFXyXXQWZlYJEhY8vPp&p=1&fvj=1&vjs=3
Data Analyst - Data Scientist,"From $52,000 a year",Dynamic Staffing Solutions,"Tampa, FL",,3.2,"Must have experience in data mining and being able to “tell a story” with numbers.
Ideal candidates will have experience using Microsoft office products, such…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B49oSJ47KoFvcDNdx1c-WCjQasTAmooBBYp8ekfeZkBWTp4sdw0ez4V0tgXpRoXyK101tHxh6IPImyrN_pUqZZN4cx821MgGpbbu755ToskXiVHBwoYwjPLAsEkQE-inRkXhoXkQvrv4gTOPJhtJAdWgWr7XGEvjDoKjua_fAkVxNSoueysSIsq7B92ErE3x5BntzlvddRKiFQZ8VaVcXrZjZdj0XFzVw2PotrqoIsrsynofsi5tpEccCPBsWj6wgUIT_nK21aFdfmNE4M0WjQ2pfjjgNbKRf-fRLKOPgf4ZTlfw1pDnuMCZCEBfof2VHa-vnYxJWrzWNyjq8aAhGNJqeUPvfufGi86uehGTXdlfW_u9w0bnFnr08b4B72j4oNxP6Sh5jSY4_wCx2ymxZbm7bQobbNa2llHaDfJHyMiugLnzu0fyAcOYpRaYtwG5icRcAZcf_9S0qIDPP5oAqs&p=2&fvj=1&vjs=3
Data Scientist,,General Dynamics Information Technology,"Tampa, FL",,3.8,"Must be able to both manage and manipulate large data sets, develop data science approaches, and manage data science tasks.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=569fb2e995d1aeef&fccid=11caadcdc98800d4&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Tampa, FL",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b64a5c380913b2db&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,iQuasar LLC,"Tampa, FL",,,"Knowledge of various machine learning algorithms, statistics, and mathematics principles.
Knowledge of advanced machine learning capabilities, including…",Today,2021-01-15,https://www.indeed.com/company/iQuasar-LLC/jobs/Data-Scientist-5ba0a45e5f80bea7?fccid=81996c0d5c48d05d&vjs=3
Data Scientist Intern,,Elutions,"Tampa, FL",,,"Perform statistical data analysis and statistical modelling with high quality data handling techniques.
Selecting features, building and optimizing classifiers…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f8ad5bd1777590f0&fccid=e459f9c9a038dba6&vjs=3
Data Scientist,,Energy Sense Finance,"Tampa, FL",,,"Expand you education level with new technologies and trends relating to Python scripting and data analytics.
Access, retrieve and store data from multiple data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0421ac22a7ffdd5d&fccid=e78b4d830917f0a9&vjs=3
Data Scientist,,"Longeviti, LLC","Tampa, FL",,4.7,"Knowledge of various machine learning algorithms, statistics, and mathematics principles.
Knowledge of advanced machine learning capabilities, including…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=af851bc43976ba42&fccid=22e9a4b378ea107f&vjs=3
Data Scientist,,Elutions,"Tampa, FL",,,"Perform exploratory data analysis and statistical modelling with high quality data handling techniques.
Create scalable model applicable to real time problems…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1a7d21f65be89737&fccid=e459f9c9a038dba6&vjs=3
