job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nA03yu2UqF4aos2iOjuLsniL4Gglrn0u4H9NH7XFHjX2yUvWSrvxqCtLWf8xBiZjV5Rhv6-JJlhRfa0UC8XjQJ9Llfjp7NcVtvzBrzE3ZpwseCCjxtu1Iip6CUGKHVkZOOhqLn_o1Bc2liDPt6PnfRTH_egVPzukQw4gjLWYwF8yiWYQ9fJnufphkSU9LC3nMFjsoIyrdJcxAsHwWTn3s-bha-5a4sN2X203_xc3BZKautfr_vIwHAdU8_n2BIYriAXE2n6ZhY5Tz5v--YsZdNuR4MzcPN0glLBOwsP-n5wps=&p=0&fvj=1&vjs=3
Machine Learning Software Developer,,Kitware,"Clifton Park, NY",,,"Strong understanding of machine learning fundamentals.
Design and develop system architecture and workflows for machine learning, including APIs, and software…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3fbbf99da1c34840&fccid=ffd98152d5e973b6&vjs=3
Process Data Scientist- Upstream Investigations,,Regeneron,"Rensselaer, NY",,3.7,"Application of machine learning, deep learning and advanced techniques while performing Data Analysis engagements with structured and un-structured data sets…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=869b9103a3e795fd&fccid=f042b91ff3f82696&vjs=3
Postdoctoral Fellow in Materials Characterization using Machine Learning - SUNY Polytechnic Institute,,SUNY Polytechnic,"Albany, NY",,3.2,The post-doctoral fellow should be familiar with how to program software such as ResNet50 and Xception for machine learning applications.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=803f51f2713f39b4&fccid=ed7314e4a424b114&vjs=3
Research Engineer - Probabilistic Design,,General Electric,"Niskayuna, NY",,4.0,"Implement probabilistic design, machine learning and optimization methods into GE internal design and services tools.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f69b8bd29efdcfbb&fccid=c5c99ec01e2125aa&vjs=3
Data Engineer,,CDPHP,"Albany, NY",,3.7,"The Data Engineer works as part of the technical data management team, supporting the needs of data scientists and analytic developers who are looking to build…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ad033dc26a8be90c&fccid=aa78349c929d97f5&vjs=3
"Software Engineer (AS) - CWMD, Ayco Engineering",,Goldman Sachs,"Albany, NY",,4.0,"Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dae2b57de115e7b4&fccid=16a97ed26c75bf2d&vjs=3
Field Applications Engineer - eBeam inspection,,KLA-Tencor,"Malta, NY",,4.0,"Knowledge of SEM, eDX and machine learning concepts is desirable.
Enabling the movement towards advanced chip design, KLA's Global Products Group (GPG), which…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=75d5d6ed61087c81&fccid=c8fc142c28286059&vjs=3
Lead Engineer - Probabilistic Design,,General Electric,"Niskayuna, NY",,4.0,"Train and coach GE engineers on probabilistic and machine learning methods and tools.
Implement probabilistic design, machine learning and optimization methods…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=992d531c83edafdb&fccid=c5c99ec01e2125aa&vjs=3
Data Engineer - Healthcare (s),,Keyseries,"Albany, NY",,,"ETL/ Quality/ MDM/ Harmonization/ Masking/ De-Lineanation/ Profiling, etc.
3-5 years’ experience in OLTP/OLAP data Modeling / DB architecture, including a…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=de2df2a4279662f8&fccid=25ddcfc98114b689&vjs=3
Data Scientist - Shipboard IT,,Naval Nuclear Laboratory,"Niskayuna, NY",,2.8,"Understanding of machine-learning and its applications.
The optimal candidate will be responsible for:
Processing, refining, and verifying the integrity of data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e584ad673095d6eb&fccid=b5ff6a9d6acf7028&vjs=3
Release Engineer,,Kitware,"Clifton Park, NY",,,"Knowledge about computer vision or machine learning concepts.
As the originators and maintainers of CMake and CDash we know that release engineering requires a…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dafcebd41b972a21&fccid=ffd98152d5e973b6&vjs=3
Analytics Principal Data Engineer,,CDPHP,"Albany, NY",,3.7,"Awareness of and practical exposure to machine learning AND statistical methods both supervised and unsupervised methods, text mining, feature engineering,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6896abffb687f106&fccid=aa78349c929d97f5&vjs=3
Computer Vision Software Developer,,Kitware,"Clifton Park, NY",,,"By joining our team, you will be contributing your computer vision or machine learning knowledge to develop robust solutions for real-world problems, in the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=321e64819ec00e83&fccid=ffd98152d5e973b6&vjs=3
Staff Systems Administration Engineer,,General Electric,"Niskayuna, NY",,4.0,Support the development of next generation workload management and job scheduling tools aligned to and integrated with technical focus areas such as:…,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5db015f479f27a76&fccid=c5c99ec01e2125aa&vjs=3
Technical Leader of Scientific Computing,,Kitware,"Clifton Park, NY",,,"They seek out funding opportunities from government and other sponsors, form collaborative teams involving multiple organizations to pursue those opportunities,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dc228464f3b59fe0&fccid=ffd98152d5e973b6&vjs=3
Senior Data Engineer,,CDPHP,"Albany, NY",,3.7,"In many cases, data engineers also work with business units and development departments to deliver data aggregations to executives, business analysts and other…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=abe0ec3fab113f75&fccid=aa78349c929d97f5&vjs=3
Senior Software Engineer - Computer Vision,,Kitware,"Clifton Park, NY",,,"Minimum 3-5 years experience as a software engineer.
Working closely with an experienced team of researchers and software developers, you will have…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=329d560e400134a8&fccid=ffd98152d5e973b6&vjs=3
