job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",,Signal Systems Corporation,"Columbia, MD",Temporarily remote,,"Can design and build state-of-the-art machine learning and deep learning algorithms.
\* You will collaborate with engineers from other organizations to support…",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2NX-yk-5saWumjHCeW1U7wjRG-yaZl6appTnwIWK0f0j4yN2ZzSx2dhxoGkkKUc4oHx9AVk35NZ-yAvwgpz-2CSTAURRcWk54sSv_p7tDiDiB-ZK4umuf4xTngB195bh54zLkr09Ed6JkfEUNYkqedvQCx64lLlbyWrro6Xkke1YVpBuMl2Kx_WXzFTR6rgf355_nYE4kTQhxcC8H78K08Ka7bYUMurj-fircDHcAVyOJA3uVSE8WFYXW1Sg_3ZQ_j7r65WVR1x58wq8L_iIZTbiJhZ2GS81DawwG9OiWDhToxw0TRSn3DlKTn4I-J-NDN6Y48EUM3T94JiQc5_PD5vQxFufS2lBti0gTLcsJUNDdBXx9mXRh0D8iNW7Gm96yLe1a2xe8XiRuE4i9cmZebjurWEAedXRxgVox1C7pXiGMtpZTDX7xg_vQ7xqzQg7GBuIFcMG-a7EkE7h7js131gwXh2A1mYa_hkTXFe6btTO4INyrywb9JR4OcgKM-YfvN3TMFoAUrXXKin_E99Zi&p=0&fvj=1&vjs=3
Research Data Analyst/Software Engineer,$31 - $40 an hour,Neurogazer USA,"Baltimore, MD",Remote,,"Candidates should feel comfortable learning new tools and technologies quickly and independently, and those familiar with Python and Bash as well as basic…",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJJBdCULplSEaeHpey-r39yKRVIFGrHTfg0M0DIHj38P7aW7lYUe3HjiD0ZNXK-qtgaj2PpbHvQgKjbjV6FazgrrHpmNTP2rxSRX8YO_ORrqoSPAdEAPfrIJjQ1jJjB7mtqZ8pURMxdAjKpQ0ZhdUO0evAgRlv-lMSaJRYvjPYerDnfXg1myfSJvGpqasBmRLhA3mlENU9OgDJ5ZbHSzepUieNWbeZoGqkYg3jUPnZq3axK7KXw-GwutOUvYf6vAQ1mFoeOZjHj5IVQPKoWjYV8a9pthgLOdQFOFsooz4VMzhnU_xOxyd2TfSpvRxOLRRx6NOR3AYRFbLklzyosce1jDgtNm9zkR6u4IaEy_KuEwcJV5qRefsvV0L0rcbNaJSTU4dhYtSvmBM3cqp2tt4ld2K0BkZWKs5gTCNl4IPbGoGWEz8FoarJNo7WwsUhbptI1CEu6g6yajx_F4tdVm8mhJ7lDW8lgfxrn7LzZZ3f4V34zOX7VXwI&p=1&fvj=1&vjs=3
Medical Imaging Scientist,"$90,000 - $100,000 a year",The Focus Foundation,"Crofton, MD",,,The main areas of our imaging research include fNIRs in children and adults with genetic and metabolic conditions as well as development of DL and machine…,29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGcwyYL3SMOUlcMXIePvYyYaMOlQe31gDNcZpv7BaIW3Wi3Cp5Ffx6Jl1kM_pdOlYxV_GHAcd4HOq2k7kVA4oIPl9o9iQHml_LzzdGwfvF1hVU_Z1hk1wMHoc9x59bz_GQLd77qHQFtMRjlPWNBfwFh83LnSQRu2wkRMiD2zzngR64Mj1kmtTrYtN4xYaS74eyf2N_fdiM2lEV-52tABXC0ABWb0JRAYp3unAh7nQLlerD_p511dppm-6YO5h8DqhOAFU_i-wcOMSHxII0_pMPrHMkxIXlJsT13_4VzxkdYSkYlJN3OL5NQQ8xli0UAroRiYRe2IeSRN7c_Hbsi5XPHgm8OoLKvYwAc-F0IDXyrvLYxj_K7np1qGNOMN1zgatcD5QWX1QSp6pWvmlmZ8r7HjSL70fWh_GuAFZcXPDT6Y9dwJ7ewxJMGMMQFM263wr-bGwRtEV2SjD4u2_BiUlHOC1rbzHYHcWipFMsciSBSg==&p=2&fvj=1&vjs=3
Prototype Metrologist,,Stanley Black & Decker,"Towson, MD",,3.6,"Ability to read and comprehend engineering, machine, and process drawings.
Communicate effectively with machinist and engineers on the status of parts during…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAKa9X1rhwc3pNs7zo7W4tV5xThjHL7xzK8hVrbodY_0qvNqxM5WkQAa2peUD7nh47qx7Vv4iuu0Z6Qe-4aufnVDu54rkJXoZQSFtUHmpGxp1Ue-6s1dKmx1RE-c_K8VIOWDKZs8BPTVWEFbZ3cEMwDNCKRbNyapYb3TzEoEquMBV4A_KGJnNfDnJWUo_cZtuy4RRvmwtaw4tcC_18NmCO8nOwU6oKNyC7LzNcWfL-0-KbLan2BxWcasDuh10Ij_wZSIq7kasQlZjtdepoSS0XxRbYyKHB8am-D8CyJzoJVTxrIknpnFKXJTV7Vzl1Hk6lb0Nb9YETZ_kRAZGn3HiFXvYdiw4PKrnb4eV9M0wHx2FyH-MIcc0oSeFTT-OcSsJTxYmSt-6UkVUQxKpPmXIFckrl3NHnMHWHUGQzIdMfP8Xb2L1KicvrPPBmVTSYeaLFGKv2YGqabVWEvLt-r9wCnv1d4JJM6P0a0OFsRnRzhTawGBUuhCeM9ksfMriRpY9o5CBEt_DOfLdPBH8wtQBSNrTjhoAUw1A0xVuHw311Z8amxvehKGJA&p=3&fvj=0&vjs=3
Autonomous Vehicle Systems Engineer,,Textron Systems,"Hunt Valley, MD",,3.7,We want engineers who can apply new technologies such as machine vision and machine learning to multi-domain automation tasks and communicate their approaches…,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CMBS5B041_Y8ZzbX96acfEwfe9nE43utDAET7SJzUSwZUaIW1cGVDkJ94Qyb-AfztFjoq4Yym9fqLoKDb6GQDGO5mo7HlycqPl52mSKUyxAnX2Z-lz1MqXFtgSOAUGbw6rEPTThKMRzru3hQdAhNwHds6CBp9k2RnhwmyLrcROq0n144DGYjPnkvwEPrM6es90pPTzzGvc5trylMhpdIg_FM7rWqDLTuO1eBOjVpyq-3_1HS_TzCPe7r5ApvQ4YDQp8eiBzhfb42TiWf-vRy-SJXbXItcNZdctJLSLesPGhFyeMC7Rjz6r3tluQ4i_UA5v4qpllvQSc1AT0mtMhJIn04pG7IS93WFx8mwngY9VAN-LzWPm08P6Q6BY-abAy7_W3J_JP5dEPRmVsR_QfapnIeJHEXJ4WKVE11kh_l0h74k233rxXpzuifydbBQRel8AhjshkltdFQRnFi6RdQ8zqzcL-MSk32Qj7uTQyCTFW4pEblqy0biT5AJOmcKZ7H7iUl2raPTzHdfywZT-zqE9FaKnAbwRE1DmYkj4L03CjA==&p=4&fvj=0&vjs=3
Computer Scientist - Software Engineer/Cyber Developer,"$84,529 - $113,362 a year",National Security Agency,"Fort Meade, MD",,4.2,"Information retrieval, machine learning, artificial intelligence, statistics and analytics.
Salary offers are based on candidates' education level and years of…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCfIzx_id58ldyeFnFrZ7UVskFwS-ixrNJ0ZvBeR5dzRRV6ssg8-iB2xyQJa7KbKA4ECtfJce33zoJe7WQKL873ccQwYBG4o0WTyoHCEzQI687P0q1hx4IPjoHW3POsAb2PBKroNRvgTbWFQP3fAPFJplWMFVlIp5D71mEKMTmKW_zNbrGQFeLq3uVDPOYnDtqtQ5JT5npGxVDixS1GlSXM65Xpil5jbMgMFw0Nfg9c4ESGU3ksdIfy9neNl-DR3EsG4hy8fZ6Q78exChXDRs9TmQtlI43PKD3HHyyXuEl7K089X-TkBTvjj35rKW57RwuVv1ABEv00TnK672yca4791RcBdqv82lqDOOom6v74hwwTTA_XSe5LduAqp-2svYjV1grrv5URwmA==&p=5&fvj=0&vjs=3
Data Science Engineer,,Fearless,"Baltimore, MD",Remote,4.5,Build and maintain predictive models and machine learning algorithms from the ground up to solve real-world business challenges.,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=b95ae27a6f5ce220&fccid=b8aaf191c532bb48&vjs=3
"Machine Learning Engineer - Hanover, MD",,Eccalon,"Hanover, MD",,,"Understanding of machine learning and deep learning fundamentals.
Engineer artificial intelligence models and infrastructure for deployment in healthcare.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bcb6fb4530f0fd01&fccid=3e748eea0e6d02b7&vjs=3
Autonomous Vehicle Engineer,,Textron Systems,"Hunt Valley, MD",,3.7,We want engineers who can apply new technologies such as machine vision and machine learning to multi-domain automation tasks and communicate their approaches…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=34ef97b4c7c18428&fccid=b61726afa7a8d26a&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQuTKjbD11kDGGElSpPrEC9Y1MCgJ6tog-wywzhObEFTaA3tAeIVSVitym6MxWpzNQAjlZkhiDmOneY_yhDRNJvf8H5N0luYUAMOZLobPkxGKeYWKnGxV2cpVeurH0jb8qzymLQWlEniZi_eYZJ2yIkuzKVoIDaFMcqA-jZqmuGmGzr0T_LeWbANbAW5TztQ2_fCAftufnyIBlb5MioD2tZn_n4vPJiogGqmgDZmKQfQyRVrle5BfvqlELIE3dJRNW9cq3OVZlG6kI0w9HLrocLJXa7X5kIYU3lgdUFiWqcQOWdFpWEzU1Ji7WsEnI2XZPVA3XCs21IzE&p=9&fvj=1&vjs=3
