job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBeo6Ol8t0eLMu-Ao45OualOes4K5U-c-oE-dSYeGZATWvZlC6MBDN_Fbp3_oTZq-adMGhgcQYaugFImtN0P13H4fjZLHJjCMliTP87pFSOBx0i_SsUhL3r4lVfgmJjXS7OxgWSt9nr1qsFziQqmzqpzsGTztc1tDQ8uM9E8LSp3ij5o_dR8ykInDVYZd7hOuASjinKR1rnVyU3YSBPvZTFAajytu8-dbki5rifHTmswSQhCNgKU92Svm0Ldz0tdymCLKu5BrkenD8TMMuYDYMU9LzdkPlDizhYHBzsQArLfQ=&p=0&fvj=1&vjs=3
Mechatronics and Robotics Apprentice,,JLL,"Boise, ID",,3.8,"Communicates with machine operators, and operate equipment to detect equipment problems, analyze malfunctions, and verify system problems.",11 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=4f30e11a28937d4d&fccid=9917de3c28f569f6&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Boise City, ID",,VMware,"Boise, ID",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=afd7a9f3f06d5563&fccid=c762a27145bd166e&vjs=3
ENGINEER - PCVD METALS - DRAM/EM,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",3 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=19b8fcc34c703a24&fccid=be240c643a8631c5&vjs=3
Data Engineer,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",9 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=0af82653149d0d69&fccid=be240c643a8631c5&vjs=3
Photolithography Engineer,,Micron,"Boise, ID",,3.8,"Additionally, this engineer will process issues with pilot line manufacturing and work on continuous improvements for manufacturability.",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=711235d6bcdfcdf0&fccid=be240c643a8631c5&vjs=3
Sr. CMP Process Development Engineer,,Micron,"Boise, ID",,3.8,"Mentor new engineers and pilot line engineers.
Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends,…",11 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=9ea5b0f8d23e28d7&fccid=be240c643a8631c5&vjs=3
Intern-Control Engineer,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=115d3014d8d22176&fccid=be240c643a8631c5&vjs=3
EUV Equipment Engineer - Expat,,Micron,"Boise, ID",,3.8,"Act as a specialist and resource for on shift equipment techs and engineers.
Contributes to ongoing assigned projects, works with process development engineers…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=de128e505b44be69&fccid=be240c643a8631c5&vjs=3
Business Intelligence Analyst - Enterprise Analytics and Data,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",Today,2021-01-16,https://www.indeed.com/rc/clk?jk=2ed41ec7f7f9657c&fccid=be240c643a8631c5&vjs=3
