job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nABBN4gQQXLwtrJWd602-IEewV0MdziwT-Tf2o7FO7Wmddq6h2bOk9k8lkDfPCAOb_X0lmBD7ktmyBKCjaX1a9xP5KtN2mHHTWXRKg6tPc4MWtQaK2GbQRXW4lV_TezTBYRU5GlOs6a3N5fGkYomS31NjqSLO7hT81HkMoSsFl8SnTWarfOIo5XZzFu42-cttxY-lzSIpIjE1pBOnLQjbP_kknaPSBWNmKzOBvidYSA8qFjtzHd5VmvtBwknLVBKdx2834kbbjCtgPexmVYjGKzuzKzVi9o9AGuIayyJFlTUY=&p=0&fvj=1&vjs=3
Software Engineer - Machine Learning,,CUBRC INC,"Buffalo, NY",,,"2+ years relevant experience in developing machine learning algorithms and related software development efforts.
Strong verbal/written communication skills.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2ee0cbbe21b2a631&fccid=79981a744bb8130d&vjs=3
Machine Learning Engineer,,ACV Auctions,"Buffalo, NY",,3.8,"Our technology modernizes the entire arc of auction operations, providing third- party inspections, account management, title and payment processing, managing…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bbbc351b07d41b20&fccid=6867c53ddcaa8459&vjs=3
Data Annotation Specialist,From $18.70 an hour,Tesla,"Buffalo, NY",Temporarily remote,3.5,"You will be expected to gain basic computer vision and machine learning knowledge to better understand how the labels are used by our learning algorithms, as…",1 day ago,2021-01-15,https://www.indeed.com/company/Tesla/jobs/Data-Annotation-Specialist-995a2ad5b612a649?fccid=86e9be6ce380173e&vjs=3
Data Annotation Lead,,Tesla,"Buffalo, NY",,3.5,"You will be expected to gain a basic computer vision and machine learning expertise to better understand how the labels are used by our learning algorithms, as…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1c2e4ce06f4e6bbd&fccid=86e9be6ce380173e&vjs=3
"Manufacturing Engineer - Process Development, Power Electronics",,Tesla,"Buffalo, NY",,3.5,"Strong problem solving skills and an aptitude for learning systems quickly.
You will work with the cross-functional teams (Design, Quality, Production,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=27fc6c03dee2382b&fccid=86e9be6ce380173e&vjs=3
Associate Data Scientist,,Rich Products Corporation,"Buffalo, NY",,3.6,"The Associate Data Scientist will play a pivotal role in planning, executing and delivering machine learning-based projects.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=18959dfa3430e457&fccid=9e3eaa6f1988a84e&vjs=3
Automation Software Engineer,,Tesla,"Buffalo, NY",,3.5,"Experience in the broader suite of automation technologies such as machine learning, intelligent automation, and/or data analytics is a plus.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d058c6ddec1d68e9&fccid=86e9be6ce380173e&vjs=3
Full Stack Engineer,,Acara Solutions,"Buffalo, NY",,3.4,"This is a highly visual applications that the company delivers to Mining and Infrastructure industry.
Take key product features from concept to release, while…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQuJXpfawXtfhwzLerQhC04iCxGrelUvn_xttDeop7CMmG32gURwRxm542mwoFEh7IG7qCn7gt6p-ca1p7eGvpt1XjRaRMBFynL4OD3XDuA-g2xrY8gyZTQaOcAZS3HDbiFGdQ3zaI0J9TSK3v1wl26Ji77r9mSnJUjulznUFPBi7XTHz0BFHnZawWCDxn1SrH6WvuXnZr8ISW829FY5nOSStx5z_0xhtEp43hOapgm9vhWk4tVY9_L9KEbFLQWi4ei4KVv86QEB6c_8aXbE6VOu2mQXsOqIl9TK-ier_eJV6WuUTXijWRHCsv63flJkiuT6GU43uGDTr0FmOmdc_Fn7ghD6kqgQEnLtttFJ82cpbUn3B39dnkDFt5c65PbIDynaqmajsbXV3AiKFEUK-wWXokxmKCBk8Nlzu5qnlmPhI66_s_qigQdOlSaSAu5c6WOMTrn0lJcuQCmDUqoOF9_BalQjxeCMox7bdZY-6lkdSoBAsh8zqO947PiYVupS0EqPfLN9NLqn1OQdJMyaBw3bpmDADRdGS-_EqtsuFUIvRw9tjbJvhtXuoTycq6snQfzeNo0AI_Y092X2nnY9wMTVPyqxccIGHEIaAnqConmX6k2m59KORDJxiyVxblpWveR9Abj9bcmp5ByRma4TFUwg3tLZIT_rRNugWCqoTXOQ==&p=8&fvj=0&vjs=3
Manufacturing Software Engineer - Power Electronics Test,,Tesla,"Buffalo, NY",,3.5,"3+ years of experience as a hands-on manufacturing test software development engineer.
We seek a highly motivated hands-on engineer for a position in the Power…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=57274837ac296579&fccid=86e9be6ce380173e&vjs=3
Automation Engineer - Advanced Manufacturing / Industry 4.0,,DuPont,"Buffalo, NY",,4.0,"5-7 years of automation or related experience required (robotics, data analytics, machine learning).
DuPont Safety & Construction goals are simple, even when…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=72cdca979354b302&fccid=76bce720eab9a7b0&vjs=3
Maintenance Assistants/Techs Buffalo Lodging Associates,,Buffalo Lodging Associates,"Buffalo, NY",,3.0,"Project Management – Assists in ensuring routine preventative maintenance on laundry equipment, heating and air conditioning units, ice machines, fire…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fa578886220bfed9&fccid=7d9edc886655ce07&vjs=3
Automation Support Technician,,Polymer Conversions,"Orchard Park, NY",,4.6,"Understand and troubleshoots complex servo driven systems and PLC controlled machines with the use of a digital multi-meter, machine documentation, mechanical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=913b2b9745128efb&fccid=69c3fa79f3eaaf8b&vjs=3
"Sr. Manufacturing Engineer, Power Electronics (Buffalo)",,Tesla,"Buffalo, NY",,3.5,Minimum of 5 years’ experience as a hands-on mechanical/manufacturing/design engineer working on mechanical and/or electromechanical systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c44be021c5d99fe5&fccid=86e9be6ce380173e&vjs=3
"Director of Customer Success Buffalo, NY",,PostProcess Technologies,"Buffalo, NY",,,"Possess strong leadership skills to hire, train, mentor and retain leaders and individual contributors, including talented engineers from multiple disciplines.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=651ef2db4f2cd672&fccid=8c7ecae88df4b727&vjs=3
