job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQnNzrFrBlG_BhNCWa3LBn3BMqjzY4DsDelZ23C73kYqR9pRGOlTRHhh4sAzZpTIilPAgnTTG3d1ZD9LivnkTnxomqQRxJwHDZdI4CwQu9tyg_QOeZMop_PFe1DlvM5EVWMhMZUyR3Er_w-lwZBMxj--nn0H7MkGl6uK6Yru6ISrccTmLjBYp1LJpne__Z-pdhiY7LpmZDl21r0Cm2ioFZbY2noJ9XxB3phJEodH0uvyXEQFkvQNNHyyY6rZrsm1MvFxq0DtmDoWAivInX59wsUjke0fTcS6awW_pgHqEAHznf6cH0h3KBng=&p=0&fvj=1&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Charleston, SC",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=715a09b1513ab1a7&fccid=9e215d88a6b33622&vjs=3
Cloud Engineer,,Pharmacy Quality Solutions,"Charleston, SC",Remote,,"Experience in several of the following areas: database architecture, ETL, business intelligence, big data, machine learning, advanced analytics.",23 days ago,2021-01-15,https://www.indeed.com/company/Pharmacy-Quality-Solutions/jobs/Cloud-Engineer-d1f1583c5ac74836?fccid=bbfc78f62dd10bb7&vjs=3
Data Science Engineer,,Sekon,"Charleston, SC",Temporarily remote,4.3,"With over 20 years of experience, SeKON specializes in providing large-scale health IT programs in support of federal government customers including the Centers…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6ca94bcb1bf567fb&fccid=feea025c8fa35a2e&vjs=3
Manufacturing Engineering Technician II,,Lincoln Electric,"Ladson, SC",,3.5,"Assist in machine selection and runoff.
Actively seek out high waste activities and drive efforts to reduce waste in the machine shop.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=89318408dc9c0e77&fccid=168835bef66fde57&vjs=3
Engineer / Scientist 4,,Vickers & Nolan Enterprises Llc,"Charleston, SC",,4.3,"Vickers and Nolan Enterprises (VNE) is an engineering company that provides Government projects and programs with experienced and dedicated system architects,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5d2848c44994db60&fccid=6dbb279ac3436e54&vjs=3
DevMain Engineer,,Arnold & Associates Inc.,"Charleston, SC",,,Position Description: Security engineering and/or architect provide Security Architecture Support and/or Cloud Security Architecture support services.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9291e8fde6cbf5af&fccid=a6c5e7044e9cdc16&vjs=3
Senior Data Scientist/AI Engineer,,"Mission Solutions Group, Inc.","North Charleston, SC",,,"Deep knowledge of supervised and unsupervised learning techniques and models, such as decisions trees, random forests, neural networks (convolutional, recurrent…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=15121389604772a1&fccid=c8b6d4e0c1929028&vjs=3
DevOps Engineer - TS or TS/SCI Required,,Phoenix Operations Group,"Charleston, SC",,5.0,"The primary responsibility will be requirements analysis with mission subject matter experts (SMEs), engineers, and other program stakeholders.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=42f669f22a1daf13&fccid=af2afca4dab95e48&vjs=3
Engineer / Scientist 4,,Vickers & Nolan Enterprises,"Charleston, SC",,4.3,"Vickers and Nolan Enterprises (VNE) is an engineering company that provides Government projects and programs with experienced and dedicated system architects,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ce8dac09456ac152&fccid=6dbb279ac3436e54&vjs=3
Configuration Manager/ Requirements Manager,,Core4ce.com,"North Charleston, SC",,,Work with software developers and engineers to ensure software upgrade or infrastructure changes follow the configuration management process.,10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e88604cda7a60f19&fccid=fce41f6d7b015073&vjs=3
