job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Lenovo,"Chicago, IL",,3.9,You will create innovative AI solutions for Motorola phones to enhance camera performance and create new user experiences.,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=6f4f89ec132deb78&fccid=af103eaff391cdf0&vjs=3
Machine Learning Engineer,,McDonald's Corporate,"Chicago, IL",,3.5,"Translates machine learning algorithms into production-level code.
Maintains and improves the performance of existing machine learning solutions.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=91534768161234ec&fccid=f753bb1a40104d82&vjs=3
Machine Learning Engineer,"$110,000 - $150,000 a year",Sky RPO,"Chicago, IL",Temporarily remote,,"Building reusable production data pipelines for machine learning models.
Demonstrate end-to-end understanding of applications (including, but not limited to,…",3 days ago,2021-01-15,https://www.indeed.com/company/Sky-Consulting/jobs/Machine-Learning-Engineer-6def285b9db51a04?fccid=5e049852524685ca&vjs=3
"Software Engineer, Applied Machine Learning","$90,000 - $120,000 a year","Prenosis, Inc.","Chicago, IL",Temporarily remote,,"Prenosis is seeking a mid or senior level software engineer, ideally with machine learning/data science familiarity or experience.
Expert in Python or R.",30+ days ago,2021-01-15,"https://www.indeed.com/company/Prenosis,-Inc./jobs/Software-Engineer-26d739ae9c5bb32b?fccid=c22bb53e2ddf6de1&vjs=3"
Machine Learning Engineer,,Crowe,"Chicago, IL",,3.5,A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems.,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dacb8e89bba8428b&fccid=994b5c764776123e&vjs=3
Machine Learning Engineer,,Qualcomm Canada ULC,"Markham, IL",,4.1,"Some high-level understanding on machine learning is beneficial but not required.
The candidate will be part of the team developing the software and firmware to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=497417dce08db7d7&fccid=d40ebe11fc879426&vjs=3
Engineer – Machine Learning Software,,Qualcomm Canada ULC,"Markham, IL",,4.1,"Experience with Python numpy and deep learning frameworks such as Caffe, Caffe, TensorFlow, PyTorch.
Engineering Group, Engineering Group > Machine Learning…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=61d303d0800f3441&fccid=d40ebe11fc879426&vjs=3
Machine Learning Engineer,,Fetch Rewards,"Chicago, IL",,2.7,"Machine learning development and/or data science experience.
The desire to work with other teams in the organization (e.g., Data Science, Software Development,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a0243e92e5f3fac&fccid=2e5a195d27f5250c&vjs=3
Engineer,$28.52 an hour,Oak Park and River Forest High School,"Oak Park, IL",,4.0,"Maintenance experience should include, but not be limited to plumbing, boilers, welding, air-conditioning, pools, pumps, compressors, pneumatic controls,…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ec704a5970659b3f&fccid=fc885c3a26ca49c7&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Chicago, IL",,VMware,"Chicago, IL",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0bf10fcde7915128&fccid=c762a27145bd166e&vjs=3
Data Scientist-Machine Learning Engineer,,Allstate,"Chicago, IL",,3.7,"Experience with large scale machine learning models and systems.
Proficiency in machine learning frameworks like scikit-learn and deep learning frameworks like…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a3bb8d5e602778b2&fccid=3a71a4d2f7990a25&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKfvZxEZkJ5o3Qob5sxZNgsnBC5vtItWvvgN9CNDsx0Y-djuaW-E4NHr-Y80Q9VvV_D9N1MELqHRBhghTxf5WS_ouA2Ff55DuMOleOI1fgMH966p-M53KgLkRGKIKc-UlXTmlC6r2bmVIXIH69xJcwRabtRAM4ZY8kVMMf5sNj6V7OR62vQV_RxUIufHjfCnAnUnG58G_-Nhh1b6XnmxbRgl17Kd839-Tmleujr72krYn-gP_3Q37SSJIRVZZTAopj7D0gBOPBre0n_cobrxu4M5pUDOAbQhmABF5becGoMHDvFVTfuPYi_in2b-RFeVHhBwfWPLr1BnA=&p=11&fvj=1&vjs=3
Machine Learning Engineer,,Strong Analytics,"Chicago, IL",,,"Strong Analytics is seeking a full-time, remote machine learning engineer to collaborate with our team building and managing machine learning pipelines,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3dc8b6f11dcfd6a7&fccid=2c3e769b6ad0178e&vjs=3
AI & Machine Learning Engineer,,CNA Insurance,"Chicago, IL",,3.6,"Familiar with major machine learning algorithms.
Expertise in building machine learning platforms and data pipelines at scale.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3248a28c45ee0de4&fccid=811f2cdeeb2808d9&vjs=3
Data Scientist Summer Intern,,#TeamGoHealth,"Chicago, IL",,2.9,"Interest in regression, classification, machine learning, estimation and hypothesis testing.
Assist the team in quantitative analyses, working with data…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04dd33f25e21117f&fccid=2a4fe3a1dadb70c2&vjs=3
Data Scientist Summer Intern,,#TeamGoHealth,"Chicago, IL",,2.9,"Interest in regression, classification, machine learning, estimation and hypothesis testing.
Assist the team in quantitative analyses, working with data…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04dd33f25e21117f&fccid=2a4fe3a1dadb70c2&vjs=3
Machine Learning Engineer,,WiTronix,"Bolingbrook, IL",,,"Hands-on experience applying machine learning and deep learning (experienced generalist; applied data science development, etc.).",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f46937f0e5a9954b&fccid=58d26f685ff56e0b&vjs=3
Software Engineer,"$90,000 - $130,000 a year",Mesh Plus Plus,"Chicago, IL",,,"We are looking for software engineers to assist in developing and testing our software stack, general networking, and integration with our customers’ systems.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=4137c74b81ff21e5&fccid=47e10e8e53942210&vjs=3
Junior Product Engineer,"$50,000 - $55,000 a year",Quinnox Inc,"Chicago, IL",,3.4,"Product Engineering - Integration Associate – FTE roles – Recent Graduates.
The Product Engineering role is for technology enthusiasts.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=786d915b15e12259&fccid=bc956dc6d749f322&vjs=3
Manufacturing Coordinator,Up to $19 an hour,Belden Universal (via FactoryFix.com),"Hillside, IL",,,"Strong computer skills and comfortable learning new technology – we will teach you how to use our ERP (Syspro), QMS (Unipoint), and record management system …",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=3b7e55300d9fd770&fccid=4e02009ac762556d&vjs=3
Summer 2021 Data Science Intern (Remote available),,American Family Insurance,"Chicago, IL",Remote,3.7,"Support machine learning projects using traditional supervised learning, computer vision, natural language processing, time-series models, or other methods.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=96988a0aed7716f2&fccid=e5c4515812210aed&vjs=3
Machine Learning Data Engineer Lead,,ServiceNow,"Chicago, IL",,3.6,"3+ years of experience managing a team of data engineers.
Ensure the Machine Learning team meets the needs of our internal and external customers by supplying…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1632d45caad9b30d&fccid=7442885bc0fa7c14&vjs=3
Fundamental Analyst Intern (Summer 2021),,Tower Research Capital,"Chicago, IL",,4.1,"Familiarity with statistics, data analysis, and machine learning (a plus).
Covering a set of US stocks and deeply understanding the drivers behind their…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=754347c7478dd38f&fccid=aad0a6d052467169&vjs=3
Legal Solutions Engineer,,Bryan Cave Leighton Paisner LLP,"Chicago, IL",,3.7,"This position primarily focuses on delivering Document Automation services using Contract Express to automate internal documents (approx.. 50-75% of time), with…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b5db17c6d1aa884e&fccid=e468661f0a00d14c&vjs=3
Data Science Intern (Summer 2021),,Wolverine Trading,"Chicago, IL",,4.2,"Strong background in classical statistics and machine learning preferred.
Data Scientists work with traders and engineers to develop, test, and implement…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0f2a03361b6cf1f3&fccid=1ec8c83c883d1273&vjs=3
Senior Data Scientist (Machine Learning),,SpotHero,"Chicago, IL",,3.0,"Be part of a cross-functional data organization that includes data science, infrastructure and data engineers.
AWS data tools (Redshift, S3, EMR).",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=9f67bea1aa74cc92&fccid=74684538b2d4605e&vjs=3
Research Scientist,,GN Group,"Glenview, IL",,,Your focus will be the performance evaluation of adaptive methods within the hearing device using both modelling and machine learning techniques.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ee8ae72eb3c8fa18&fccid=088167bf60f5ad8e&vjs=3
Senior Machine Learning Engineer,,#TeamGoHealth,"Chicago, IL",Temporarily remote,2.9,"4+ years of experience demonstrating trajectory of professional growth in data science or machine learning.
As a Data Scientist at GoHealth, you will work with…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1741ddba1ac48916&fccid=2a4fe3a1dadb70c2&vjs=3
Industrial Territory Sales Engineer,,Schneider Electric,"Chicago, IL",,3.9,"From the simplest of switches to complex operational systems, our technology, software and services improve the way our customers manage and automate their…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4a0d3b3895b6beb6&fccid=8dc4399ddb463d4a&vjs=3
Overnight Trading Analyst,,DRW Trading Group,"Chicago, IL",,4.6,"Experience with Python and machine learning techniques a plus.
Perform post-trade analysis of strategies along with engineers to build out bespoke technology…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9089c414a5819f04&fccid=42ccd87a2c182a30&vjs=3
Deep Learning Engineer,,Numerator,"Chicago, IL",,3.6,Demonstrated ability to drive selection of machine learning approaches to solve specific problems coupled with the ability to clearly communicate tradeoffs.,24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ddb92b3b323b9957&fccid=11f2ca9fb7278374&vjs=3
Mobile AI Researcher,,Lenovo,"Chicago, IL",,3.9,"Hands-on experience of applying machine learning and deep learning knowledge to computer vision, image processing, natural language processing, or related area.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=136f76a37826ea05&fccid=af103eaff391cdf0&vjs=3
Software Engineer 2021 Internship,,Motorola Solutions,"Chicago, IL",,4.1,"Our AI team is focused on all aspects of 1) designing, prototyping and developing solutions (algorithms and architectures for object detection, classification…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8297f1e3900b0939&fccid=22ec6ef3cc441ac2&vjs=3
Sr. Quality Engineer,,RAPP,"Chicago, IL",,3.5,"We are a member of Omnicom's Precision Marketing Group (OPMG) focused on digital and CRM marketing.
You help lead quality assurance efforts for a variety of…",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=073001bd85083da2&fccid=fc317a2deb4ad617&vjs=3
Big Data Machine Learning Engineer,,CEDENT,"Chicago, IL",,,"Must have a working knowledge of advanced technology uses cases in financial services including machine learning, interactive data visualization, cloud…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b1972eaac7dbb596&fccid=2ecf4575019bf07a&vjs=3
Research Intern - Spring 2021,,Lenovo,"Chicago, IL",,3.9,"Hands-on experience of applying machine learning and deep learning knowledge to computer vision, image processing, natural language processing, or related area.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ae206f211922dcf6&fccid=af103eaff391cdf0&vjs=3
Data Science Intern,,Shure Incorporated,"Niles, IL",,4.0,"Knowledge of machine learning and deep learning models and frameworks.
As a Data Science Intern, you will work with a team of engineers who research, prototype,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d190294b56fb1275&fccid=ea62f859f853d3ba&vjs=3
Mechatronics Junior Apprentice,,Cushman & Wakefield,"Skokie, IL",,3.8,"Communicate with machine operators and operate equipment to detect equipment problems, analyze malfunctions, and verify system problems.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9c5e67b98033dd6d&fccid=a5c381a5b33228a1&vjs=3
Implementation Manager,,FourKites,"Chicago, IL",,,FourKites' Global Implementation team has complete ownership of new and existing customer relationships with regard to the management of the implementation of…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=de0113be6987bd5f&fccid=c91ada9d2e35d632&vjs=3
Postdoctoral Appointee- Nuclear Engineer AI-ML,,Argonne National Laboratory,"Lemont, IL",,4.3,"Skills required in development and application of machine learning computational packages, with general knowledge of computer programming languages and advanced…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bf9af3f2e4891626&fccid=5d1506a5df73a48e&vjs=3
