job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Systems Engineer,,Grantek Systems Integration,"Cleveland, OH",,,"Key-skills and interests: high-level programming, database development, machine and process control, mechatronics.
Projects outside of the local area.",24 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhdFp_limjnaRbUS9FulWpZGYPAkyKoC_J5wxkKk1Mtu4IOpgeOmTn5MTp9wQpJYUZ4hGFc7amdrKWfOGgggHwYMdGs8nyHkmHepZ0VkX__UE_2qzBXRYV2vmgbIN1QGxl27gXl5KqoN6HrRedjpUY0YvqOLa-C_twG3Ckk3SOVo-ijdAMJfN00AsMC27F53kZfSEZLy7lJ5qIaXSflvDhejG4jt277r6DUwirkRQrduiwWzlljLxAgZDWWoSuJ5fr_qpsHgLILxfqfDDxs4UdEmhVZVXSHlsNNGdeStRAILnnS8TlKsENYwMNU4hh2WaNj2gM8hSrSE9a0v-gvdmYhq2HRqBLphWMthcgQ9yAhyCN3nNXntZjZQDFep57YPySXe3g2M60fQNw1feRnQvKg9_2Tw59xgCm6V2lYu4Cr04gzfymVbocrYYLmU68gnjnIHDw-nrd3XeXDL8R9aop3N96BoIZ1UWxNqKt0M2l8XbdgPWntkRA0j6W-p8R6lUYSVYNhK_mbg==&p=0&fvj=0&vjs=3
Eaton Electrical Services Systems Early Talent Program – Power Systems Engineer,,Eaton,"Cleveland, OH",,3.8,"Undergraduate specialization in power systems analysis (including three phase circuits) and electric machines.
Participants receive cross-functional exposure.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c89e49b823951588&fccid=87f38351bd29de24&vjs=3
Manufacturing Engineer,,Komatsu,"Solon, OH",,3.9,"3-5 years experience in a machine shop environment.
The incumbent will be involved in the determination of the most effective and cost efficient manufacturing…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b76716fd19061411&fccid=81190b5bdb229660&vjs=3
Junior Software Developer in Test,,Remesh,"Cleveland, OH",,,"It uses NLP and machine learning to analyze, understand, and segment participant responses to questions and prompts, online and in real time.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b85b160a62a28f33&fccid=f89f8382df33b93c&vjs=3
MES Engineer,,Nestle USA,"Solon, OH",,3.7,"One or more of the following systems will be a plus – HMI, PLC applications, advanced analytics, machine learning, vision systems, robotics.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DzYg_Hw4f1Hctt-0uYokkb0zDG9A9TR-s4i2f330sXEWFslfsXQ7wUeBlpyjEACdlk_HpNxROzQ4BLQ_dynPTLYo2kYvfNvePJP37kBEp8OFEEmPiOmY2hNasKy25ECfAqXEW10R0YlApYXpiaIQYOAVo1gUvs9mefUi9pBiyto7kPSnZ8AGPJqOLaxcQFVMCZhlknvQXO3G2_ybACh6QfzhCQEoVn0m20aPCBD09eGQrl7OMlm8cpUVeLNkeVWrz5JqiANyoXCXwFGm4skAw3dVc3OyiJqriXjmoDk6NmJPhHmwip6LUsPupR0n40O3GNKuIrEqHmq_n-mYteZtLuV2zMQGeZiZgqf9YC_0irZ3S50NtQV9TJxkDJ47hTxDaCukUPwaBXuGqqz4hCTOHCp5jVzJ_bo7GIy7fhSIXzuTHOFi_q0euZcbiF8iMWGTCCO_enU0BwpQTCwqohLpMKZxNAQUaE4qA4T1woxz5OSsOxUaUTK1pF4Q_o9H1sXGfDqeIhvRXnQtuWCJcwjxqpU1CfLRekF7zQpsnnACMWUYBfSAhD5Vd3m-WBAkkAE-_kNV6S6zjHxAxxAUuJakjpmUox12VcpHmZ3HvoP3Ie5Z-9ZOUaIWy0ayuSPZL6Px-DPSaWgQVbFYqyMZ6YzDfNiuan3PIYnhRtLZu8Iw7FFJa0SrUnu75yK0vHnOkVyPvL39CIfxT1tZpL8lIQBT2M-oiakD01wnJ3rjUDvjGJmFLWL_GPJPSRuPSQ6KJEAMnqz3D3ozYdkaawL-QL9e-125pxDoyI_N3DgAwBrAe-Ujmk-B9IUi3qr13EcwRdQwOXt4B4C_7sz7K3LjBUQCjpX-aOkOF_oPDswlVNKwz_kWoNT990PtLhvPxYbntBwqCDt3kdjN7Dm-YgnMWhY-QsC3aQ2OaTNIDwYjS5qP1cWZtQl9F-7Da5oY3BYcolOs9it-OAJ4RGVnHDCiwoJN9xvb0iHyPzTZt-bkk8u1eege8AHP3k8wL3hT9_7rcxAbZa728o_UQKclkMDLDvVzL6cQgI7P-SCnvVkrN5du0XMQ==&p=4&fvj=0&vjs=3
Field Service Engineer,,Dell Technologies,"Independence, OH",Remote,4.0,"Our Field Service team is integral to making sure the service to our customers is seamless, responsive and focused.
Ability to lift to 30 lbs. when necessary.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f6af1c73955bc064&fccid=dd09fe3b43125016&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQiGmdWgb1xWMzLW5dBCMymQOlv1cc5u28m0nOFATcRB9anJ1Smp1KgcPIJGH_hFwzyagt3StnlRgb9lfhFuOyWjzvfeEtFiQeeSsc63FOzo9fD9IKivhkM-xO7wI_hhy7O3ja1a9fWJC20YVZ9n9WNpiRi_tS13bNxKscnLgyhZA7X53Q0qzcLc4yNQ33WBN9xoLezkYYrLxXlJhyubpVEJMZIvAXM9tS7Qxuylfw-gR7BBZ8PGfO7TpmSHGrUc5w8oZqSBLbRSx0NM9mvzjMCztbu5iwF_jOcNtiryUT5i1zqvYybLa8ht5wryClULeA3KUtOR4y_kW&p=6&fvj=1&vjs=3
Artificial Intelligence Research Engineer,,MRI Software,"Cleveland, OH",,3.3,"Three plus experience in developing machine learning based solutions.
Strong background in machine learning technology, especially in the field of Deep Learning…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b3ee7888aa74bcaf&fccid=4974627ac3bc5640&vjs=3
Sr. Research Engineer - Muschler Lab,,Cleveland Clinic,"Cleveland, OH",,3.9,Performs routine engineering investigations in support of current research or product development efforts using engineering software analysis tools.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=01cdcf324dfea96a&fccid=e2a2a5c0f4f84192&vjs=3
Intelligent Water Engineer,,Arcadis,"Cleveland, OH",,4.0,"Familiarity with predictive and prescriptive analytics (machine learning).
The team will review candidates as they are received and continue to assess the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=18eedd56df10989b&fccid=1e9cc2318c796627&vjs=3
Sr. Manufacturing Engineer,,Rockwell Automation,"Twinsburg, OH",,3.9,COMPETENCIESContributes Professional & Technical ExpertiseConsistently demonstrates proficiency in the areas of technical and/or professional expertise relevant…,11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e42abb27628ebca&fccid=a4b7e90c6a891db3&vjs=3
Lead Data Engineer II,,Sherwin-Williams,"Cleveland, OH",,3.9,"Experience in statistical, predictive modelling and machine learning techniques.
10+ years experience as a data engineer or related specialty (software engineer…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d7659568e95a537&fccid=94f8a3a6ac5079e2&vjs=3
Senior Technology Engineer,,Energizer,"Westlake, OH",,3.8,"Comfortable in a manufacturing and machine shop environment.
Eagerness to take a hands-on approach to prototype and learning or identifying problems.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9db3ec7fc1f2c0b9&fccid=87dcfd25f6f690d8&vjs=3
Senior DevOps Engineer,"$75,000 a year",EmployMedia,"Cleveland, OH",,,"Understand the development, operations and infrastructure impact of machine learning and deep neural networks.
GCP/AWS: 1 year (Preferred).",30+ days ago,2021-01-15,"https://www.indeed.com/company/SecondGeneration,-Ltd./jobs/Senior-Devop-Engineer-0579e74683b3a438?fccid=b2b9bb5acf21d3f5&vjs=3"
EDU Software Engineer- Remote,,Splunk,"Cleveland, OH",Remote,4.1,"Understanding of machine and application logs.
Tasks include working on technologies that deploy lab servers, mock machine data, integrate multiple API services…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5b02c1f860698f88&fccid=aef928e89977f7f0&vjs=3
Senior DevOps Engineer,"$75,000 a year",EmployMedia,"Cleveland, OH",,,"Understand the development, operations and infrastructure impact of machine learning and deep neural networks.
GCP/AWS: 1 year (Preferred).",30+ days ago,2021-01-15,"https://www.indeed.com/company/SecondGeneration,-Ltd./jobs/Senior-Devop-Engineer-0579e74683b3a438?fccid=b2b9bb5acf21d3f5&vjs=3"
EDU Software Engineer- Remote,,Splunk,"Cleveland, OH",Remote,4.1,"Understanding of machine and application logs.
Tasks include working on technologies that deploy lab servers, mock machine data, integrate multiple API services…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5b02c1f860698f88&fccid=aef928e89977f7f0&vjs=3
Apprentice – Service Technician Program,,C&W Services,"Euclid, OH",,3.1,"Communicate with machine operators and operate equipment to detect equipment problems, analyze malfunctions, and verify system problems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=68502e3ac6f536c8&fccid=dcf9f3a226c5e69d&vjs=3
Senior Artificial Intelligence Engineer,,Equity Trust Company,"Westlake, OH",,3.0,"Builds predictive models for supervised and unsupervised learning machine learning algorithms including but not limited to regression techniques, decision trees…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c3a481cc3f306d46&fccid=55ec61354fe0b864&vjs=3
Data Scientist/ Statistician Intern (BS/MS Students) Summer 2021,,Lubrizol,"Wickliffe, OH",,3.9,"Predictive modeling using Bayesian and machine learning methods.
Enrolled in a Bachelor/Masters program such as statistics, data analytics, machine learning.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=70c83eecca5aa032&fccid=a6ecb44bea23e5cd&vjs=3
