job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Olive,"Columbus, OH",,3.3,"Identify machine learning architectures and models to solve complex data problems.
The ideal candidate understands machine learning as well as software…",11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIydC1jDs6uk-Jj2Hp5LQPwokyDEzehYSwSc1F_kSxeF5OYAg1CW0pCjgG09yJ0tUnLyw9lcUV1r5aIF2qB1WWhR36TIkw8RxcOiydQwmneLNUgOSG1EjKF2-7cBLXwgBG3Kc-Q6O0UY-VQFUi5IqKPjYsw7JaMi1wkFd4vQt8Q8W6cAINaBhx-0IGN2c5KEITyK6P14XWm0gvxpDbEls5tDJB2PqFo4M1Hfo4PncbcQ-zjMhOkDF1GqIzbFJm4rOFpsLMDjKQJc-JrddU23A9XBGoeKFdDzE2sZ4E2t8ZgwtsAh9NoBTPW34uePgJjdyzxbVU9gzxgFWpEDkbsxozVfQWqhOezAxMgC_Twg08Aw9jL3x8AF3Puv_VvgOGewYmDs0l98XM1aRLf4imsy_vaicrKdByDQ0Kxq5as9RcgR9HY3ATTD3w&p=0&fvj=0&vjs=3
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAKsu5CNJiznYqyfJQLOSKShORC8tHy4qlOoI19TgyeYbmSBQJhoZOK11ANTkQCG0QNN_Il9YzuFTbalUL0AX_O2DIKymAGM41zRV7Onzb0Y14o0krz61N4IM8rK0ZGJ6o5bADIqUypco5B19s0bVZi1BXM9xS0OtwSWplj2sWQOLZIxPeTft3UIwo9cOH-C8fwzgtVP0MolvddtkfU-1Y19ollpEEUvg7Vi4glyp3GnXpokGEWj_vDULA8p3j34SZTd_7fOj72qQw8nI_VOWJzJwKVpwYPmQUkdlqc-tahno=&p=1&fvj=1&vjs=3
Machine Learning Engineer,,DHL | Supply Chain,"Westerville, OH",,3.7,"Collaborates with business users, architects, data analysts, developers and DevOps engineers to build, train, test, deploy and continuously improve machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d9462da75432f578&fccid=5b8d10630cb111eb&vjs=3
Machine Learning Engineer,,ComResource,"Columbus, OH",,4.2,"Experience integrating machine learning results into user applications.
This person will enable the setup and integration of Artificial Intelligence through…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ccb97c7bb89eb096&fccid=92415fb2199c670e&vjs=3
Machine Learning Engineer,,"Upstart Network, Inc.","Columbus, OH",,,"Knowledge of machine learning and statistics or a strong desire to learn.
Experience productionalizing, deploying, and training machine learning models (we use…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c7ad284b7193d409&fccid=f98377d49d210910&vjs=3
Machine Learning Engineer,,Upstart,"Columbus, OH",,3.6,"Knowledge of machine learning and statistics or a strong desire to learn.
Experience productionalizing, deploying, and training machine learning models (we use…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ecf5b1eb22a00ef0&fccid=655c994c77232147&vjs=3
Machine Learning Engineer,,Path Robotics,"Columbus, OH",,,"Design and apply machine learning algorithms for improving robotic intelligence.
You have 3+ years of experience working with machine learning algorithms.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=81532b80170a9eec&fccid=5ee4e25a0bbd3533&vjs=3
CCB - Quantitative Modeling/Data Science - Associate,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,Actively contributing to the continuous learning mindset of the organization by bringing in new ideas and perspectives that stretch the thinking of the group.,5 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3de2d1b670ef6e47&fccid=aaf3b433897ea465&vjs=3
Security Engineer,,Ohio State University Medical Center,"Columbus, OH",,4.1,"The Ohio State University is a learning organization that supports career development, and supportive of flexible work arrangements.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=471ef8912c14f625&fccid=08b5d24807a3a7fd&vjs=3
"Manager, Machine Learning",,Upstart,"Columbus, OH",,3.6,"Knowledge of machine learning, pipelines and engineering architecture helpful.
The team consists of full-stack generalists as well as specialists in data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=70bcbba713269941&fccid=655c994c77232147&vjs=3
"Manager, Machine Learning",,"Upstart Network, Inc.","Columbus, OH",,,"Knowledge of machine learning, pipelines and engineering architecture helpful.
The team consists of full-stack generalists as well as specialists in data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=65e87d28a1233aa9&fccid=f98377d49d210910&vjs=3
Senior Software Engineer - Machine Learning,,"Upstart Network, Inc.","Columbus, OH",,,"Interest in working at the intersection of engineering and machine learning.
Build, maintain and monitor high-quality software applications that enable machine…",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1650f5cb56a23dab&fccid=f98377d49d210910&vjs=3
"Software Engineer- Machine Learning Dev/@Dublin, OH",,iknowvate technologies,"Dublin, OH",,,"Experience working on machine learning projects.
WiIl be a part of a team that has responsibility to find machine learning use cases to increase program…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ded0b3d42f26320b&fccid=9ace5aa4e4fa6ce2&vjs=3
Research Scientist,,"Upstart Network, Inc.","Columbus, OH",,,Our research environment affords team members the opportunity to utilize a variety of statistical and machine learning methods with the freedom and…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f449c526ebb4b53f&fccid=f98377d49d210910&vjs=3
"Technology-Columbus, OH-2021 ReEntry Program",,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,The program offers a reintroduction to corporate life for those returning to the workplace after two or more years voluntarily being away.,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=06f9fc18f61fdd93&fccid=aaf3b433897ea465&vjs=3
"Technology-Columbus, OH-2021 ReEntry Program",,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,The program offers a reintroduction to corporate life for those returning to the workplace after two or more years voluntarily being away.,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=06f9fc18f61fdd93&fccid=aaf3b433897ea465&vjs=3
"Hydrogeologist - Columbus, OH",,Granite Construction Inc,"Columbus, OH",,3.8,"Specific skills for the position would be developed through working with an experienced group of hydrogeologists, engineers, and construction personnel.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=14650065273262c3&fccid=8ffc323eb7503308&vjs=3
Machine Learning Research Scientist,,DCS Corp,"Columbus, OH",,4.5,Infoscitex is seeking a scientist or engineer experienced in artificial intelligence (AI) and machine learning techniques to work on projects that develop and…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d19b3c9aed1a2322&fccid=1380d0d61a54c0c0&vjs=3
CCB - ED Data Annotation Lead,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,"You will lead a team of specialists responsible for preprocessing data (text, audio and images) in order to make it usable for further insight, analysis and…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=eaf50e314d9349b0&fccid=aaf3b433897ea465&vjs=3
Example Job Title,,Soothsayer Analytics,"Columbus, OH",,3.5,"Collaborate with other engineers, data scientists.
Having a passion for solving interesting and challenging big data problems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a8e135182a638cdd&fccid=7eea1f754f48fabf&vjs=3
Robotics Engineer: Real Time Feedback,,Path Robotics,"Columbus, OH",,,"Promote collaboration with other engineers and teams.
You understand learning based approaches to solving complex problems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=383181673ad50b08&fccid=5ee4e25a0bbd3533&vjs=3
Staff Research Scientist,,"Upstart Network, Inc.","Columbus, OH",,,"Knowledge of machine learning, pipelines and engineering architecture helpful.
Full-stack expertise with all steps of the modeling process from ideation to…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88d7e116e7867165&fccid=f98377d49d210910&vjs=3
"Actuary, Pricing R&D",,Root Insurance Company,"Columbus, OH",,3.7,"Strong demonstrable knowledge of topics such as bayesian statistics, machine learning, and numerical optimization.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0526f7c48e558018&fccid=b53218579f8cf88c&vjs=3
