job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBLUHOOgIPN3GLQx_1_qje0zBHUSBWujHdV5PljmG3OUkbH0aWrOl1ct-GuJ20lC796DLZiHz_3Nv39n7Hxv7GLDZ_Y2WG9EDwyYhh0Is9IeVNb-u3Qn-0So3tvfQ1XtP9W9yKZnrrbARoyersazDI8QIvDQpS6B5sqSRRWajMOTE02rXk9HlSmVXzeMVUJghDOqgvMMvk2uZvAsSXfI4oE0JmOGbeszSZF5Xj5z_8HZKXuZZOWnpGyXW6NU1aLwy7Z0iXaiItfIurOtIDQ6hmSTR19EEl7HMamK5IlsSlBy4=&p=0&fvj=1&vjs=3
"Software Engineer – Machine/Robot Control - Ankeny, Iowa",,SyllogisTeks,"Ankeny, IA",,4.6,"Design and development of R&D seed automation/control systems (robots).
Ability to perform software development in all phases of the product lifecycle as part…",4 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDJ4o6IKxB8wG0OrlURr92JhQn1_5QZG4kGdCQrvUnCkozGx-Az_uVD7rZuO0x46oke0EmmOJ_xMERWxcNPcRTdczlcYe-yRVGnhjwZFBa1VOci1Cx8giNRCsLnQkUhyi8gYRvnts-Ex0c0TKSCSbvERjlU78wUOd2bGC3IFzCsE6HNtT8H-JrPq56FS6EmvM4tcojKltt0kZ-LrJgsks7_-BynwEXp9HSEUtqIRy3Jpl2OMTSrESq_zJEaMM5ADJplTK_sKj8U9hdXKv33gbLSQgpdmYcp4upW5M-RzA-ai0lDvXRhWK9rZ6xWkYXVmrmT0YBg0vxYQdmlt76uOFnXI_QgRaTvlBpWcGAiOcN375w4uuOFpZRxODvBFx6GY-8WCrwvDkOgZJ6steAsQWXbqttEW69GOCgtcEdfmozDY3hyI-ns5nWb3sUexKeLDikfx_84r1qDQctC9L37pbjdrILrfER5vqsiD6wVca_BQ==&p=1&fvj=0&vjs=3
Software Engineer-Machine/Robot Control/C#,,Envision LLC,"Ankeny, IA",,3.3,"No C2C or sponsorship, must be our W2.
Will consider exception candidates with OPT EAD valid through 3/2022.
O Developing software systems that communicate over…",4 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A13XXEAKoVsy1UjAxA2tJa37vkRdGHJdX4gYp8IY3tTpc57ra18Z9sYJ3trAbN1b3ZJipx_e_gWkk8fu9SOH9KK1TxAhmyT6uDMH1K0Y4CdsgnQpaikqs0tlyVQ3hohPpM1o5Ku5YValyofM8L75YZ3PjQV-wBE5sEmJzFra3EGI5a4tIPSZfTjmHsvTUBEaK3lNIxjyImMHX0D18SyjhFhFCYNTCclEe1q-3R4w2SUW62ZChU72OK7uPS-ELJdsf4Xmo7UnvX4x8wqwF6RJwoXT_eqlgV2mvkobtvsWwZ1wSZr2EU0vX6un8hMEUBk78BsZEUSdXINiwkOhlJnsuzLLF4H76IUN_IEuGge2inY3SbMwHFJjIjD78lPqp1IqgvwEKV5mL5SANInwbXYCVqsHW3Nt2ARA-3Sw8tBJ_yAfNBmcANL4jenFY7EW5dlXiKGEON1B8HlEms-daEy-l4&p=2&fvj=0&vjs=3
Experienced Data Engineer (machine learning ops),,Principal Financial Group,"Des Moines, IA",Remote,3.9,"Experience deploying machine learning models into production environment.
Work with teammates to build technical solutions that are reusable, scalable, fast,…",8 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=f0d327ad99adfaf5&fccid=591be181c58fd89d&vjs=3
Vehicle to Cloud Data Transfer Architect,,CNH Industrial,Iowa,,3.8,"Advanced-level knowledge of 3 or more of the following technologies mobile/web frameworks, hybrid cloud, security and privacy, Service Oriented Architecture…",Today,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DuyCuHqX64y6hkpxJxJ8yBG-O9AVhkZ6Cn_TqBeo0sqOteDkXGXqPMSphWCESSH-6TeZ0SlntC3H__xu-zY49mAEqh3vWKATkAhJRXdSZJ6DsnYzbgsWiFjLsi4EDXwRkbrPtj8MkZqsZ4kp5XO90gEaGetBohLqt9OynpU0x6F1OtnKUqqr21gSakmmEYnysWP9viUy3iSxzwXFassMrtUSzSJDFZ2n5Y-FBgiYkmG3fIpnMvAkK4jaBQIfSHCUHN3EVYXJO_UobO6EE6KE5ii66ktT-jtUtHZLT3Decv79AYz27rop-VSdz-70NdrqNlpP_urm8XufNn-x1PRJpND0lBDA2-JYC7Ym_V5Pl6WAyEhSKpbN1AeSCL_HI32uJ6_-CsABudOzYdJdey3oeHGIpswL_Z8m6Gm9FiyTo4_qm1IOjI0pgeQgviIY4OTESyAI9AmqRbK61sSc18dN0dh7gb_6k6-4cX586rfJONjVW_gbMcIENUh-AU88YG3vOpCFwRa1uxnQ==&p=4&fvj=0&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Des Moines, IA",,VMware,"Des Moines, IA",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=0c1ca86b3036b086&fccid=c762a27145bd166e&vjs=3
Robotics Engineer,,John Deere,"Urbandale, IA",,4.0,"As a Robotics Engineer for the John Deere Intelligent Solutions Group (ISG-Urbandale), you will develop C++ for applications utilizing perception software,…",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=fe94ebf648610603&fccid=38eb72d608d80c79&vjs=3
Software Engineer (Analytics AI),,"Everest Consultants, Inc.","Urbandale, IA",,,"Previous experience with machine learning techniques or tools.
Collaborate and communicate closely with data scientists and engineers to identify and build…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVacPbJNbSQqMbBYuK39Lr6zmFv8Ukug0jmtsiQL0AeUJy1UvXWThs5qA9TTESduPkL1_sFsd6J4G6QbljstWrH9w9git0YeBayWwp3g_LRWvp2jD4BiiKrJrrCWFWjiPw-2LGH2cOF2PWVjPwUasHnHppo1JhEh46mwJmCMAlNK_WLQkoC2j_joEiU6irSJxmSVz_O1VPaJzC2j3Cu6m3C-4RfkHvGCwcEAsRYdRdRC9V6gy8d94Hm86zmnMcnosQsH-tvIOB4ymNfq1MlxeUl2xWk4wbPS0RO1uNly56Ir-4NoJQ7b09AzWepRq-Lluc9D1iTQHCPgywtfvpyU785WwTXAvAfM08S4dqDpq0BfOZ5Q-c5FDZ-a-ooICILeSPMGru1kHTz9wy5ghrD_Epp7WY8jiB-bCZuzWy8TUj99VQEiuR0pdRaJsLjlD-knDoHyCKvx45cF1OzW2J9UbxjqCfk_ld38MTAgV-v3sDeAcVsMKk2nSadpVA-Gx_LWBhovt5mFPGBG9t2n3-FtZwRAJFusxV5zVeJUFxR_CEWifnlnQXfwjtNyU_OnY2ididap_i9_94tvlAKUT5EwEfWJjtTMvlYyR698vOov7sd07EvKWyX6UrvrigqOL7DTamdfouKgO_gzq7Va1kPcu6Z4N7Wtz7_DocPIbzWmR9cV_5s7EMEyB9JRq2jPS0i6s1Kxa6zFgym1KOwHNe19B-4-Yc_lDnnOizEedZGBtuopVDvsSUzjYcUo1BUoWceI2r5WgoCeDuthqlGIWfoPE40KE1FZqu-nxIveE5VQK4cHseENd_jOcl7gX0ETTgc6vncIY2wnLcwrjPlxEYTERFsl1nKyzZiCCyfDRFRQ6ZttZJ1__NOLFhI-rObJJGW1EkHUVATbhPQ9oRNd4rhPNuSFJfQCsu0Fst2hYUdyh5RQrV51dYi9oKIa2oW30osumz-f-k7UAW--GNR2acidkq4KiFxqaYoPZIlDuNh5-Gw==&p=7&fvj=0&vjs=3
Field Service Technician (Digital Service Specialist),,Canon USA,"Des Moines, IA",,3.7,"New technicians participate in Canon's 7 week comprehensive training program known as Printing & Digital Imaging Foundations (PDIF), learning the fundamentals…",9 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0ff9e8Lfwlpl5zGbQmpn59AL71QmFd7VKOAnfyjZzp30iMMN3yCwMsoPKk0FcaFckSQouJQV_NrYp_k6oJV4fbYB20PGd79txGsJOg5RhEpzsc2UJH5HJlpx64cgL0y93zb1L8TmkmSv_2Y_k5yxCb4R76-N3Eg4GyNS8d4Mmat5DfiZVJzBLoVftkWW1PM9sgfTYeypV5mHt8DF9Pl07BEgl2EpcM-CWJ6GfCBmKi-50xuntBgChV7sGsqM39aCb6svAliSOOzfrAXzLeGMqx3Iov5NS0QkKq-Pb9WwSXK2tUAsbKzG86u7Ur7NWUS4NdqX9SvZudiFMtcvKgQhrhAwApIJvSMS81iIFOx7XooVshmVn5v2DcYoqCu5pYqHxIpoVs8gNI3S7xUZKTDKBshBvt_tjcdUzhGX7-utnxDg8jfwrlOa7&p=8&fvj=0&vjs=3
Eaton Electrical Services Systems Early Talent Program – Power Systems Engineer,,Eaton,"Urbandale, IA",,3.8,"Undergraduate specialization in power systems analysis (including three phase circuits) and electric machines.
Participants receive cross-functional exposure.",2 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=d3b61130513dd0c6&fccid=87f38351bd29de24&vjs=3
