job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Biomedical Engineer – Technician/ 3D Printing Experience Required,,EnvisionTEC,"Dearborn, MI",,,"Ability to perform mechanical or electrical work on a machine based on provided instructions.
The 3D-Bioplotter has the capacity of fabricating scaffolds using…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpItENr2r_jYUZ10UcyVUyGnarbJjJjVpBqSqH8rSpcGRl0ZTix0vtEeg12RAn8Pq--k0ZQeu_kpI79X8yWyopELY3oCdCo7emLD-98au4KXv0YqvZ6bPTvR3qUP1bhLBeQiml6jxMkk3MhfUom57xqe1r2EoUHZ6a4R2AcS-LfFjDPWCp3lSnwuPBet9rI1n1g6gil3VuOewmPDkfWi7RZubxiN3qsIhHEmY0YxV5aqbhB15cK2pIGRtifgd7fLmOrLpwaMl3nLWitte0sHjPHdqHObczpGNBaU9ajx5n9fLIgyUiUDYiANU_GjyxsjH5Uv6HRLyFikeCXgf4pxMj56A7k-ys8f3KInbvMxyYyBhwFkAbYGkKEpVoTVAurKCbjUAvs07DCIWK0ZiR9UaZK9ICOfJwnylQioD9AaOBnSHHSI-sMErJEuTzHj7nJXIFrfxR0-NxkO4Ez-0Li8oK76hbihAtMZ00e3C8qE8hVhkwpGzy7rxMc0ZHmbOR0E2l9frXwsQoJf-6_rs8v0Jw&p=0&fvj=1&vjs=3
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAT2NIT9o7w3mzGF1fKaYzQKWVMaPa0zARhJbk1jIgdYdd_QD1if27gOL2IDBhUCabONhknHlIofDcSBPGp3RJXwufA5MWebH-Accd43t9EauqdGgjSE6GXXe-PTiY7ydFTeMq_9YT5K_AGcGxegKc0jSnc-VQ0HDs6PvYIzl5eSqbN_TA7ShYo-esunsXmu_ppyUhA1hZlW_KNsvc5-fUC-mLFjjeazAjjBzBxvif5C3Tw-A9CWUq-K6Sn0b8BMfvUIC3oxfNSZ_wE6KUPbMATqbIBDXKkXQ33DG6R1VIn7U=&p=1&fvj=1&vjs=3
Co-op Student - Help Desk,$15.00 - $18.50 an hour,Oakland Community Health Network,"Troy, MI",Temporarily remote,,Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained knowledge and skill on the…,3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BD2ZBwfGEyH1t1VaWpcdAW983QhoccyD-PKWxuD1jcIDcZrMPK5CeamB9SYFn4y4nXE6xdtghMu_PZvOPVZ9qXBJyd0dlMPOP7aI_S6GUdomP8f8g1YYLFZPDR6Igpki7eEWt5-uvAvtNeb5JvyEb2f7lbOJ7QENLvoe7EXtM53f-4RvuDaILvyU-r7_P2QmW7ghjL-ICc-rcAz0ZWnbGhNkSSjs7-Wg8qYSwTlqAO-uglZVtf_kQaUeabdFU-OWaGuISID9CpDjx4_RrcaG-NRQW1Q00lzUY8vzIFyLDtRA6T1al38imHc1cZS5SLGtRLG__qqrWOnnfQKNcRXryfvi0K9vvpFVT4nn3VACosJ7UlCk2aLDnkBsDNtu3llntaI9UM037FFB5TcQc8ZOby64vFwFUtNmIGhAnTlAX7NEnQ0ItNSc-BVoFw1cuuS53iwz29CmjDklz1vZZAoTVUqyY5K2NUsh4=&p=2&fvj=1&vjs=3
Machine learning engineer,,SafeRide,"Detroit, MI",,4.4,"Applied experience with machine learning and deep learning on very large data sets.
8 years of directly relevant, tech industry work experience, including deep…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ebd0b0b917b09945&fccid=8497cd18aa994446&vjs=3
R&D Machine Learning Engineer / Data Scientist (2021),,Nexteer Automotive Corporation,"Auburn Hills, MI",,3.3,"Work in a team environment with other machine learning and data engineers.
Stay abreast of latest developments in machine learning.",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=99fe687d50d96e2b&fccid=5274b5b41a5b8962&vjs=3
Data Engineer,$45 - $50 an hour,"Key Business Solutions, Inc.","Detroit, MI",,3.8,"Big Data/Hadoop Developer with SQL experience*.
What are the ETL (Extract , transform , Load) tools that you have used – Provide a context on usage ,methodology…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BNBWzMgl7HUVWFbExaRkiqMYLICtqTN56aiBaUt80AZVbMrbVEs6FG7V2BKH7-OTQrSyrAL28pR8hZeJGZK7NvxL-gMgboaNxYWtpIKhEU3qlN0B90X1OFkuzCGmcgZhKa-pE_UeDZeOAyX-zVswujgdJ9HrFHJoEEYPDv7pHQbCu8V_A_MBh7lp8R2pIDLDHxqmpakq2Zt0PRWaPMxtLIdGo6ecTqPSGUoYPNn-nmdsbxHcILYThaSyGCDmKuzBTu-gWRIs-o2Gk4o016Kuc1q6MsZAVnqlaFvD5iImITDcc-QfGhc4s5a6verl8kSZxfQ-V6CvGaQLxTXOf1ZA5-z4cTc0rUa0vJAtDPx0WU0ZVju5s1I1jGmh3V9VjHVAaFHe0cI-sB1W10bNQD6HXOW3mehUHvZvNuyHRUhLmnIxAFgdoib9CFk0sc4GzRVT9nnch93r9WjUdGWS3gv63uoxxvhizxOuA=&p=5&fvj=1&vjs=3
Business Office Analyst,,Jacobs,"Dearborn, MI",,3.9,"Experience working in the automotive field or testing and interfacing with engineers is desired.
Jacobs Technology is seeking individuals who are self-leaders,…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=383a74723a738dfe&fccid=de56d7554bea5214&vjs=3
Additive Manufacturing Engineer,,Ford Motor Company,"Dearborn, MI",,4.1,"6 months of experience implementing machine learning in the additive manufacturing field.
Take responsibility to implement machine-learning models to aid the…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b420a5bf191895b3&fccid=761c44c17d636bfe&vjs=3
2021 - Development Program for Engineers,,Kautex,"Troy, MI",,3.6,"Do you hold a graduate-level degree (Bachelors or Masters) in Mechtronics, Electronics or Computer Sciences/Informatics?
To have 6month PMP target definition.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c7d6ada9be215eac&fccid=39305c053d19eea9&vjs=3
Quality Inspector - Machine Shop,,AJM Packaging,"Detroit, MI",,3.1,"This position is eligible for company paid medical insurance (Blue Cross Blue Shield), dental insurance, vision insurance, short and long-term disability, life…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1a157723f4edff53&fccid=0eecc0f07b10014e&vjs=3
