job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDXuYD2KiFssBomukhGrcPo56V3yS9P63_eZXx4TjNwR7mTUG8m1M2sMUPLculNxUraGrg4ieXBNDDiCqqEosusIXt1vscNS4EkJFWgL1EaHEnGi9NdifkHxLFKXX6fAiENKmjblUvNzU1II1Es0DQxSE5eS4stAToxIYPO9H-0ZJrzyB0wNmqv4lP59sp4k944XwF9QcezhmeGxOdHixvVbKYgpH4WL7hwqDVcYKY_mtPnW2lzkDkcPBrwFIHehsvgTeUQCJfHoCqckgCNv1xJj4UYAn80ldLdBdwJpPp59ZG4TXuvmPfgg=&p=0&fvj=1&vjs=3
"Engineer II, Light Duty Material Prep - Huntsville, AL",,BASF,"Huntsville, AL",,4.1,"Relying on your experience with human machine interfaces (HMIs) and Batch Manufacturing combined with your high level of proficiency in MS Excel, PowerPoint,…",8 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C765vAbjnS6H1wql5FZe3Fqxqx3c9peyE5ngJeMspQUlL0INJsZ0YuXI1-C7jeOEk1NYu0540dh_LyOmHeYxgaPVy9BZ5vJaIJk-nDzWV6TjUcsteo1Y2uLOuT3d4z_7auBkBJAAxEtvQPAl3HowkLELoRHdw73Ey8uqApdap7JYz2VKeErc0XcDJXJ2wvbQX3qbL7T3W8DRqBb0eDCoDO9Td407dzIbSCJ_qNZ8pdcfS-rSKO0BBqDk9uSYmHNP-Jzb54XkT2_wPbKEMROFaxkBwdXry3c0jv8T-ouFvimBjj3xxrHlYfCmrHb2mn6_f9uiCDnE9UygnbSDnyYalTs3ybl8hP3-ErrbxHg-5JfAmHrwQV312MxTvCyFRsDBleqKE8cCZiuWkygqHvXcMCwB6qGeOkrMvrkQ7FhK06tIkDNx3KUdwgNcnf8wNEqP1VENRyAVn405QN6OF6oOovLDhhkowOyY9MDBpDXB2ImjXawslrGsed-yb941tsPmsqWYj9_aUvAgUuIE9BItMF7Xym4w5Lj9wN9QH-LArKrb0ScXcnLlz6uWp-vwkB85bh1mSLFxG3uCQ8tyZs-eSdgo5ZHQKvVRs=&p=1&fvj=0&vjs=3
"Engineer II, Light Duty Material Prep - Huntsville, AL",,BASF Corporation,"Huntsville, AL",,4.1,"Relying on your experience with human machine interfaces (HMIs) and Batch Manufacturing combined with your high level of proficiency in MS Excel, PowerPoint,…",8 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C765vAbjnS6H1wql5FZe3Fqxqx3c9peyE5ngJeMspQUlL0INJsZ0YuXI1-C7jeOEkHD5Q1-fIoHPaoaxf_vvl-1lEOo8PPhQb65seNN5LgSYI143IBPCZw4jo572NdR7SvaS9Xhd7EE4-NFrjnOeXuFRh-TvGeQYoNNFsF3_pQ2FFDmhY0LosutZtRUGT6bLiXay1vuFRFyx8NvBdSjeYNwLkZfI18uJ1OCDuJIJEOb0F5kTMrevlGOZOS0nI52JwGLbSdbL-MpdhclmihkuWHv3vuEJ1nFw5JI2x2YElDihLXflGDPvHcgqSGSmxS5nXtd02iIWtPu-_NpML8UEqW1By14q1vrxuaqn3lwLFm3Jk60kyA9HjCuYehh9HbzfUGWnQ_lXYRL7_2B9UNL2RryK1TH96ZqQjQz4HdnKukeLXkD5P2wIQqKQ-bPUtrJZmmeOq4lR8dUCRVL-aiiutAq2P3Bj3ahsqxksLESX1ubFPAv8YG_xODUjJ5EZWpYB2P9sxV8R9UX6vXxVWrclDeIQBQ36BOx_Xqv1rxpahfcs_BIGECfVBABz0elqsm6XRQo3r9eFM5DaTsyroq5OZVabAGC6_A5vXqAVWNs4IIW5ZezfemF55BziPkBpQntAU=&p=2&fvj=0&vjs=3
Machine Learning Engineer,,CFD Research Corporation,"Huntsville, AL",Temporarily remote,4.2,"Basic familiarity with machine learning methods and applications:
Experience using latest machine learning frameworks such as PyTorch or TensorFlow/Keras.",24 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=189d948471f4aee3&fccid=57bfaeeebbfa60e0&vjs=3
Deep Learning Engineer,,Numerator,Alabama,,3.6,Demonstrated ability to drive selection of machine learning approaches to solve specific problems coupled with the ability to clearly communicate tradeoffs.,24 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwhvtDhhMuSGvOgpEtJTRru83A1sJLDjPPZCOp3agw_eha-HkQeWKZ6JEK8-AmpIyxXGH0Wl1DcvhdPKOGMCddrq-7oJ4yYBJ0gxqNEYIhcOXJV0afngaoVVOipD3ZgbGu__TWStXnzX1DrWfsJB92Rv-LO4jWSZ-HeVQGvY2W6B9XrpvCgL2YiybPgf4AOH2YN43ATUJd83wSMcFlQDMPF-qe-PY2HJiJ-dVVZaf9AcN8KjxgHMKYzcXqsyHuNTqRSycB60AGnBNCsYcK6QzARqj5yTHXY0HyhmPgqnuthdqwW6pmRHAIT8RS7bSv3T6fGWbVCxolqqdXu2fTfeCOWFM5REBg7dQavifqkXRCZCeBJvQWqEUDNiHguV3LxrVEvMEj_F07ovj3JKUoY3aDw7JHfgK2OJoIroS2oQy2qfDURUXn3jxgPjG7wpJzqXHyy9bTDW4sf5DpQjvv59unBE9tAcxICt4ldhH-A3J0fcmX6AAFInI-ECJMiOabaM7iDiXvCBX8z-qv8G8teaApHcbUbrdsziE=&p=4&fvj=0&vjs=3
Entry-Level Software Engineer,,"Torch Technologies, Inc.","Huntsville, AL",,,"Job Title: Entry-Level Software Engineer - AI/ML.
Torch Technologies is looking for candidates with 0-3 years of experience and desire to apply their education…",3 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=937fd224ea168a00&fccid=7c60e205aab51bb4&vjs=3
Machine Learning/Artificial Intelligence Software Developer,,"IERUS Technologies, Inc.","Huntsville, AL",,4.7,"Our electrical engineers are responsible for:
Our applications include: RADAR, EO/IR, RF signatures, IR signatures, RF testing, electronics and systems…",1 day ago,2021-01-16,https://www.indeed.com/rc/clk?jk=a2b967b5af35f5fb&fccid=a77d7dcdb8364a0d&vjs=3
Perception Engineer,"$100,000 - $150,000 a year",Randstad Engineering,"Huntsville, AL",,3.7,"Works closely with the Perception Lead and other Algorithms and Software engineers in the Autonomy team to help research, design, develop, prototype, and…",3 days ago,2021-01-16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDx217eft1lC7uqItkaModCFPNh_e0lnHdKkvEJecXwu4gIqA7CFTnXnpT3oVx6729BK7hvGtkUIpu2B_Cl39gVaUElCVG3R4qJl1MD0SEqjzLRsqOmFAkaiXDto1lfVgaV9dCjxxPOr4Idu9-o1JuYWifpyA_RbYIejz_c88VdjdxVOehVEq6zMzEAnrs4TDxONxm3ysdO9fZNClRG-YB-vcT7wNR-bkMkn0OQHrk5NS6MuXO_mL7ms4l4cQiYqwHAlaW8qD34NL6gdCI11Bvq8h0OQMeo0xebV9LpqVGDB0mm_VgXVZqVa1gXZ05xDe9idk8fcjryv3UTbGlFEc1tE1kzBL0Fl1FbvG6TPO5UeuZ4BHDaY1MUQYbagaKIbwKyblcr8GkxvVNBbh-4192Bfik48QrR0NRwp_t-DVuvFpcgrxinQX0aJB5q3HVCHzm4uh_el6xXumAnS5tAH3AkVZzAHCZDpgxswnBM6Hwe9rsz3v5MQAecoha7g1P5uRSJ6Cit1w-5YHoQrpHxoe11JMxh-SXTV4q4kWMAvye6Miql-dAe87AoJvoWJT9LV2ewkAIHbLgdabQpv-PbKBAyJBs2Ydq7J9wyWTCAZO_HqE7-BGa9ujFcT9Ow6EE3KPtcCCI4EH3jw==&p=7&fvj=0&vjs=3
Senior Machine and Tool Program Analyst,,Invariant Corporation,"Huntsville, AL",,,"Must be able to set-up and perform complex machining operations using manual machine shop equipment including but not limited to lathes, milling machines, saws,…",30+ days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=04fe65742a5caed8&fccid=a6f5608b9827cee8&vjs=3
Tool Engineer/ Developer,,Deloitte,"Huntsville, AL",,4.0,"Innovate new machine learning models, tools, and analytics tools.
Interface with client advanced cyber analytics services and will be a part of a broader team…",7 days ago,2021-01-16,https://www.indeed.com/rc/clk?jk=51871b91d51c5826&fccid=9e215d88a6b33622&vjs=3
