job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nA-FP09lal032R8wECac5Dk_VANNyqg4dzLQjdBlJAuAu-WeU59Wx50E7OzgfwOTqRdwSTsqC_L6qCcH8fBGDYj0txXXBxxZ_wpgkJ4vg0pmoTrzZIZpVAg3zyIMhtNS4aqSTwA2PF7QpG_beUkmEr0Rdaks2zj57a-nOgouVIeMbPngHb2f6EPiEdpN3SVXHeRjXv7yTCzu6jE2wT5YqMCt5pW9o7qU0wllVti28qt9lDz7FwsiiiWZS70qWKwGfqrfS4n6FDOZ7V8UoOePn4fhhjpRb68Oeap4EdaN4-iGg=&p=0&fvj=1&vjs=3
Integration Engineer,,Cross Company,"Knoxville, TN",,4.1,"Crouching, crawling above, under and around machinery, equipment and occasionally and includes reaching, handling, touching grasping machine parts, controls,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5be66b082f7e4ee5&fccid=aa19077c4faffc1c&vjs=3
Researcher in Data Science/Statistics/Machine Learning/Applied Mathematics,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Basics of supervised and unsupervised machine learning,.
Some education and/or experience with statistical techniques, supervised and unsupervised machine…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d27e9b6a686ca7fb&fccid=64e028df9b3fd2c4&vjs=3
"Senior Research Scientist, Al and Machine Learning",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Machine and statistical learning algorithms, including optimization and approximate algorithms that address issues in algorithmic complexity, online or…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bf5eef59d26cdf9e&fccid=64e028df9b3fd2c4&vjs=3
Computer Vision Engineer,,Cubic Corporation,"Knoxville, TN",,3.7,"O Experience in image processing, computer vision, and machine learning is required.
O Work both independently and collaboratively to develop robust computer…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3cbcc3e927b90a58&fccid=21df030fae150acc&vjs=3
Sheet Metal Worker,,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Knowledge of machines and tools, including their designs, uses and maintenance.
Abiding by the principles of Safe Conduct of Research including being personally…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40117a63fa50a5b6&fccid=64e028df9b3fd2c4&vjs=3
Senior Process Controls Integration Engineer,,Cross Technologies Inc,"Knoxville, TN",,,"Postural activities include climbing, maneuvering, bending, stooping, kneeling, crouching, crawling above, under and around machinery, equipment occasionally…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a992559553506817&fccid=3043be7afe1521c1&vjs=3
"Group Leader, Biostatistics and Multiscale System Modeling",,Oak Ridge National Laboratory,"Oak Ridge, TN",,4.4,"Experience leading biomedical and health data science research and technology development projects dealing with computational, machine learning, and modeling…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dc8236b2e4f64639&fccid=64e028df9b3fd2c4&vjs=3
Senior Process Controls Integration Engineer,,Cross Company,"Knoxville, TN",,4.1,"Postural activities include climbing, maneuvering, bending, stooping, kneeling, crouching, crawling above, under and around machinery, equipment occasionally…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=20c8809334885b04&fccid=aa19077c4faffc1c&vjs=3
Security Research Engineer,,Cisco Systems,"Knoxville, TN",Remote,4.1,"Skilled in two or more of following areas: Strong understanding of operating system concepts in the areas of memory management, computer architecture, or binary…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ff67d3c8ad61087c&fccid=dfc44f3b8c44a6db&vjs=3
