job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Pictor Labs,"Los Angeles, CA",Temporarily remote,,"You will work under a senior machine learning engineer and Pictor’s CTO.
Demonstrated experience implementing machine learning software, specifically computer…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKgzQyzTF1Q9mOsR1amaS-juVGLjHt5Cdom-gEF9y-xfJwY2lkC_-ZlVGutmffuqDQ063hy7riwcZ4uf7dVJTWlzJTEakr7qSi1d5N7iQRic_GvXagCUyziNjiJrb133QHRLKQbjih8JMvhH4T5dhcOIMBDERw6cRFkjRz5dUK5Ps_iGF5yA8r_P-8YwFrbrZP8wgBCg9dOLiVLQVVW3wLfFGnn-ZS_7CCmDnJO-SrPUFTx5uSonK5_v58N8urjltgtzcvg603DdpYAbMe8usNsmT19rZSHFWEzaoovJtqhwcqBvst_Rp4_VoN4n5zdufE50L-1AmCR2RL16VW8Rce_7Gx2RETzZwrXeFAb2JuMCylUI6aSrPU72cBjpxORNg4s8yL-gr-1fZxygOrDr394TiNzZIW0hXUxxUc3_MLsv3lXiPcLixBQJkpTzZmHdvKvycv6YKIw7s8mcy4Jrwe6CLFoG53pDcZSUIMMLTl9A==&p=0&fvj=1&vjs=3
Patent Agent,"$100,000 a year",Kubota & Basol LLP,"Los Angeles, CA",Temporarily remote,,"As a patent agent, you will have the opportunity to learn about, and interact with inventors in, numerous technology areas (e.g., in the electrical, computer,…",28 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DB1TCTwbF4-JRKKn33xhLK2CqTBQUA0umYwR2-3E9ZHyH8O_06CUHiD6zgfuixlbmV87RREcIfbf1qI3su9PCDiW0Umy227ONLtWzY5RXbiVpB23LqmQMLwNED9kcDog6_pKb_YZH1df4nEgxKj8vJKfzwIOfpvHHXkYsCewpeRbF5hTdTfmn6Mv02_MIX4cP-1Vjk2ofrRhlRT6V5TK408AcfMQgTD74IH5XwhuK_MK1FjAcRtjHUTkpUvVUQnxXckBOUM8bYgVFyE9BQec5MSDUmZDCaiMRTgMeRFI__AeX5541zcY0ekLn91GdE4LBmQfVK0FCJDWhj7jr-orqA6feMTBbJxeMOEw8_SIWCmWQ3R8mWC9ikSFMwPzg5TTxNcQMf92QwJxjTS23iiParo7XX8h-Ph_2fhAG7EMY-rb3Eb0MpgtcjX3V49LrjACcOt_BDZUtfTEWlcnGNh1gQ&p=1&fvj=1&vjs=3
Biostatistician,$30.08 - $59.53 an hour,UCLA Health,"Los Angeles, CA",,4.0,"Experience with machine-learning, bioinformatics and cancer or molecular biology.
Theoretical and applied experience with one of Bayesian statistics, machine…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsE7ViekIsjp64t_8fXghHOV1s5s2e0k6cDP9wEyz_6tOierAtAOrZIVlWcTlCBBu8hr8he4s6FH8zN62Mbf6H9oNcq7uBpmNau28cY-v_xbi7gvosv-qEnp-IjIoatqZSF9xQZNLdG1_m0Z0q9Yx51a1-v--jdDpy6N55ziQJ2t4cogPjOxNM7_BLEAOs5yAovt1qZy_dEi_u9RBodGwviYa56mtXGvwSvXwo22IDqR_Y6UQ7qZ1mJ4hZmQOw5kmzNG1wDvdtS3r_ODg2VFTGL_FyKiqygEs94ZXgp2ZGxTDBwttgxDxcGYi786W-xEZNOh18CfyiaoECUR2mFrVrpY7iqgdrgYiaVsBur-w5D80gA9Y9znSECohHCkRSGJ-gl0NfGjQc3Tn0gxuI41SF4PyoydHBUeZbhvj-iiem1Q4Ylb0z8dKUdI-e5nW8Q1tEuj8CTK2JuRHihZU2hNLTxCceko5egPgwroeGBqKLnYIBlOfoZ3EWTl1tev0zYxwFGJMR8R-clpx9YJjJ7Fqo_JMwBvndv73nuTdXkK_FUsOSpkUMIanj9thZs8C3WbA9AN4J5_ZB-RVTyWwnwRUbzxSACv292KUinA8lvhX5xZ3ZKfRyifMmIID263CgethlDgREGttnKpzydKrzTJYX3aTiG_mkqi91f5ITZ5kr0TQvxRT9Abqt5JStGwMrqfHRCL1br3iJJzGY2UGKMREid6Dv3FUdOZkrk8KlraDmzg7wp_PiQI-zWF2SGQJSPzZvwf-46b47tlRoCVFzUyRnpGxrunU_gnemB7MI_GYrN5xUhvdBMpV-Rq5uPyk4RwERaQ-uMfwn8GIVprjXM1E0zCboNrdl8GhfZ49Ln6zqCXdfUUCYZP6oy4sImDo24k2CxsMbZYnm1nybPtZAnMbinsEUTqWvk3kS1AMfIN3_OVy_SRs7KsLrfb2g4a725XOiFVph8rtcnBJCvbEtVy-V9McfUdd90zG__miZz2EsR_ty4YwcnIOhZYGnEUfSX1w6W7o4KJ9_JQ==&p=2&fvj=0&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQjGfmNbejqhTfcg9s02do8gUb05wi3qoOqdL-fsd21NYc5jlPC9qaW9PmiUtoIxn_Xrl91cahFK_WppTNUR-JrlrpDEE_3tFx1WlBGSNikDBvKuUaAL_3xNQ5769q2cUMqpLakpchyowUMl1B4X4cUWvm2IR7q8v9qURZpjjxhjaN_BxJfrHxQVHXkzCp9aYglxCdXTt4Zcmv7gGWMbkV6oUQV1bS58Deu2hS55u-TfX3o-qt2tKdkS_g_M9qLS-icH2C2nlrEFef-g0DgBLNaCasEvtxE0sIF_g0Pe8SI5qlCbSKfeSHWyFdvwU7jo4C9oBt4993txv&p=3&fvj=1&vjs=3
"Director, Hardware Engineering & Operations","$78,000 - $95,000 a year",Noria Water Technologies,"Los Angeles, CA",Temporarily remote,,"Noria is optimizing industrial processes through real-time monitoring, advanced spectral imaging, machine learning, and decision-support.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOBlTSZaPD0ppmJAoneN0ylHTW_XRXlJDaPHEqOhinTf9Xzbcmm_st28llPLbWqNZ_NGHTVshhyiAqvqUn_sdqKRpPlqsFh35g6aJzu2-EBlcFijstqqWd17vY_ZbqeUO9sXRQZKDdjqBBRq3KOre9XtQarnNlzmmANNCLS3XEzIHR68656AGjJlKh4S04rBFz03ZxhzJgy1O1GRzbPb3rS91OrJfh_KoD6fn-Fh1FvsPVWRGkhy7B1tHxo9cuT7hPvMTMNPfyBSgetfGDDB3PRDz6iX9-ubU2tv8teAPhTzkp-MfeyEAggVRRhi6S2OAcvRIDZoALsCYsu688pMLpplg8RwkuBlbRV2REqqUObmNyI_XJATInvLmuUA8H52hVKGOFb2LgWV4uDv1bRgn1AYaBvCLcJlzj20zh2dsk7l20qQgkcwYnyqhOGGKH3CVDEyoOK8J48q30UJEBR9hmVmTBvBSARroyPR3Q67NCaSDfMxW8ml1x&p=4&fvj=1&vjs=3
Machine Learning Engineer,,Zest AI,"Burbank, CA",,,"Using Zest-built machine learning software, financial institutions can dramatically expand credit access to deserving people with no added risk.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=43d5d57e2c470d0b&fccid=8c99bfebb6f64903&vjs=3
Machine Learning Engineer,,Terray Therapeutics,"Pasadena, CA",,,"Experience with scalable machine learning on GPUs, including applications to large datasets.
Experience with traditional machine learning methods (e.g., SVM),…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=873e95fb6704f019&fccid=4f514c35c6df91ea&vjs=3
Machine Learning Engineer,,Pictor Labs,"Los Angeles, CA",Temporarily remote,,"You will work under a senior machine learning engineer and Pictor’s CTO.
Demonstrated experience implementing machine learning software, specifically computer…",1 day ago,2021-01-15,https://www.indeed.com/company/Pictor-Labs/jobs/Machine-Learning-Engineer-d92a9381ac8476ac?fccid=77cb05b82a4953bb&vjs=3
Machine learning engineer,,BusinesStaff,"Los Angeles, CA",,,"Understanding of the mathematical underpinnings of machine learning/statistical algorithms.
Experience in python and machine learning libraries (cikit-learn,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=be7ddc8d11c5e978&fccid=01de373751c56932&vjs=3
Patent Agent,"$100,000 a year",Kubota & Basol LLP,"Los Angeles, CA",Temporarily remote,,"As a patent agent, you will have the opportunity to learn about, and interact with inventors in, numerous technology areas (e.g., in the electrical, computer,…",28 days ago,2021-01-15,https://www.indeed.com/company/Kubota-&-Basol-LLP/jobs/Patent-Agent-f8a456142ea9005f?fccid=5f6f78c8d61389b5&vjs=3
