job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQrYkhZ_djaGSOE-GPUXXtEFprVtJ_CdjEkOINcL3xWKkY6ABVRhZx04trCnyM9OnXszEVkxdrmsjuCsOOXyWf38dsCP7NXcHcyGOvpwr6HL_DaZhJwdIS0iTtVoD1yiUc9ng6gdRGPeKSktYN7HO4dsTZMC8609lCznJMRwkwFk3Q_CJw5tNZZjfEjCfB6Xq_Ve8Idu2Xe-S-mLM72duN7YnWy798fBZ-xDO2oKXQ2BudiLLxmqzui1lLHi0YyXQ93irF-oy6Flu-T24NDukpfEsQOT4ihuaPKub1AuD92qg_Q6cgO91wSowXb_oudqfceseXnIBYsh_&p=0&fvj=1&vjs=3
Regional Planning Analyst - Advanced Statistics / Machine Learning / Regression Analysis,,Atmos Energy,"New Orleans, LA",,4.0,"Responsible for working with engineers and operations to evaluate local production opportunities.
Responsible for completing the design day forecasts normal…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fefafb4c0a5e590d&fccid=e7e30ce627f7f25b&vjs=3
Animation Engineer,,inXile entertainment,"New Orleans, LA",,5.0,"Firsthand experience with standard animation techniques such as rigging, skeletons, state machines, ragdolls, IK, compression, morph, facial animation, etc.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=118d90d2c4eff631&fccid=3f322de11527d722&vjs=3
Facilities Technician,,Advano,"New Orleans, LA",,,"Experience working in HVAC repair, general maintenance and installation, welding, automotive, residential home repair, plumbing, electrical, small engine repair…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=97aa6f9d569447fd&fccid=893e0a41b840bc00&vjs=3
Software Engineer,,Baker Hughes,"New Orleans, LA",Remote,4.0,"You will utilize some of the newest technologies, like artificial intelligence (AI) and machine learning (ML) to optimize the supply chain at Baker Hughes.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3785329785376666&fccid=f4c6ba597fc7aa75&vjs=3
IT Manager/Specialist,,La Jolla Logic,"New Orleans, LA",,4.0,"Assist information engineers in coding, testing, implementation, and documentation projects.
LJL has a reputation for performance to the highest standard,…",16 days ago,2021-01-15,https://www.indeed.com/company/La-Jolla-Logic/jobs/IT-Manager-Specialist-5cb697d43bdb488b?fccid=14a9cb182a8b56b2&vjs=3
Ruby on Rails Developer,,TurboSquid,"New Orleans, LA",Remote,4.7,You will be joining a team of senior engineers who can provide mentorship and peer reviews while you gain an understanding of our codebase and business.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f20fcef68a0ea720&fccid=3f740654c4e85d6d&vjs=3
Lead Data Engineer (remote),,ThoughtWorks,"New Orleans, LA",Remote,4.2,"That’s why we’re such vehement supporters of open source and have made significant contributions to open source tools for testing, continuous delivery (GoCD),…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fc249a31c34e2a03&fccid=3c650abdba68c61a&vjs=3
Senior Software Engineer (Remote),,"AVP, Inc.","New Orleans, LA",Remote,,"You have some knowledge of (or are interested in learning about) the domains of Library Science, Forensic Analysis, Data Acquisition, Machine Learning, Product…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=18ca5a30fb26294a&fccid=653df83cc6ec0647&vjs=3
Technical Solution Sales Engineer,,Leidos,"New Orleans, LA",Remote,3.7,"Relevant experience includes demonstrated experience in crafting and selling solutions that utilize data analytics, spatial analytics, artificial intelligence…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6438304a2c7ededc&fccid=8765a4045377753a&vjs=3
"Senior Manager, Solution Architect – DAS Project Omnia",,Deloitte,"New Orleans, LA",,4.0,"Strong knowledge in Machine learning and AI.
Creates a culture that is based on knowledge sharing and learning from best practices.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=425453fb0c822c4d&fccid=9e215d88a6b33622&vjs=3
