job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,"$130,000 - $190,000 a year",Transatlantic Reinsurance Co.,"New York, NY",Temporarily remote,,"Supervise the scaling and management of the machine learning modeling ecosystem.
3+ years of demonstrative excellence in building, scaling, and productizing…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aa3D550MIeSUhs2YoqUifVZA2xMvjz_MLWC-CzTLRWqiBd1pjuwMulmqnh49Mls3faRvyu37Y0xd2Y2xVpwxZlyo7VKSG9od7KtfF8lBo7WerD4bZgmDJNq-CweENLSlecc4PQI3cD9A9ps5dsABYZMUOZpnC3gRhiSc3qGvrXG-4t54TAjHIuCKBbwIh2_AKKIXr5xGkrez-st_bpm7zIBMGHOaU9rkpuUM2OOpU1vZSwITqdrznl9S38DzKbHqXGxl2SVVIIVR1oj2v69JvnzeyHWKgT-MA33_2RIgdADLDtIVBrwfqHQqWB5bAG8rNGDZpYbYbuG8Kf1PdWhg5ibHDeNpN-RFOOLIZ-nztuNqnGe-So8kTOE15y5fOkxzhdmNbkwSHfMvRbawk8t2lpdaD1gxDCLJviyf5uOE4rEpj89PQc6KxxCeNxT8NKMdm3aKtaGnzY2jA-urJdaF2u155o1MHrGwA=&p=0&fvj=1&vjs=3
"Engineer, Machine Learning",,Genesis Research,"Hoboken, NJ",,,"Help implement machine learning algorithms and improvements for all deliverables.
Familiarity with machine learning (Deep Learning is a plus).",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BaxsV4DOjbwL2MZG-IAXfz3_t5KUp8YXOIKk9IW3ryfBh_rHwK1pFwr1jmMOc-gAvN7RiB9nCI9QpPvYX7taRdaZXp01nTxyEcFnghUzlivycmOLCENdFguuhnp43Ryj0RRLjj1XItu6AaCxOpKy5AZDiWvms6jFQ__yB1zwj-FZyX1WvBefL8Vb2wAtXfqWAZj6oqOanfOzdCIlKZbVpg3pqbCECzQVPnuKOkuoo_kkLmDLK5c-msHtPpZJz3O0Re8c01ncU4-T_VeEO13Wl8lPVHE4j_tF0MeOaPCONNpsT8C5HkJk0LSgf-9EJfayJ6NsSCJyUDGF3u8Fl1Db7W9ZqwabgEUJrWdDlVWhBjlTqEu8IKSjGrKyLKom-66TgxI8u3Slq8L4Yj5Ut4oApxqzjLcklHNnpzOI8aD_M8HmozgjgoFkslCuheANTM1jn8_5qUCgrX8n9eNpocYDEl5K8K2gZJObhY7r0Mx-88Yw==&p=1&fvj=1&vjs=3
"Machine Learning Engineer (Part-time, Online, Evenings)",$60 - $100 an hour,American Alliance for International Education,"New York, NY",Remote,,This is a prestigious position in which a successful candidate is expected to leverage his/her experience to instruct some of the world's top university…,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZx8YQd2UH9sutpq74qkGWDTDPV_5xHdmYLmVfK6RFKoqVrWnydyUW5C0fntxnUsAaoBlfjpUqxPb_eN4BdcK7Wa5uEu7jDdJZI0Ot_td4l-eway-dALwsZBvLqnKmgQ9W7CDET_dueofj58LnPInuDHUa9bZtOo_kWCZ-VA5IOTCFfysk_jmTekWxFEBkiLuJdJkeyAF1yRmxKM3DghizjP7Lw6-HYX8egGK6zv-G-PHECmf6XOynTjx2FW14JASZe7XU2_Y6FyY8nAL0zSGmOnAt5y3_LCndMhr0bpSPiIgsWKhLXtEEMKc3obzsT1DAoP0Y97lxx41qfWutDzf59bc7v_UaFT2YgoOlKhZ-aJ5pHD9i1O-L-LkSipIotplduHXzNuC5EGtO9bH0KtazWHFk5RhfC9QBnGbbwJ_BhNMYH_QzGbhsud74bSuyl1DIILJ3ilXM_Lm-SLLqQw5bRtoZasYqiFhbPD4DqSYxElzYc8B0NGT5xq5mAjvO4GG1ZVw5JSWHdw==&p=2&fvj=1&vjs=3
Machine Learning Engineer (Drug Discovery) (2-5 years),,Career Developers,"New York, NY",Remote,,"A focus on deep learning techniques (deep neural networks, convolutional neural networks, recurrent neural networks, deep reinforcement learning, deep belief…",5 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AsHPWpSVJWqF-uvOoi1Tms2ACLh8AJz1YyBh03JEBOr8oDZ_kwSpvrOK7JImcP-VoZ5yHsv-GW8_v_xplrnWaUoGQ3qsfzuav3UG3MIJXR2sKxCu8VtvHh130qys1Q9p46Oz5NaGZH6dSk6M7GcbimHJY5psB5-W8Gpkqk_YIHBc4SNkKNdap7TRwJvx3D8aO9Shs-CPNtszHRDxkitxUD2AtssASxib8gcYM3pN11zi_I-sx2rHLbQ7VQT_J45_UEfZC7Lme5dSSO9RmCdzktuNnSqw84IAwBQRy8OLgsUOGwaBP9XjIC8oigV1tIPDev2QHjzIQrx52tRlnf5sbJw74TTnmXCfuxPnUHBKDED7a12NrU5shXT6JonlRWxppU9uZoqotgpN_NQHySFPtEn5ghodNyNh_DAoBR7GG2LhtvhE7ul7TuwqAJ1chjk5OT-kGrn5_3-sz47-yJv4tzjPD71GlTBlJFp3W_09WwH4kxpB9oeFJIOU5coN1oq7EWdBgMOKFG1Sjjo8V90w-cn2ustlAeoXf7Vfdou1_LZw17ImsQLloWbNatQgRIR76p60C9oKotijHg9mzI8zJiaxzYqILNLZQeBUlAdluSTND1p_o8gjdRDAIbiOKFDhtLHd5auhjeepBW_jwDEe2vKwGJHiU9DrnkrH57dH_JbFuI8K1eHXHSoPQtCPCmSo9s8kfOZnrTw51_TDyixZIKao--cwXeLPEM0fBwGfafq02ZtBvSpmB2onpaOA01XdYYIMNBCYSzREvNzWB7QagbOMsqL71IKL20wXQPFy_etJrZbJp41h25vc3wmoY0wDAl5Y1XPALrVh9dMwUMpyjgQmBrNoqDrcQR_Ew5cnU80lZXHbTXUAP5zUP3HPOYlQDPO6sPZe3DI_3yUXyqGb8CE7irvSwSSJK_cuy_4clWH3i46J9lNrcL-XugSLWfKukdX5wdZDqtLwgsH4230T0Q&p=3&fvj=0&vjs=3
"Machine Learning Research Engineer, Learning Methods",,Twitter,"New York, NY",,4.1,"Good theoretical grounding in Graph ML and core machine learning concepts and techniques.
The Learning Methods Research Team, part of Cortex Applied Research,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e9c4e84edb2f1f4&fccid=7a3824693ee1074b&vjs=3
Machine Learning Engineer,"$125,000 - $180,000 a year",Alaffia Technology Solutions,"New York, NY",Temporarily remote,,"Writing production-level machine learning models.
Experience building out production-ready machine learning solutions.
Python, SciPy, PyTorch or Tensorflow.",20 days ago,2021-01-15,https://www.indeed.com/company/Alaffia-Tech-Solutions/jobs/Machine-Learning-Engineer-e47f714b45602502?fccid=fd64b5e3ebf569d1&vjs=3
"Software Engineer, Machine Learning, Robustness and Privacy Research",,Google,"New York, NY",,4.3,"1 year of machine learning coursework or experience conducting machine learning research.
Practical experience building machine learning models.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88f5f6936eb7fd03&fccid=a5b4499d9e91a5c6&vjs=3
Machine Learning Engineer,,Amazon.com Services LLC,"New York, NY",,3.6,"Experience with machine learning in production.
Work closely with applied scientists to optimize the performance of machine-learning models, improve the team’s…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b3d1bf689503a67f&fccid=fe2d21eef233e94a&vjs=3
Machine Learning Engineer,,Landover Associates,"New York, NY",,,"Machine learning techniques will include supervised, unsupervised, deep learning and time series analysis.
Comprised of engineers and scientists, the Machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4cae4a1a1a7b3381&fccid=a2bc1e38165c6c18&vjs=3
Machine Learning Engineer,,Ribbon Health,"New York, NY",,,"Work closely with both business stakeholders and the machine learning team at Ribbon.
Build and launch new models into production: You will work with the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6436e44787661e89&fccid=1b3df0faac85255e&vjs=3
