job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Intel,"Phoenix, AZ",,4.1,"Statistical analysis, operations research, and machine learning.
Open source machine learning frameworks such as TensorFlow, Scikit-learn, Spark MLib.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=67b62e0f6e01c198&fccid=f1374be6a45f4b8a&vjs=3
Machine Learning Engineer,,Defendry,"Scottsdale, AZ",,,"You will be joining a fast paced, dynamic environment and product team, working with top talent in the fields of Data Science / Machine Learning, Cloud…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=81f2ae592bc4b943&fccid=65a9cb417dda7c21&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKm7c4gkKdZEHp34v1Lt1YnWA4oVgfdTb-kgtzYRMCp63GPAooPpQThdDxx38xrG1ZKCt7xv8hURb8E49DTbcNcz8Wi26zXMnzU-_unFc2Ynz-mHlAzHTo1pLAAcMm-TfbheYoUo19XeGEteHXxPsUB-OeuFWv--J71jOIhoJaHNfO9MJBc8ERTY9jqYwsFdthSvhTiH6Tg-7DXH7HxmCmnVVmngT8GgxRykqQQ6o2CoSntnlBA6BA2_pL7IsCqgNJoDYiUtzToC5TQm533gM1MfzCaC7C2qV3sBwc6YkluPrSWVsQNo0jf0uezHFOaHJdxOV1yBemGfg=&p=2&fvj=1&vjs=3
Graduate Intern - Machine Learning and Deep Learning Software Engineer,,Intel,"Phoenix, AZ",,4.1,"12+ months of experience coding on models that implement natural language translation, image recognition, and sequence to sequence deep learning models.",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fd8dd254e6f7d11e&fccid=f1374be6a45f4b8a&vjs=3
Machine Learning Production Engineer,,Defendry,"Scottsdale, AZ",,,"You will be joining a fast-paced, dynamic environment and product team, working with top talent in the fields of Data Science / Machine Learning, Cloud…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5da5df13b0c5d026&fccid=65a9cb417dda7c21&vjs=3
Deep and Machine Learning Software Engineer,,Intel,"Phoenix, AZ",,4.1,"Experience in scalable machine learning methodologies and best practices.
Experience building machine-learning infrastructure that have been successfully…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bfc41e97737e2794&fccid=f1374be6a45f4b8a&vjs=3
Sr Data Scientist and Machine Learning Engineer,,Medtronic,"Tempe, AZ",,3.9,"The data scientist/machine learning engineer is expected to play an active role in working with manufacturing engineers, software engineers, product engineers,…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=28211150f02c9f9c&fccid=f06a4d05bf5510ec&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Phoenix, AZ",,VMware,"Phoenix, AZ",Remote,4.0,"In-depth expertise in deep learning (DL) and statistical machine learning (ML).
The team pursues research & development in the areas of machine learning (ML)…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b27e30ce83aa2841&fccid=c762a27145bd166e&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Phoenix, AZ",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=ed190d934430f00f&fccid=9e215d88a6b33622&vjs=3
SQL ETL Data Engineer,,Denken Solutions Inc,"Phoenix, AZ",,4.8,"Analyze data and enable machine learning.
Mentor and coach junior engineers.
Client is looking for candidates who have advanced SQL skills that have delivered…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=44d29524f4c9dea0&fccid=5b735a37fa93d93f&vjs=3
Industrial Engineer I,,YRC Worldwide,"Phoenix, AZ",,3.3,Continuous Learning - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=108b7b549c9dd1f1&fccid=8339402281be00cf&vjs=3
Snr Systems Support Engineer I,,ASM,"Phoenix, AZ",,4.3,"You will part of a team which is developing, testing and supporting the next generation software for machine control combining the latest design principles,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=56ab725865c314e2&fccid=39e40de49db66aef&vjs=3
SYSTEMS ADMR SR,,State of Arizona,"Phoenix, AZ",,3.5,"Issues and maintains IP addresses and host names for end user machines.
Ability to deploy, configure and manage cloud virtual machines and containers.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=625acdc3dd9c720a&fccid=ac9531a4aa5791eb&vjs=3
