job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer - Motion Simulation,,Aurora,"Pittsburgh, PA",,4.1,Responsibilities Develop cutting edge machine learning algorithms for simulating realistic interactions between autonomous vehicles and multiple actors in a…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8dadea93a4ebc32a&fccid=bf003825a010abf2&vjs=3
Machine Learning Engineer,,Govini,"Pittsburgh, PA",,2.5,"Practical experience of building, developing and productionizing machine learning systems.
Collaborate closely with fellow software engineers, data scientists,…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d8708f60cf8f26a7&fccid=932bcab1f7ee18f8&vjs=3
Machine Learning Engineer,,Carnegie Mellon University,"Pittsburgh, PA",,4.2,"As a machine learning engineer on our team, you will build machine learning capabilities using leading-edge technologies for important and challenging…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5affe3b009c90c98&fccid=7655fb7543c6cbbf&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKB7j_QucTfOOBAnARK9hrRSeozmE66GWGP0JIQN0yqPB7QHPIRJFPT73CbRED3yoUIxo_5Ghv4a1b10eHoozOdeTkHvj97NFnmJSWsdjUqPhYorkkXECf-iPXzdgiXHvLIz48GttBJ9zJdIosxCsX9fERZHh8i_o8yNBEaipEOH8NnUHHOB9SbDTuzhmB7dXVCGThny0J4d7Eo3XK1vhJXN_VryEIGjWR8V3213ux3hoZw49TCVeGcj7sNOoH_m-P7qdIcxy_AytFnspCHpJY13yhbR8J8N0za7OoTtZ_wBEB0eTjro75g5qX4A4aE2CXrvwAQWA8KfA=&p=3&fvj=1&vjs=3
"AI/ML - Machine Learning Engineer, Accessibility",,Apple,"Pittsburgh, PA",,4.2,"Experience applying machine learning to solve practical problems.
Apple's central AI/ML org is looking for Machine Learning Engineers who are passionate about…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ab091ad17de8332a&fccid=c1099851e9794854&vjs=3
Senior Machine Learning Engineer,,LaborView,"Pittsburgh, PA",,,Solid machine learning and natural language processing background with a strong backing of technical projects showing leadership and initiative.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a451d32223b503f4&fccid=9c4194037dd700c4&vjs=3
Machine Learning Engineer,,Fortive Corporate,"Pittsburgh, PA",,3.3,"Have made substantive contributions to open source projects in the areas of data science or machine learning.
Entrepreneurial Attitude: A proactive outlook that…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0ad70be9976b2744&fccid=0ab42c4503235145&vjs=3
DATA SCIENTIST / MACHINE LEARNING ENGINEER,,Aspinity,"Pittsburgh, PA",,,"MSEE/CPE/CS degree with ~5 years of relevant industry experience in data science, machine learning, and signal processing.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=09d309ab21504cde&fccid=16f2f62ada6bc920&vjs=3
Machine Learning Researcher,,3M,"Pittsburgh, PA",,4.0,"3+ years of experience in state-of-the-art machine learning and statistical modeling techniques.
Experience with deep learning toolkits and frameworks.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dd036ef138568e3b&fccid=595d42593839d3a2&vjs=3
"Software Engineer, Machine Learning",,Google,"Pittsburgh, PA",,4.3,"Participate in cutting edge research in artificial intelligence and machine learning applications.
Google's software engineers develop the next-generation…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c455f5d166e12fe6&fccid=a5b4499d9e91a5c6&vjs=3
"Senior Machine Learning Engineer (Health, Wellness, Digital Therapeutics)",,Philips,"Pittsburgh, PA",,4.0,Solid machine learning and natural language processing background with a strong backing of technical projects showing leadership and initiative.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f959d30b39a16ce3&fccid=e4af9ca5b6d3a604&vjs=3
Sr. Machine Learning Scientist,,3M,"Pittsburgh, PA",,4.0,"Critical thinking and development of solutions for machine learning (ML) and/or natural language (NL) applications.
Relocation Assistance: May be authorized.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cb8ae0d6ce8c1d0b&fccid=595d42593839d3a2&vjs=3
"Software Engineer, Perception","$72,624 - $128,459 a year",Agot AI,"Pittsburgh, PA",Remote,,"Hands-on experience in computer vision and machine learning projects (2+ years).
M.Sc. or Ph.D. in computer vision, machine learning, or a related field.",5 days ago,2021-01-15,https://www.indeed.com/company/Agot-AI/jobs/Software-Engineer-ba2914642a513fb2?fccid=53d1bf2fc0781c88&vjs=3
"Senior Software Engineer - Machine Learning, Prediction for Motion Planning",,Motional,"Pittsburgh, PA",,,"Experience with PyTorch or other deep learning frameworks.
Develop core deep learning codebase for efficient training and testing pipelines.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4ea69ab9a2e977f2&fccid=86e1d3bf79028267&vjs=3
Digital Applied Innovation – Senior Machine Learning Solutions Engineer,,Wabtec,"Pittsburgh, PA",Remote,3.0,"A minimum of 3 years of experience as a machine learning engineer.
Lead education and awareness of deploying AI solutions throughout Wabtec to build the…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=221fb0d1340c2ef6&fccid=4f4e9de46f588f62&vjs=3
Plastics Engineer-High Performance Polymers,,Reflex Staffing Solutions,"Pittsburgh, PA",,,"Assist with modification of the injection mold machines and automation of tooling.
In this role you will be very hands-on, working and learning on the shop…",21 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=28d77aa7835e3f53&fccid=134a934d563b1e23&vjs=3
"Research Scientist, Perception",,Motional,"Pittsburgh, PA",,,"Deep understanding of machine learning algorithms (classical/deep learning).
Identify and develop state-of-the-art perception algorithms.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e90a76b5742f8210&fccid=86e1d3bf79028267&vjs=3
Data Analyst - All Levels,,FedEx Services,"Pittsburgh, PA",Remote,3.9,"Develops new products and solutions through the use of descriptive, predictive, prescriptive modeling, machine learning, and complex mathematical modeling/tool…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40f227175d358a18&fccid=2ae04b97d8829e58&vjs=3
Data Engineer,,Bosch Group,"Pittsburgh, PA",,4.1,"You will contribute to the development and deployment of next generation algorithms to support behavioral classification, forecasting and prediction, data…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=535ff527ec06224d&fccid=a2faf1301ac6ad4b&vjs=3
Software Engineer - Documentation Specialist,,Carnegie Robotics LLC,"Pittsburgh, PA",,4.4,"2+ years experience in technical writing of software documentation.
Basic familiarity with the API documentation, SDLC, and software development.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bd287afb80ef0991&fccid=4b2ea94a62e7966a&vjs=3
Eaton Electrical Services Systems Early Talent Program – Power Systems Engineer,,Eaton,"Warrendale, PA",,3.8,"Undergraduate specialization in power systems analysis (including three phase circuits) and electric machines.
Participants receive cross-functional exposure.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1f20f5e2edf9d519&fccid=87f38351bd29de24&vjs=3
Machine Learning Engineer Intern,,TeleTracking Technologies,"Pittsburgh, PA",,4.0,"The Machine Learning Engineer Intern assists in the development and delivery of software solutions for the Data Platform.
Cumulative GPA of 3.5 or higher.",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=23dbeb2b85443403&fccid=acd459f967057298&vjs=3
"Principal Engineer / Team Lead - Machine Learning, Prediction for Motion Planning",,Motional,"Pittsburgh, PA",,,"Experience with PyTorch or other deep learning frameworks.
Develop core deep learning codebase for efficient training and testing pipelines.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b09c0ec34789dac9&fccid=86e1d3bf79028267&vjs=3
"Manager, Perception Machine Learning Research",,Motional,"Pittsburgh, PA",,,Lead a team of machine learning engineers that build and design deep neural networks for the autonomous vehicle stack.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b2a313a55b1cdfd6&fccid=86e1d3bf79028267&vjs=3
"Principal Machine Learning Research Scientist, Perception",,Motional,"Pittsburgh, PA",,,"Experience with PyTorch or other deep learning frameworks.
Develop core deep learning codebase for efficient training and testing pipelines.",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c8cab6d51fea4d91&fccid=86e1d3bf79028267&vjs=3
Urethane Development Chemist/Engineer,,PPG Industries,"Cheswick, PA",,3.4,Contribute toward developing process improvements and new processes for urethane manufacturing at all Aerospace Transparencies locations.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3b2cca0da3aa8fda&fccid=d331f45cf2b412e1&vjs=3
Software Engineer,,Carnegie Mellon University,"Pittsburgh, PA",,4.2,"Our unique expertise places us at the forefront of unmanned ground vehicle design, autonomy, sensing and perception, machine learning, machine vision, operator…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=df694ee39fe4c82b&fccid=7655fb7543c6cbbf&vjs=3
Data Engineer,,Zoom,"Pittsburgh, PA",,3.6,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c6ccbec63123ecdf&fccid=34a307d555f04368&vjs=3
Data Engineer,,Govini,"Pittsburgh, PA",,2.5,"Work across functional teams to understand advanced statistical, machine learning, and text processing models.
Expert at advanced SQL programming.",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2961838ee422b2e3&fccid=932bcab1f7ee18f8&vjs=3
Additive Manufacturing Engineering Development Program,,ExOne,"Pittsburgh, PA",,2.8,"During the manufacturing rotation, the engineer will split time between implementing and optimizing manufacturing processes and focusing on customer…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0f76a0cd35da2c3&fccid=a3efaa8a926e8f71&vjs=3
Additive Manufacturing Engineering Development Program,,ExOne,"Pittsburgh, PA",,2.8,"During the manufacturing rotation, the engineer will split time between implementing and optimizing manufacturing processes and focusing on customer…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e0f76a0cd35da2c3&fccid=a3efaa8a926e8f71&vjs=3
"Senior Data Engineer, Machine Learning Infrastructure & Analytics",,Argo AI,"Pittsburgh, PA",,3.4,"The Machine Learning Infrastructure & Analytics (MLIA) team in Argo is responsible for delivering the platforms, tools, and services that power the ML workflows…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8344a5bc0eab530c&fccid=fb74c70e196043bc&vjs=3
Software Development Engineer,,Amazon.com Services LLC,"Pittsburgh, PA",,3.6,"Experience with machine learning/machine translation.
Programming experience with at least one modern language such as Java, C++, or C# including object…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3d95cd3b735e7bf2&fccid=fe2d21eef233e94a&vjs=3
"Software Engineer, Machine Autonomy",,"Velocity Works, LLC","Pittsburgh, PA",,,"Comfortable with machine controls & systems.
Work with autonomous vehicle or robotics, including development of machine autonomy software (perception, data…",18 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=17a3d7e82a6f428e&fccid=e761370fddd3d6ec&vjs=3
Robotics Engineering Co-op - Summer 2021,,Honeywell,"Pittsburgh, PA",,3.7,"You will also collaborate with senior engineers to help develop the testing of Cloud Robotics technologies.
Ability to code in multiple languages.",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3125431d22bbe7e9&fccid=50208b5bf45ee3b8&vjs=3
Software Engineer,,Appalachia Group,"Pittsburgh, PA",,,"Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dd59a1e231bb8689&fccid=eaab5a964e86296d&vjs=3
Functional Safety Engineer - Autonomous Driving,,Aurora,"Pittsburgh, PA",,4.1,"Experience with machine learning algorithms or motion planning algorithms.
The Systems Engineering team at Aurora is seeking a candidate with expertise in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=adc5701fd5a417c1&fccid=bf003825a010abf2&vjs=3
Cloud Infrastructure Engineer,,Aurora,"Pittsburgh, PA",,4.1,"Design and implement robust backend services.
Essential Excellent coding/software engineering skills.
Experience working in a cloud environment (AWS, GCP, Azure…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=953b18de3cfa1d28&fccid=bf003825a010abf2&vjs=3
Data Engineer,,Idelic,"Pittsburgh, PA",,,The data engineer will assist data scientists and machine learning engineers with both coding and devops in order to build and deploy machine learning models.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f483aa8904617f48&fccid=113ee5aee7e25ab9&vjs=3
