job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQn-GDDxEYq1MRFJmYpr7mftcdWVTfbZlbtsXqOrUuK1UBUktqIykgDHsryThkQNw9POePDmqhWIKBBoa_5hb2mOgfqsuR-eVStm8U-l6sLS1Yy9xlIl1vpBizxMW8pQMw_CPvx16oJNn3LBVRJdheQ-jcw7V9Xy5S2UuywULWYFBDz_8-9qwFk_j6tagp6s-wsx_fYjO24dN97oyT5re6u0EM7ulifKJ4AZIpwmnyOxWfKWrchaTPu1vvR2rJJM-TXKwovzoXqgT7CPH7lC1Me2XM7bNd3bBT1iuF65NPPqc_3JzdXRDhRg=&p=0&fvj=1&vjs=3
Machine Learning Engineer,,Intel,"Hillsboro, OR",,4.1,Must have at least one publication and appropriate level of contribution at a Graduate level in machine learning is a must.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=beee71d177fa6cb4&fccid=f1374be6a45f4b8a&vjs=3
"Strategic Student Program: Data Analytics and Machine Learning Intern (SISW, PLM)",,Siemens,"Wilsonville, OR",,4.0,"Communicate insights and machine learning results to Marketing business leaders and stakeholders.
Meet with Marketing Data Analytics Team internal customers to…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=fe42ce2f7a498522&fccid=3b89b9ec324f96c8&vjs=3
Data Analyst/Scientist/Engineer,"$65,000 - $120,000 a year",Cascade Data Labs,"Portland, OR",Temporarily remote,,Familiarity with machine learning techniques and libraries along with the ability to appropriately apply them to various business questions.,30+ days ago,2021-01-15,https://www.indeed.com/company/Cascade-Data-Labs/jobs/Data-Analyst-Scientist-Engineer-32812ae6e0c7078d?fccid=d9a2e6caf751bd78&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Portland, OR",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=b64099131fcc75eb&fccid=9e215d88a6b33622&vjs=3
Principal Machine Learning Engineer,,Nike,"Beaverton, OR",,4.2,"Proven ability in interpreting/implementing methods described in research papers and articles in machine learning, deep learning, mathematical modeling and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a5f7680fcf3cc1b3&fccid=2c62e4de04b8f952&vjs=3
Data Engineer L2,,Capgemini,"Beaverton, OR",,3.8,"Up to 3 years of working experience in Databricks, Python, Spark, Scala.
Sound knowledge in Apache Spark and Python programming.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e5a28f5d449cabb&fccid=105ecfd0283f415f&vjs=3
Senior Machine Learning Engineer,,Kinship,"Portland, OR",Remote,4.6,"Contribute to the creation, deployment, and scaling of machine learning and predictive algorithms in a production environment.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1277517a736ddb25&fccid=4384f66deb7fbe3e&vjs=3
Design Engineer - Global Tooling,,Weir ESCO,"Portland, OR",,3.6,"Collaborate with product design engineers, manufacturing facilities, and suppliers to ensure products meet quality and delivery requirements.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cb7a5231bd2e4f9f&fccid=9d86bb0ccd5e32be&vjs=3
Sr. Design Engineer - New Product Development,,Weir ESCO,"Portland, OR",,3.6,"We need engineers who will use their creativity to develop our next generation solutions to support ESCO strategies.
CAD modeling proficiency (NX preferred).",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=0b9305e7e124dcce&fccid=9d86bb0ccd5e32be&vjs=3
Software Engineer,,Intel,"Hillsboro, OR",,4.1,"Conduct or participate in multidisciplinary research and collaborate with design, layout and/or hardware engineers in the design, development and utilization of…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0fd75b6b37ac5013&fccid=f1374be6a45f4b8a&vjs=3
Sr. Machine Learning Engineer,,Vacasa,"Portland, OR",,2.8,"As a machine learning lead at Vacasa, you will provide day-to-day technical leadership and direction to a small team of hard-charging data scientists, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e5530d326cb6876&fccid=22f7ba07f9b31a96&vjs=3
Senior Validation Engineer,,NVIDIA,"Hillsboro, OR",,4.2,In this role you will be working with a team of HW/SW engineers to develop and execute complex automated test plans for our industry leading GPU accelerated…,11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d8b505a3ba02ae6&fccid=c267f29f0f85e8b8&vjs=3
Technical Support Engineer,,Lytics,"Portland, OR",Remote,,"By combining unique behavioral insights, machine learning, and real-time campaign orchestration, Lytics equips marketers with the tools to create unique one-to…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a7ae672563475247&fccid=86a2e88b00840975&vjs=3
Product Engineer- SISW- EDA- 233218,,Siemens,"Wilsonville, OR",,4.0,Interest in software application development and machine learning methodologies to discern root causes of process observations and their connectedness to layout…,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a1a975dc8a23f775&fccid=3b89b9ec324f96c8&vjs=3
EDU Software Engineer- Remote,,Splunk,"Portland, OR",Remote,4.1,"Understanding of machine and application logs.
Tasks include working on technologies that deploy lab servers, mock machine data, integrate multiple API services…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=46640685cb3650f9&fccid=aef928e89977f7f0&vjs=3
Senior Data QA Engineer,,Moda Health,"Portland, OR",,3.1,"Support the Data Science team to implement, preferably in an automated fashion, the necessary data validations needed for challenging machine learning problems.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6823a17bd8bb0a7a&fccid=8afef215a6093116&vjs=3
Applications Engineer,,Automation Solutions,"Beaverton, OR",,3.5,"Excellent verbal and written communication skills are imperative, along with MS Office skills, technical aptitude and a capacity for self-learning.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=666c103bab1865b6&fccid=21884ce6416dc0fb&vjs=3
Environmental Scientist/Engineer – Data Analytics,,Integral Consulting Inc.,"Portland, OR",,,"Experience with or desire/aptitude to learn machine learning methods.
Collaborate with multidisciplinary teams (data managers, engineers, environmental…",17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=904315285995c6e1&fccid=a753b73c99080ae9&vjs=3
Software Engineer,,Weir ESCO,"Portland, OR",Temporarily remote,3.6,"From the initial design and manufacturing to field maintenance, ESCO's global engineering and technical teams offer expert support to customers who need…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7faf3a12f6c4968f&fccid=9d86bb0ccd5e32be&vjs=3
System Validation Engineer,,NVIDIA,"Hillsboro, OR",,4.2,You will collaborate with a team of HW/SW engineers to develop and execute complex automated test plans for our industry leading GPU accelerated computing…,28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a59d9473d2018957&fccid=c267f29f0f85e8b8&vjs=3
Simulation Infrastructure Software Engineer,,Intel,"Hillsboro, OR",,4.1,"Software Engineers conduct or participate in multidisciplinary research and collaborate with design, layout and/or hardware engineers in the design, development…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=09b7621b5c076314&fccid=f1374be6a45f4b8a&vjs=3
Graduate Software Engineer Intern,,Intel,"Hillsboro, OR",,4.1,"CCG hires more than seven different types of software engineering interns within areas such as AI (artificial intelligence), DL (deep learning), ML (machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9919b3d9f8e567c0&fccid=f1374be6a45f4b8a&vjs=3
