job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Rochester, NY",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=ec7fb94eff1e26a8&fccid=9e215d88a6b33622&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQjB3iMWd9UgjSxDh3cexH6Hug8AFQVbsK0JcirRY3lgNhOd3mxavyYZWUBxJz4fyFOMpmcECYL51NBLYTMhEVk7sxLsoOISl0btQoM7RQtECzVr41VET8_5kSbUbRJ_XDKSRdz-rZHaE7BMWf55PjVvu1TeV6M4eZ9VOwOKZxolxYfqP2a0a4Xp2qGkM_U-Wa4R0RPFqg2a3itHdsdg-qLkMKk-j4IYFAVP5iohdixvCed--ppcZahdfxNaBQfSk5Cafrrp69_RkDaozD0KTVIZITpxx7hiaIagtrgsEGdrJ-BoQnTJ4jcaewpNX0uNaL1VD-O0dE-2B&p=1&fvj=1&vjs=3
Senior Machine Learning Engineer,,FactSet Research Systems,"York, NY",,3.9,"5% Mentor/train junior machine learning engineers.
Determining what machine learning algorithms to use.
Determining whether machine learning should be used for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=33440b15c451be32&fccid=7ca19d158e5b580d&vjs=3
"Mechanical Engineer - Rochester, NY",,Peko Precision Products,"Rochester, NY",,4.1,"Life-long learning and educational opportunities.
Minimum 1-2 years machine shop experience and manufacturing processes.
Hands-on skills – Prototype, test.",2 days ago,2021-01-15,https://www.indeed.com/company/Peko-Precision-Products/jobs/Mechanical-Engineer-4a17b638945b1ae1?fccid=f115868e1b65dd66&vjs=3
Software Engineer,,Orolia,"Rochester, NY",,4.1,"Familiar with installing and configuring virtual machines.
Designing, implementing, and documenting software solutions based on requirements.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0457cf07fa60dd89&fccid=21d1d9e33345ba5c&vjs=3
Application Engineer,,OMRON,"Rochester, NY",,3.9,"Work to improve knowledge of distributor application engineers.
Post-sales support to include machine start up and troubleshooting.
Ability to travel up to 50%.",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40f33245a425ab44&fccid=74863a92805aacc3&vjs=3
Digital Signal Processing (DSP) Engineer,,"MKS Instruments, Inc.","Rochester, NY",,3.7,There is a great opportunity for development of innovative adaptive or on-line learning signal processing and control methods applying machine learning or data…,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e2ff8539809474d&fccid=56107a2157065d1b&vjs=3
Tool Crib Attendant,,Peko Precision Products,"Rochester, NY",,4.1,"Detail knowledge of tooling for CNC machines.
Life-long learning and educational opportunities.
The Tool Crib Attendant is responsible for inspecting tools and…",4 days ago,2021-01-15,https://www.indeed.com/company/Peko-Precision-Products/jobs/Tool-Crib-Attendant-4e627e89d81158d8?fccid=f115868e1b65dd66&vjs=3
Embedded Software Engineering Internship Summer 2021,,Novanta,"Rochester, NY",,3.1,"Proficient in multiple programming languages and adept at learning quickly.
Our extensive team of engineers collaborate with your team to design, manufacture…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=714e67e757dc7024&fccid=78eca95d783eaf09&vjs=3
Technical Assembler (Electrical),,Peko Precision Products,"Rochester, NY",,4.1,"Life-long learning and educational opportunities.
2+ years’ experience with electro-mechanical assemblies and/or machine building experience.",4 days ago,2021-01-15,https://www.indeed.com/company/Peko-Precision-Products/jobs/Technical-Assembler-83187cab276b4187?fccid=f115868e1b65dd66&vjs=3
