job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,$40 - $60 an hour,Shrimpy,United States,,,"5+ years experience as a machine learning engineer.
Expert in LSTM models and other machine learning models.
The ideal candidate will have a deep understanding…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CK1jhFeBtSM4kASxvJHYK0u0ZMmET_vvZ72cy22dzhHt-WrRWH0kQEvkkYeGiNBJtAUXfCSwS5ujg3SuOh_da6L_GBux4VA1D5InwzPtP4HtE64I4567U36BgrBzlK4vqL1dq9ip6LucNF9az0iZ3MtvNg3lSGGcvEgKY4PbqdDUiAnVX3l1nAOg4BFVWXHNfvlwFM-0NMJr8JRalm3cScCIEHvK3NJBFo7ZFIhLa_GEhY5978mlCbQEAVcM6HY0IkmbMukhh64YD_NyK811leSltQvZETThpNNzBQPWSr37MCdmK9r2JZjyZkQ6tusSSzokWGX5AGnBefSeAi673cXS53_ub_Y4tKC8LVyviHR-V-BMTdBlA9ySn_8j4yjf8w0tOCGrcwgYyHCeSRxfl2jQVs3ROu_m5BmdvJgDWO6k113bmza4b7MR3hN4UK4o65iM8UUP2q3cXgQO75GkiGUUUPYNNbu58=&p=0&fvj=1&vjs=3
Software Engineer,"$65,000 - $70,000 a year",Center for Biological Diversity,"Tucson, AZ",Remote,4.5,"Experience integrating machine learning or artificial intelligence solutions.
The Software Engineer is responsible for designing, writing, testing, modifying,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=093f5052a08475d2&fccid=b3b61541d54e55b1&vjs=3
Project Engineer,,Granite Construction Inc,"Tucson, AZ",,3.8,"This position is responsible for planning, developing, coordinating and managing onsite construction engineering activities for construction projects varying in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e2dca8e908d772a5&fccid=8ffc323eb7503308&vjs=3
Mfg Eng,,Parker Hannifin Corporation,"Tucson, AZ",,3.7,"Assists other managers and engineers when applicable regularly.
Interacts with more experienced engineers to manage and follow through on independent projects.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f31fbd8c3d893811&fccid=b657433e58a9d0df&vjs=3
Senior Engineer -Design,,Caterpillar,"Tucson, AZ",,3.9,"Engineers must manage their own development, continuously learning through experience and staying abreast of technology.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=58a97ea1810c19c7&fccid=d723225da214c842&vjs=3
Signal Processing Engineer I - New Bachelor’s Degree Grad!,,Raytheon Missiles & Defense,"Tucson, AZ",,3.9,"Experience in artificial intelligence or machine learning.
Our Signal Processing engineers are responsible for designing, developing, and integrating Radar and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0446a40bebfe8606&fccid=aa53b551f9df0210&vjs=3
Project Administrator,,Granite Construction Inc,"Tucson, AZ",,3.8,Provide backup for timecard approval and dispatch function to assist in absence of engineer or manager and ensure continuity of payroll and crew scheduling…,26 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4d9892a10b6d2684&fccid=8ffc323eb7503308&vjs=3
Vehicle Control Operations Engineer,,TuSimple,"Tucson, AZ",,,"Provide high quality support to Technical Operations, Fleet Operations staff, Quality engineer and technicians in explaining problems discovered during vehicle…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c121bbf7bd0dc78b&fccid=fea34c44eddebdae&vjs=3
Autonomous Vehicle Test Engineer,,TuSimple,"Tucson, AZ",,,"Willing to be flexible on work schedule and open to learning new technology.
We are looking for talented Autonomous Vehicle Test Engineers with experience in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b63113d4084937b0&fccid=fea34c44eddebdae&vjs=3
Signal Processing Engineering Fellow,,Raytheon Missiles & Defense,"Tucson, AZ",,3.9,"The role requires acting independently, as well as working with early career engineers, to uncover and resolve issues associated with development and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f0bda93ca5c255c0&fccid=aa53b551f9df0210&vjs=3
WebDev Intern,,Hivemetric,"Tucson, AZ",,,"Experience with finite state machines, microservices, and/or event driven architecture is a plus.
Work with Hivemetric Engineers and Product Managers in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a1819900939aa261&fccid=4fab65a8b6159aad&vjs=3
IT Specialist,,TuSimple,"Tucson, AZ",,,"As an IT Support Engineer, you will be the initial technical point of contact for product-related IT issues.
You will produce step by step how-to documents for…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cf7c263a516a1d30&fccid=fea34c44eddebdae&vjs=3
"Staff Engineer, Mechanical",,Areté,"Tucson, AZ",,3.9,"Comfortable in a hands on general machine shop environment.
This is an exempt non-supervisory full-time position.
Creates detailed drawings for manufacture.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a441a366ac945687&fccid=7ab384fe4805670f&vjs=3
Embedded Software Engineer II,,Raytheon Missiles & Defense,"Tucson, AZ",,3.9,"Our engineers design, develop, and build innovative solutions for the U.S. Government.
**This position is for early career individuals who have less than 2…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=55d4c29518ec27cd&fccid=aa53b551f9df0210&vjs=3
Senior Software Engineer,,Roche,"Tucson, AZ",,4.2,"Knowledge of and skills from fields such as data science, image processing and machine learning is beneficial but not required.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=da527c1746403fb2&fccid=bca1c8ed48c3b338&vjs=3
Project Manager,,Granite Construction Inc,"Tucson, AZ",,3.8,"This position is responsible for the overall direction, completion, and financial outcome of construction projects ranging from $15 – $49 million in size.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=554c6258d428a478&fccid=8ffc323eb7503308&vjs=3
"Autonomous Vehicle Sensor Hardware Internship | Tucson, AZ",,TuSimple,"Tucson, AZ",,,"Sensor EE architecture and wire harness design: design the EE architecture for sensors, design the power supply and design related wire harnesses.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ea050aab3b5b8e53&fccid=fea34c44eddebdae&vjs=3
