job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Machine Learning Engineer,,Sequoyah Technologies,"Sapulpa, OK",,4.5,SEQTEK is looking for machine learning engineers that are interested in being on the cutting edge of new ML and AI solutions and joining a team-oriented…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d41cf38dd46adfef&fccid=f6375ca027a4e066&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQvFnD6a5H0OMo9dAe_yMPuX9pMiD5tses0vwNu3eW_3CgtKx2oxuLJkaexwcKactcYvM0dAAlXRAVA2ArmjRm3DsRHE5HHmxGwGwQz7-Vg3IRm7ToanBsNPyarqup7hymBcgnp4JWNxshkiMcl7qIz4EcojMsQhp4qSsxVrLRNzJQBDBrqqtUJ7zqi8MmVsX30R0bna1z423vKJ996ab9BQthaJNmQ519LGQD6paa-lxDuxkHxJii-e2wrhJNwndC6Y-BdnYP7RGl07oezWgSQAdXOnvJ6gEmz9jNtKkygBjl89FS1aDA30yAlIqxH8guQ==&p=1&fvj=1&vjs=3
Implementation CE Engineer,,Cisco Systems,"Tulsa, OK",,4.1,The position is responsible for coordination of customer turn-up activities for our BroadCloud PBX (hosted VOIP solution).,25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d952584384f81394&fccid=dfc44f3b8c44a6db&vjs=3
Advanced Analytics Engineer,,"Helmerich & Payne, Inc.","Tulsa, OK",,4.1,"The applicant should be able to independently answer a question using the entirety of the data analysis pipeline, including data extraction, data cleaning,…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=39e98cc76b793212&fccid=2ba0ca549413a1e3&vjs=3
DATA ENGINEER,,OnPoint,"Tulsa, OK",,3.6,You’ll be challenged to leverage cutting edge technologies to solve complex problems in real-time data environments.,17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b56b3ea9f4c79723&fccid=8524d30bbfaa4720&vjs=3
Senior Software Engineer,,Vetsource,"Tulsa, OK",,3.1,"Dog friendly office, sit-to-stand desks, and free gourmet coffee machine and Avanti market on site.
We’re looking for people with a background and interest in…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5f56228a602c528a&fccid=c0f8cee9b68e64a4&vjs=3
Algorithm Developer,,"IERUS Technologies, Inc.","Tulsa, OK",,4.7,"Experience implementing machine learning solutions for engineering and scientific domains.
Positions available ranging from junior software engineers to senior…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=73acfbf1722c0f65&fccid=a77d7dcdb8364a0d&vjs=3
SR CLOUD SOLUTIONS ARCHITECT,,OnPoint,"Tulsa, OK",,3.6,"Familiarity with machine learning and predictive analytics.
As a Cloud Solutions Engineer, you’ll play an integral role in developing software products that…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a29580a20e156a26&fccid=8524d30bbfaa4720&vjs=3
Sr. Software Developer (Back-end),,OnPoint,"Tulsa, OK",,3.6,The Senior Software Developer (Back-End) will make critical contributions to architect and deliver scalable commercial software product in the analytics domain…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6361f2975cb8220f&fccid=8524d30bbfaa4720&vjs=3
"Senior Manager, Solution Architect – DAS Project Omnia",,Deloitte,"Tulsa, OK",,4.0,"Strong knowledge in Machine learning and AI.
Creates a culture that is based on knowledge sharing and learning from best practices.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7ad7002c80e30c92&fccid=9e215d88a6b33622&vjs=3
